Timestamp,AHU-00-01 Perimeter SaTmp Extended Trend Log,AHU-00-01 Perimeter ZnTmp Extended Trend Log_2,AHU-00-01 Internal SaTmp Extended Trend Log,AHU-00-01 Internal ZnTmp Extended Trend Log_1,AHU-B1-01 SaTmp Extended Trend Log,AHU-B1-01 ZnTmp Extended Trend Log_1,AHU-B1-01 ZnTmp Extended Trend Log_2,AHU-B1-02 SaTmp Extended Trend Log,AHU-B1-02 ZnTmp Extended Trend Log_1,AHU-B1-02 ZnTmp Extended Trend Log_2,OaTmp - Trend - Extd,OaRH - Trend - Extd
16/3/20 11:11,17.53,22.1,19.1,21.44,17.27,21.35,22.16,15.2,23.38,23.7,19.2,52.11
16/3/20 11:10,17.53,22.1,19.1,21.44,17.27,21.35,22.16,15.2,23.38,23.7,19.1,51.9
16/3/20 11:06,17.53,22.1,19.1,21.44,16.66,21.38,22.18,14.76,23.44,23.7,19.1,51.9
16/3/20 11:05,17.53,22.1,19.1,21.44,16.66,21.38,22.18,14.76,23.44,23.7,19.2,51.87
16/3/20 11:01,17.53,22.07,21.47,21.38,16.55,21.38,22.18,14.82,23.5,23.7,19.2,51.87
16/3/20 11:00,17.53,22.07,21.47,21.38,16.55,21.38,22.18,14.82,23.5,23.7,18.89,52.73
16/3/20 10:56,17.5,22.04,18.38,21.35,16.34,21.38,22.18,14.94,23.58,23.73,18.89,52.73
16/3/20 10:55,17.5,22.04,18.38,21.35,16.34,21.38,22.18,14.94,23.58,23.73,18.65,53.14
16/3/20 10:51,17.95,21.98,21.64,21.33,17.01,21.41,22.24,15.57,23.7,23.73,18.65,53.14
16/3/20 10:50,17.95,21.98,21.64,21.33,17.01,21.41,22.24,15.57,23.7,23.73,18.31,54.36
16/3/20 10:46,17.81,21.95,18.87,21.33,16.83,21.41,22.24,15.28,23.81,23.73,18.31,54.36
16/3/20 10:45,17.81,21.95,18.87,21.33,16.83,21.41,22.24,15.28,23.81,23.73,18.23,54.36
16/3/20 10:41,17.73,21.93,20.98,21.33,16.72,21.41,22.24,14.97,23.79,23.73,18.23,54.36
16/3/20 10:40,17.73,21.93,20.98,21.33,16.72,21.41,22.24,14.97,23.79,23.73,18.23,55.39
16/3/20 10:36,17.87,21.87,19.47,21.33,15.94,21.47,22.33,16.35,23.7,23.73,18.23,55.39
16/3/20 10:35,17.87,21.87,19.47,21.33,15.94,21.47,22.33,16.35,23.7,23.73,17.89,55.79
16/3/20 10:31,16.92,21.81,20.32,21.3,15.97,21.47,22.33,18.53,23.44,23.7,17.89,55.79
16/3/20 10:30,16.92,21.81,20.32,21.3,15.97,21.47,22.33,18.53,23.44,23.7,17.89,56.03
16/3/20 10:26,16.86,21.75,20.44,21.24,15.76,21.47,22.33,18.45,23.24,23.61,17.89,56.03
16/3/20 10:25,16.86,21.75,20.44,21.24,15.76,21.47,22.33,18.45,23.24,23.61,17.68,56.41
16/3/20 10:21,16.69,21.73,18.84,21.21,15.59,21.52,22.41,18.36,23.18,23.53,17.68,56.41
16/3/20 10:20,16.69,21.73,18.84,21.21,15.59,21.52,22.41,18.36,23.18,23.53,17.28,58.87
16/3/20 10:16,16.46,21.67,21.78,21.15,15.59,21.52,22.41,18.36,23.15,23.47,17.28,58.87
16/3/20 10:15,16.46,21.67,21.78,21.15,15.59,21.52,22.41,18.36,23.15,23.47,17.02,60.47
16/3/20 10:11,16.69,21.61,18.04,21.18,15.27,21.52,22.41,18.73,23.1,23.41,17.02,60.47
16/3/20 10:10,16.69,21.61,18.04,21.18,15.27,21.52,22.41,18.73,23.1,23.41,16.76,60.28
16/3/20 10:06,16.92,21.53,21.27,21.21,15.15,21.61,22.53,19.56,23.04,23.33,16.76,60.28
16/3/20 10:05,16.92,21.53,21.27,21.21,15.15,21.61,22.53,19.56,23.04,23.33,16.76,61.07
16/3/20 10:01,17.21,21.5,19.44,21.21,15.04,21.61,22.53,19.36,23.01,23.27,16.76,61.07
16/3/20 10:00,17.21,21.5,19.44,21.21,15.04,21.61,22.53,19.36,23.01,23.27,16.7,61.71
16/3/20 9:56,18.01,21.47,19.81,21.21,14.95,21.61,22.53,19.27,22.93,23.18,16.7,61.71
16/3/20 9:55,18.01,21.47,19.81,21.21,14.95,21.61,22.53,19.27,22.93,23.18,16.49,62.9
16/3/20 9:51,19.13,21.44,22.1,21.18,15.1,21.7,22.61,19.27,22.87,23.1,16.49,62.9
16/3/20 9:50,19.13,21.44,22.1,21.18,15.1,21.7,22.61,19.27,22.87,23.1,16.18,64.26
16/3/20 9:46,19.73,21.38,16.46,21.13,15.27,21.7,22.61,19.27,22.81,23.04,16.18,64.26
16/3/20 9:45,19.73,21.38,16.46,21.13,15.27,21.7,22.61,19.27,22.81,23.04,15.94,64.39
16/3/20 9:41,20.87,21.3,23.18,21.07,15.15,21.7,22.61,19.13,22.73,22.93,15.94,64.39
16/3/20 9:40,20.87,21.3,23.18,21.07,15.15,21.7,22.61,19.13,22.73,22.93,15.86,64.99
16/3/20 9:36,19.36,21.27,16.31,21.01,15.36,21.81,22.78,18.67,22.64,22.84,15.86,64.99
16/3/20 9:35,19.36,21.27,16.31,21.01,15.36,21.81,22.78,18.67,22.64,22.84,15.7,64.45
16/3/20 9:31,21.07,21.18,23.16,20.95,15.45,21.81,22.78,18.42,22.55,22.7,15.7,64.45
16/3/20 9:30,21.07,21.18,23.16,20.95,15.45,21.81,22.78,18.42,22.55,22.7,15.49,66.58
16/3/20 9:26,19.16,21.15,16.69,20.9,15.59,21.81,22.78,20.96,22.44,22.58,15.49,66.58
