Timestamp,hour,FCU-00-15 SaTmp Extended Trend Log,FCU-00-15 ZnTmp Extended Trend Log,FCU-00-16 SaTmp Extended Trend Log,FCU-00-16 ZnTmp Extended Trend Log,FCU-00-21 SaTmp Extended Trend Log,FCU-00-21 ZnTmp Extended Trend Log,FCU-00-22 SaTmp Extended Trend Log,FCU-00-22 ZnTmp Extended Trend Log,FCU-00-23 SaTmp Extended Trend Log,FCU-00-23 ZnTmp Extended Trend Log,FCU-00-24 SaTmp Extended Trend Log,FCU-00-24 ZnTmp Extended Trend Log,OaTmp - Trend - Extd,OaRH - Trend - Extd
16/3/20 13:45,13,8.28,25.52,11.07,24.33,21.42,23.33,24.63,23.28,23.34,23.3,17.69,23.36,23.65,38.97
16/3/20 13:40,13,8.32,25.48,11.11,24.5,21.19,23.33,24.86,23.21,23.31,23.32,16.9,23.38,23.65,38.97
16/3/20 13:35,13,8.35,25.44,11.23,24.57,20.79,23.35,24.46,23.14,23.32,23.36,16,23.42,23.65,38.97
16/3/20 13:30,13,8.3,25.41,11.2,24.57,20.77,23.32,24.01,23.15,23.43,23.39,15.01,23.48,23.65,38.97
16/3/20 13:26,13,8.26,25.35,11.19,24.53,20.65,23.33,20.9,23.22,23.59,23.42,14.91,23.56,23.65,38.97
16/3/20 13:25,13,8.26,25.35,11.19,24.53,20.65,23.33,20.9,23.22,23.59,23.42,14.91,23.56,23.26,38.97
16/3/20 13:21,13,8.27,25.32,11.04,24.51,20.65,23.34,19.67,23.31,23.53,23.37,16.02,23.5,23.26,38.97
16/3/20 13:20,13,8.27,25.32,11.04,24.51,20.65,23.34,19.67,23.31,23.53,23.37,16.02,23.5,23.44,38.97
16/3/20 13:16,13,8.25,25.27,11.03,24.53,21.46,23.33,19.78,23.36,23.5,23.34,16.34,23.48,23.44,38.97
16/3/20 13:15,13,8.25,25.27,11.03,24.53,21.46,23.33,19.78,23.36,23.5,23.34,16.34,23.48,23.39,38.97
16/3/20 13:11,13,8.24,25.22,10.98,24.52,23.7,23.26,19.86,23.34,23.45,23.31,16.26,23.48,23.39,38.97
16/3/20 13:10,13,8.24,25.22,10.98,24.52,23.7,23.26,19.86,23.34,23.45,23.31,16.26,23.48,23.55,38.97
16/3/20 13:06,13,8.17,25.18,10.99,24.51,21.75,23.23,19.76,23.34,23.43,23.28,16.23,23.47,23.55,38.97
16/3/20 13:05,13,8.17,25.18,10.99,24.51,21.75,23.23,19.76,23.34,23.43,23.28,16.23,23.47,23.36,38.97
16/3/20 13:01,13,8.06,25.14,10.78,24.54,20.24,23.28,19.77,23.33,23.42,23.24,16.22,23.46,23.36,38.97
16/3/20 13:00,13,8.06,25.14,10.78,24.54,20.24,23.28,19.77,23.33,23.42,23.24,16.22,23.46,23.26,38.97
16/3/20 12:56,12,8.08,25.08,10.79,24.56,20.35,23.34,20.25,23.32,23.42,23.2,16.22,23.45,23.26,38.97
