Campus,Building ID,Building Name,Floor,Room Number,Room Area,Room Description,Room Category,Room Type
Clayton,92,Learning and Teaching Building,01,1-AM01,1.6,Cleaners rm,Non Useable Floor area                                                                          ,Cleaners Room                                                                                   
Clayton,92,Learning and Teaching Building,01,1-AM02,4.61,Cleaners rm,Non Useable Floor area                                                                          ,Cleaners Room                                                                                   
Clayton,92,Learning and Teaching Building,01,1-LF01,3.28,Lift 1,Non Useable Floor area                                                                          ,Lift                                                                                            
Clayton,92,Learning and Teaching Building,01,1-LF02,3.28,Lift 2,Non Useable Floor area                                                                          ,Lift                                                                                            
Clayton,92,Learning and Teaching Building,01,1-LF03,3.28,Lift 3,Non Useable Floor area                                                                          ,Lift                                                                                            
Clayton,92,Learning and Teaching Building,01,1-LF04,3.28,Lift 4,Non Useable Floor area                                                                          ,Lift                                                                                            
Clayton,92,Learning and Teaching Building,01,1-LF05,3.28,Lift 5,Non Useable Floor area                                                                          ,Lift                                                                                            
Clayton,92,Learning and Teaching Building,01,1-PL01,6.83,Services rm,Non Useable Floor area                                                                          ,Comms Network System/Telephone PABX                                                             
Clayton,92,Learning and Teaching Building,01,1-PS01,301.42,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,01,1-PS02,220.46,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,01,1-PS03,115.3,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,01,1-PS04,97.55,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,01,1-PS05,502.66,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,01,1-PS06,21.96,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,01,1-PS07,33.87,Lift lobby,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,01,1-ST01,43.02,Stair 1 - fire,Non Useable Floor area                                                                          ,Circulation - Fire Stairs                                                                       
Clayton,92,Learning and Teaching Building,01,1-ST02,56.43,Stair 2,Non Useable Floor area                                                                          ,Circulation - Stairs                                                                            
Clayton,92,Learning and Teaching Building,01,1-ST03,24.3,Stair 3,Non Useable Floor area                                                                          ,Circulation - Stairs                                                                            
Clayton,92,Learning and Teaching Building,01,1-ST05,43.42,Stair 5,Non Useable Floor area                                                                          ,Circulation - Stairs                                                                            
Clayton,92,Learning and Teaching Building,01,1-ST06,36.27,Stair 6 - fire,Non Useable Floor area                                                                          ,Circulation - Fire Stairs                                                                       
Clayton,92,Learning and Teaching Building,01,1-ST07,42.97,Stair 7 - fire,Non Useable Floor area                                                                          ,Circulation - Fire Stairs                                                                       
Clayton,92,Learning and Teaching Building,01,1-TL01,20.84,Male toilet,Non Useable Floor area                                                                          ,Toilet/Amenities - Male                                                                         
Clayton,92,Learning and Teaching Building,01,1-TL02,5.4,Accessible toilet               ,Non Useable Floor area                                                                          ,Toilet/Amenities - Unisex Accessible                                                            
Clayton,92,Learning and Teaching Building,01,1-TL03,22.9,Female Toilet,Non Useable Floor area                                                                          ,Toilet/Amenities - Female                                                                       
Clayton,92,Learning and Teaching Building,01,1-TL04,4.39,Toilet,Non Useable Floor area                                                                          ,Toilet/Amenities - Unisex                                                                       
Clayton,92,Learning and Teaching Building,01,1-TL05,24.12,Male toilet,Non Useable Floor area                                                                          ,Toilet/Amenities - Male                                                                         
Clayton,92,Learning and Teaching Building,01,1-TL06,31.78,Female Toilet,Non Useable Floor area                                                                          ,Toilet/Amenities - Female                                                                       
Clayton,92,Learning and Teaching Building,01,1-TL07,5.91,All-gender toilet,Non Useable Floor area                                                                          ,Toilet/Amenities - Unisex Accessible                                                            
Clayton,92,Learning and Teaching Building,01,1-VD01,175.06,Void 1,Vertical                                                                                        ,Void Spaces                                                                                     
Clayton,92,Learning and Teaching Building,01,1-VD02,86.82,Void 2,Vertical                                                                                        ,Void Spaces                                                                                     
Clayton,92,Learning and Teaching Building,01,1-VD03,277.18,Void 3,Vertical                                                                                        ,Void Spaces                                                                                     
Clayton,92,Learning and Teaching Building,01,101,362.21,Collaborative,General Teaching Space                                                                          ,Collaborative Teaching Room                                                                     
Clayton,92,Learning and Teaching Building,01,101A,18.57,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,101B,59.18,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,102,297.87,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,121,156.74,Interactive,General Teaching Space                                                                          ,Collaborative Teaching Room                                                                     
Clayton,92,Learning and Teaching Building,01,122,13.6,Coffee - Little Big Shot 1,General Facility                                                                                ,Retail Facility                                                                                 
Clayton,92,Learning and Teaching Building,01,123,91.85,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (<30 seats)                                                         
Clayton,92,Learning and Teaching Building,01,124,23.74,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,130,41.74,,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,131,6.83,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,132,213.96,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (>70 seats)                                                         
Clayton,92,Learning and Teaching Building,01,133A,12.83,Workgroup room (,Library and Informal Learning                                                                   ,Small Group Study Room                                                                          
Clayton,92,Learning and Teaching Building,01,133B,12.73,Workgroup room (,Library and Informal Learning                                                                   ,Small Group Study Room                                                                          
Clayton,92,Learning and Teaching Building,01,133C,5.01,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,134,81.23,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (<30 seats)                                                         
