"Timestamp","PM92-87 DB 00-01 Power 15 Min Meter Extended Trend Log","PM92-88 DB 00-01 Light 15 Min Meter Extended Trend Log","PM92-95 DB 00-02 Power 15 Min Meter Extended Trend Log","PM92-96 DB 00-02 Light 15 Min Meter Extended Trend Log","PM92-103 DB 00-03 Power 15 Min Meter Extended Trend Log","PM92-104 DB 00-03 Light 15 Min Meter Extended Trend Log","PM92-111 DB 00-04 Power 15 Min Meter Extended Trend Log","PM92-112 DB 00-04 light 15 Min Meter Extended Trend Log"
"23/03/2020 10:30:00 AM","2.31","0.87","1.05","1.35","0.81","1.30","1.77","1.10"
"23/03/2020 10:15:00 AM","2.31","0.81","1.05","1.53","0.80","1.13","1.78","1.07"
"23/03/2020 10:00:00 AM","2.30","0.81","1.03","1.24","0.77","1.20","1.75","0.89"
"23/03/2020 9:45:00 AM","2.31","0.86","1.03","1.29","0.84","1.05","1.75","0.59"
"23/03/2020 9:30:00 AM","2.23","0.86","1.03","1.42","0.82","0.80","1.69","0.61"
"23/03/2020 9:15:00 AM","1.42","0.60","1.04","1.39","0.81","1.20","1.75","0.68"
"23/03/2020 9:00:00 AM","1.42","0.61","1.04","1.20","0.82","1.23","1.73","0.67"
"23/03/2020 8:45:00 AM","1.41","0.61","1.03","1.17","0.80","1.48","1.69","0.70"
"23/03/2020 8:30:00 AM","1.41","0.61","1.02","1.13","0.76","1.15","1.70","0.78"
"23/03/2020 8:15:00 AM","1.41","0.62","1.02","0.92","0.85","0.72","1.70","0.57"
"23/03/2020 8:00:01 AM","1.42","0.91","1.04","0.86","0.75","0.95","1.69","0.67"
"23/03/2020 8:00:00 AM","1.42","0.91","1.04","0.82","0.75","0.95","1.69","0.67"
"23/03/2020 7:45:00 AM","1.39","0.61","1.03","0.82","0.80","0.99","1.69","0.66"
"23/03/2020 7:30:00 AM","1.41","0.61","1.02","0.82","0.80","1.25","1.70","0.70"
"23/03/2020 7:15:00 AM","1.39","0.62","1.04","0.73","0.75","1.49","1.67","0.68"
"23/03/2020 7:00:00 AM","1.39","0.62","1.05","0.72","0.80","1.18","1.72","0.73"
"23/03/2020 6:45:00 AM","1.39","0.66","1.03","0.66","0.75","1.14","1.73","0.91"
"23/03/2020 6:30:00 AM","1.41","0.90","1.02","0.64","0.77","1.16","1.67","1.09"
"23/03/2020 6:15:00 AM","1.41","0.96","1.02","0.62","0.81","1.16","1.70","0.94"
"23/03/2020 6:00:00 AM","1.42","0.97","1.00","0.63","0.74","1.07","1.70","0.93"
"23/03/2020 5:45:00 AM","1.41","0.59","1.01","0.88","0.80","1.27","1.67","1.21"
"23/03/2020 5:30:00 AM","1.39","0.59","1.02","0.77","0.78","0.99","1.72","1.20"
"23/03/2020 5:15:00 AM","1.36","0.55","0.94","0.68","0.74","0.52","1.69","1.26"
"23/03/2020 5:00:00 AM","1.38","0.59","0.94","0.68","0.81","0.62","1.67","0.88"
"23/03/2020 4:45:00 AM","1.36","0.40","0.94","0.66","0.75","0.92","1.73","0.59"
"23/03/2020 4:30:00 AM","1.38","0.61","0.98","0.65","0.75","0.51","1.72","0.59"
"23/03/2020 4:15:00 AM","1.36","0.57","1.02","0.73","0.81","0.40","1.63","0.33"
"23/03/2020 4:00:00 AM","1.39","0.22","0.96","0.63","0.75","0.48","1.72","0.44"
"23/03/2020 3:45:00 AM","1.44","0.47","0.99","0.57","0.77","0.41","1.66","0.38"
"23/03/2020 3:30:00 AM","1.45","0.48","1.02","0.66","0.81","0.38","1.72","0.23"
"23/03/2020 3:15:00 AM","1.41","0.37","1.00","0.55","0.74","0.30","1.70","0.23"
"23/03/2020 3:00:00 AM","1.44","0.06","0.99","0.22","0.80","0.11","1.69","0.23"
"23/03/2020 2:45:00 AM","1.41","0.07","1.01","0.22","0.77","0.11","1.73","0.23"
"23/03/2020 2:30:00 AM","1.44","0.44","1.00","0.27","0.75","0.48","1.67","0.53"
"23/03/2020 2:15:00 AM","1.42","0.52","1.00","0.23","0.84","0.57","1.72","0.61"
"23/03/2020 2:00:00 AM","1.44","0.52","0.99","0.23","0.74","0.58","1.72","0.61"
"23/03/2020 1:45:00 AM","1.42","0.52","0.99","0.27","0.76","0.57","1.67","0.61"
"23/03/2020 1:30:00 AM","1.47","0.52","1.05","0.21","0.84","0.57","1.73","0.61"
"23/03/2020 1:15:00 AM","1.44","0.52","1.02","0.22","0.77","0.57","1.73","0.62"
"23/03/2020 1:00:00 AM","1.45","0.52","1.02","0.22","0.79","0.57","1.66","0.61"
"23/03/2020 12:45:00 AM","1.44","0.52","1.00","0.21","0.79","0.57","1.72","0.62"
"23/03/2020 12:30:00 AM","1.44","0.15","1.02","0.22","0.80","0.20","1.75","0.31"
"23/03/2020 12:15:00 AM","1.42","0.07","0.98","0.21","0.74","0.11","1.67","0.23"
"23/03/2020 12:00:00 AM","1.42","0.07","1.00","0.21","0.81","0.11","1.70","0.23"
"22/03/2020 11:45:00 PM","1.41","0.07","0.98","0.22","0.77","0.10","1.73","0.23"
"22/03/2020 11:30:00 PM","1.42","0.24","0.99","0.40","0.76","0.30","1.67","0.34"
"22/03/2020 11:15:00 PM","1.36","0.68","1.00","0.83","0.84","0.79","1.67","0.62"
"22/03/2020 11:00:00 PM","1.38","0.68","1.00","0.82","0.75","0.79","1.72","0.62"
"22/03/2020 10:45:00 PM","1.36","0.67","0.99","0.82","0.79","0.79","1.69","0.62"
"22/03/2020 10:30:00 PM","1.36","0.67","1.00","0.82","0.77","0.79","1.66","0.62"
