"Timestamp","LTB CH1 thermal Hour Meter Trend Log - Ext","LTB CH2 Thermal Hour Meter Trend Log - Extended Trend Log","LTB CH3 Thermal Hour Meter Trend Log - Extended Trend Log","B_4_02 Thermal Hour Meter Extended Trend Log","B_4_01 Thermal Hour Meter Extended Trend Log","LTB  BLR1 Thermal Hour Meter Trend Log","LTB  BLR2 Thermal Hour Meter Trend Log"
"23/03/2020 4:00:00 PM","0.00","21.44","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 3:00:00 PM","0.00","48.81","0.13","0.00","0.00","0.00","0.00"
"23/03/2020 2:00:01 PM","0.00","80.44","0.13","0.00","0.00","0.00","0.00"
"23/03/2020 2:00:00 PM","0.00","3.13","0.19","0.00","0.00","0.00","0.00"
"23/03/2020 1:00:00 PM","0.00","3.13","0.19","0.00","0.00","0.00","0.00"
"23/03/2020 12:00:00 PM","0.00","0.00","0.13","0.00","0.00","0.00","0.00"
"23/03/2020 11:00:00 AM","0.00","0.00","0.25","0.00","0.00","0.00","0.00"
"23/03/2020 10:00:00 AM","0.00","0.00","0.19","0.00","0.00","0.00","0.00"
"23/03/2020 9:00:00 AM","0.00","2.00","0.19","0.00","0.00","0.00","0.00"
"23/03/2020 8:00:00 AM","0.00","8.06","0.25","0.00","0.00","0.00","0.00"
"23/03/2020 7:00:00 AM","0.00","7.13","0.25","0.00","0.00","0.00","0.00"
"23/03/2020 6:00:00 AM","0.00","9.56","0.19","0.00","0.00","0.00","0.00"
"23/03/2020 5:00:00 AM","0.00","91.81","0.25","0.00","0.00","0.00","0.00"
"23/03/2020 4:00:00 AM","0.00","29.19","0.25","0.00","0.00","0.00","0.00"
"23/03/2020 3:00:00 AM","0.00","0.00","0.19","0.00","0.00","0.00","0.00"
"23/03/2020 2:00:00 AM","0.00","0.00","0.19","0.00","0.00","0.00","0.00"
"23/03/2020 1:00:00 AM","0.00","0.00","0.19","0.00","0.00","0.00","0.00"
"23/03/2020 12:00:00 AM","0.00","0.00","0.19","0.00","0.00","0.00","0.00"
"22/03/2020 11:00:00 PM","0.00","0.00","0.19","0.00","0.00","0.00","0.00"
"22/03/2020 10:00:00 PM","0.00","0.00","0.13","0.00","0.00","0.00","0.00"
"22/03/2020 9:00:00 PM","0.00","7.19","0.13","0.00","0.00","0.00","0.00"
"22/03/2020 8:00:00 PM","0.00","10.63","0.06","0.00","0.00","0.00","0.00"
"22/03/2020 7:00:00 PM","0.00","186.06","0.13","0.00","0.00","0.00","0.00"
"22/03/2020 6:00:00 PM","0.00","33.88","0.06","0.00","0.00","0.00","0.00"
"22/03/2020 5:00:00 PM","0.00","26.81","0.13","0.00","0.00","0.00","0.00"
"22/03/2020 4:00:00 PM","0.00","225.88","0.06","0.00","0.00","0.00","0.00"
"22/03/2020 3:00:00 PM","0.00","0.00","0.13","0.00","0.00","0.00","0.00"
"22/03/2020 2:00:00 PM","0.00","0.00","0.13","0.00","0.00","0.00","0.00"
"22/03/2020 1:00:01 PM","0.00","0.00","0.13","0.00","0.00","0.00","0.00"
"22/03/2020 1:00:00 PM","0.00","0.00","0.13","0.00","0.00","0.00","0.00"
"22/03/2020 12:00:00 PM","0.00","0.00","0.19","0.00","0.00","0.00","0.00"
"22/03/2020 11:00:00 AM","0.00","0.00","0.13","0.00","0.00","0.00","0.00"
"22/03/2020 10:00:00 AM","0.00","0.00","0.19","0.00","0.00","0.00","0.00"
"22/03/2020 9:00:00 AM","0.00","2.44","0.19","0.00","0.00","0.00","0.00"
"22/03/2020 8:00:00 AM","0.00","0.19","0.19","0.00","0.00","0.00","0.00"
"22/03/2020 7:00:00 AM","0.00","0.00","0.25","0.00","0.00","0.00","0.00"
"22/03/2020 6:00:00 AM","0.00","0.00","0.19","0.00","0.00","0.00","0.00"
"22/03/2020 5:00:00 AM","0.00","0.00","0.25","0.00","0.00","0.00","0.00"
"22/03/2020 4:00:00 AM","0.00","0.00","0.25","0.00","0.00","0.00","0.00"
"22/03/2020 3:00:00 AM","0.00","0.00","0.25","0.00","0.00","0.00","0.00"
"22/03/2020 2:00:00 AM","0.00","0.00","0.25","0.00","0.00","0.00","0.00"
"22/03/2020 1:00:00 AM","0.00","0.00","0.25","0.00","0.00","0.00","0.00"
"22/03/2020 12:00:00 AM","0.00","0.00","0.25","0.00","0.00","0.00","0.00"
"21/03/2020 11:00:00 PM","0.00","0.00","0.19","0.00","0.00","0.00","0.00"
"21/03/2020 10:00:00 PM","0.00","0.00","0.13","0.00","0.00","0.00","0.00"
"21/03/2020 9:00:00 PM","0.00","2.69","0.13","0.00","0.00","0.00","0.00"
"21/03/2020 8:00:00 PM","0.00","104.50","0.06","0.00","0.00","0.00","0.00"
"21/03/2020 7:00:00 PM","0.00","122.69","0.13","0.00","0.00","0.00","0.00"
"21/03/2020 6:00:00 PM","0.00","50.19","0.13","0.00","0.00","0.00","0.00"
"21/03/2020 5:00:01 PM","0.00","218.81","0.06","0.00","0.00","0.00","0.00"
"21/03/2020 5:00:00 PM","0.00","218.81","0.06","0.00","0.00","0.00","0.00"
"21/03/2020 4:00:00 PM","0.00","28.19","0.13","0.00","0.00","0.00","0.00"
"21/03/2020 3:00:00 PM","0.00","118.75","0.13","0.00","0.00","0.00","0.00"
"21/03/2020 2:00:00 PM","0.00","178.06","0.13","0.00","0.00","0.00","0.00"
"21/03/2020 1:00:00 PM","0.00","1.31","0.13","0.00","0.00","0.00","0.00"
"21/03/2020 12:00:00 PM","0.00","0.00","0.19","0.00","0.00","0.00","0.00"
"21/03/2020 11:00:00 AM","0.00","0.00","0.25","0.00","0.00","0.00","0.00"
"21/03/2020 10:00:00 AM","0.00","1.13","0.19","0.00","0.00","0.00","0.00"
"21/03/2020 9:00:00 AM","0.00","3.69","0.25","0.00","0.00","0.00","0.00"
"21/03/2020 8:00:00 AM","0.00","53.44","0.25","0.00","0.00","0.00","0.00"
"21/03/2020 7:00:00 AM","0.00","0.00","0.31","0.00","0.00","0.00","0.00"
"21/03/2020 6:00:00 AM","0.00","0.00","0.25","0.00","0.00","0.00","0.00"
"21/03/2020 5:00:00 AM","0.00","0.00","0.31","0.00","0.00","0.00","0.00"
"21/03/2020 4:00:00 AM","0.00","0.00","0.31","0.00","0.00","0.00","0.00"
"21/03/2020 3:00:00 AM","0.00","0.00","0.31","0.00","0.00","0.00","0.00"
"21/03/2020 2:00:00 AM","0.00","41.88","0.38","0.00","0.00","0.00","0.00"
"21/03/2020 1:00:00 AM","0.00","20.13","0.31","0.00","0.00","0.00","0.00"
"21/03/2020 12:00:00 AM","0.00","8.06","0.38","0.00","0.00","0.00","0.00"
"20/03/2020 11:00:00 PM","0.00","25.31","0.31","0.00","0.00","0.00","0.00"
"20/03/2020 10:00:00 PM","0.00","114.25","0.31","0.00","0.00","0.00","0.00"
"20/03/2020 9:00:00 PM","0.00","228.38","0.25","0.00","0.00","0.00","0.00"
"20/03/2020 8:00:00 PM","0.00","233.25","0.13","0.00","0.00","0.00","0.00"
"20/03/2020 7:00:00 PM","0.00","437.31","0.13","0.00","0.00","0.00","0.00"
"20/03/2020 6:00:00 PM","0.00","460.00","0.13","0.00","0.00","0.00","0.00"
"20/03/2020 5:00:00 PM","0.00","427.38","0.13","0.00","0.00","0.00","0.00"
"20/03/2020 4:00:00 PM","0.00","497.81","0.13","0.00","0.00","0.00","0.00"
"20/03/2020 3:00:00 PM","0.00","373.75","0.13","0.00","0.00","0.00","0.00"
"20/03/2020 2:00:00 PM","0.00","377.19","0.19","0.00","0.00","0.00","0.00"
"20/03/2020 1:00:00 PM","0.00","363.06","0.19","0.00","0.00","0.00","0.00"
"20/03/2020 12:00:00 PM","0.00","280.06","0.31","0.00","0.00","0.00","0.00"
"20/03/2020 11:00:00 AM","0.00","8.94","0.31","0.00","0.00","0.00","0.00"
"20/03/2020 10:00:00 AM","0.00","123.25","0.38","0.00","0.00","0.00","0.00"
"20/03/2020 9:00:00 AM","0.00","194.19","0.38","0.00","0.00","0.00","0.00"
"20/03/2020 8:00:00 AM","0.00","228.63","0.38","0.00","0.00","0.00","0.00"
"20/03/2020 7:00:00 AM","0.00","181.31","0.38","0.00","0.00","0.00","0.00"
"20/03/2020 6:00:00 AM","0.00","2.00","0.38","0.00","0.00","0.00","0.00"
"20/03/2020 5:00:00 AM","0.00","0.00","0.44","0.00","0.00","0.00","0.00"
"20/03/2020 4:00:00 AM","0.00","1.88","0.38","0.00","0.00","0.00","0.00"
"20/03/2020 3:00:00 AM","0.00","134.56","0.44","0.00","0.00","0.00","0.00"
"20/03/2020 2:00:00 AM","0.06","198.75","0.44","0.00","0.00","0.00","0.00"
"20/03/2020 1:00:00 AM","0.00","270.13","0.31","0.00","0.00","0.00","0.00"
