"Timestamp","AHU-00-01 CO2 Extended Trend Log","AHU-00-01 Perimeter SaTmp Extended Trend Log","AHU-00-01 Perimeter ZnTmp Extended Trend Log_2","SaTmpSp Extended Trend Log","AHU-00-01 Internal ZnTmp Extended Trend Log_1","AHU-00-01 Internal SaTmpSp Extended Trend Log","AHU-00-01 Internal SaTmp Extended Trend Log","AHU-00-01 RA Rh Extended Trend Log"
"24/03/2020 4:15:35 PM","387.00","20.01","20.84","20.00","20.33","20.00","21.04","50.08"
"24/03/2020 4:10:35 PM","387.00","20.01","20.84","20.00","20.33","20.00","20.44","50.08"
"24/03/2020 4:05:35 PM","378.40","19.59","20.84","20.00","20.33","20.00","18.69","50.08"
"24/03/2020 4:00:35 PM","376.80","20.27","20.84","20.00","20.30","20.00","22.01","50.08"
"24/03/2020 3:55:35 PM","376.20","18.96","20.84","20.00","20.30","20.00","17.41","50.08"
"24/03/2020 3:50:35 PM","382.20","20.21","20.84","20.00","20.27","20.00","21.75","50.08"
"24/03/2020 3:45:35 PM","378.40","19.61","20.84","20.00","20.27","20.00","18.44","50.08"
"24/03/2020 3:40:35 PM","385.40","20.24","20.81","20.00","20.24","20.00","20.52","50.08"
"24/03/2020 3:35:35 PM","383.40","19.73","20.81","20.00","20.24","20.00","20.32","50.08"
"24/03/2020 3:30:35 PM","381.20","19.78","20.81","20.00","20.21","20.00","18.95","50.08"
"24/03/2020 3:25:35 PM","377.80","20.67","20.78","20.00","20.21","20.00","21.70","50.08"
"24/03/2020 3:20:35 PM","382.20","20.90","20.78","20.00","20.21","20.00","18.04","50.08"
"24/03/2020 3:15:35 PM","384.40","20.78","20.78","20.00","20.21","20.00","21.55","50.08"
"24/03/2020 3:10:35 PM","379.60","19.96","20.78","20.00","20.21","20.00","19.07","50.08"
"24/03/2020 3:05:35 PM","378.40","19.87","20.78","20.00","20.18","20.00","19.64","50.08"
"24/03/2020 3:00:35 PM","383.80","20.44","20.78","20.00","20.18","20.00","21.75","50.08"
"24/03/2020 2:55:35 PM","378.40","19.16","20.75","20.00","20.18","20.00","17.69","50.08"
"24/03/2020 2:50:35 PM","380.60","20.67","20.75","20.00","20.15","20.00","21.87","50.08"
"24/03/2020 2:45:35 PM","375.20","19.61","20.75","20.00","20.15","20.00","18.58","50.08"
"24/03/2020 2:40:35 PM","376.80","20.04","20.75","20.00","20.13","20.00","20.30","50.08"
"24/03/2020 2:35:35 PM","379.00","20.30","20.73","20.00","20.13","20.00","21.24","50.08"
"24/03/2020 2:30:35 PM","381.60","19.39","20.73","20.00","20.13","20.00","17.95","50.08"
"24/03/2020 2:25:35 PM","380.60","20.56","20.73","20.00","20.10","20.00","22.07","50.08"
"24/03/2020 2:20:35 PM","380.60","19.16","20.73","20.00","20.10","20.00","17.78","50.08"
"24/03/2020 2:15:35 PM","382.20","20.18","20.73","20.00","20.07","20.00","21.30","50.08"
"24/03/2020 2:10:35 PM","386.00","19.73","20.73","20.00","20.07","20.00","19.55","50.08"
"24/03/2020 2:05:35 PM","378.40","20.04","20.73","20.00","20.04","20.00","19.72","50.08"
"24/03/2020 2:00:35 PM","379.00","19.76","20.73","20.00","20.04","20.00","21.27","50.08"
"24/03/2020 1:55:35 PM","380.60","19.04","20.73","20.00","19.98","20.00","18.29","50.08"
"24/03/2020 1:50:35 PM","388.20","20.18","20.73","20.00","19.95","20.00","21.75","50.08"
"24/03/2020 1:45:35 PM","386.00","20.21","20.73","20.00","19.95","20.00","18.01","50.08"
"24/03/2020 1:40:35 PM","382.20","20.38","20.70","20.00","19.95","20.00","21.70","50.08"
"24/03/2020 1:35:35 PM","378.40","20.84","20.73","20.00","19.93","20.00","18.18","50.08"
"24/03/2020 1:30:35 PM","379.00","20.73","20.73","20.00","19.93","20.00","21.38","50.08"
"24/03/2020 1:25:35 PM","376.20","20.24","20.73","20.00","19.98","20.00","18.95","50.08"
"24/03/2020 1:20:35 PM","383.40","20.47","20.70","20.00","19.98","20.00","20.27","50.08"
"24/03/2020 1:15:35 PM","388.80","20.56","20.70","20.00","19.98","20.00","20.75","50.08"
"24/03/2020 1:10:35 PM","378.40","19.93","20.70","20.00","19.93","20.00","18.69","50.08"
"24/03/2020 1:05:35 PM","380.60","20.64","20.70","20.00","19.93","20.00","21.92","50.08"
"24/03/2020 1:00:35 PM","380.00","19.33","20.70","20.00","19.93","20.00","17.98","50.08"
"24/03/2020 12:55:35 PM","378.40","20.56","20.67","20.00","19.90","20.00","21.32","50.08"
"24/03/2020 12:50:35 PM","380.60","19.81","20.67","20.00","19.95","20.00","19.44","50.08"
"24/03/2020 12:45:35 PM","380.60","19.56","20.67","20.00","19.98","20.00","19.30","50.08"
"24/03/2020 12:40:35 PM","376.80","20.56","20.67","20.00","20.01","20.00","21.87","50.08"
"24/03/2020 12:35:35 PM","382.20","19.27","20.67","20.00","20.01","20.00","17.81","50.08"
"24/03/2020 12:30:35 PM","382.20","20.73","20.64","20.00","20.01","20.00","21.67","50.08"
"24/03/2020 12:25:35 PM","382.20","19.73","20.64","20.00","20.10","20.00","18.78","50.08"
"24/03/2020 12:20:35 PM","379.00","20.01","20.64","20.00","20.10","20.00","19.95","50.08"
"24/03/2020 12:15:35 PM","381.60","20.27","20.61","20.00","20.18","20.00","21.78","50.08"
"24/03/2020 12:10:35 PM","380.00","19.56","20.61","20.00","20.24","20.00","17.09","50.08"
"24/03/2020 12:05:35 PM","382.20","20.93","20.61","20.00","20.21","20.00","23.30","50.08"
"24/03/2020 12:00:35 PM","389.80","19.30","20.61","20.00","20.21","20.00","16.23","50.08"
"24/03/2020 11:55:35 AM","386.00","20.30","20.64","20.00","20.21","20.00","20.50","50.08"
"24/03/2020 11:50:35 AM","389.20","20.44","20.64","20.00","20.24","20.00","22.55","50.08"
"24/03/2020 11:45:35 AM","392.00","19.50","20.64","20.00","20.24","20.00","16.66","50.08"
"24/03/2020 11:40:35 AM","382.80","20.90","20.64","20.00","20.24","20.00","22.27","50.08"
