"Timestamp","AHU_B1_01-PIR1 Log","AHU_B1_01-PIR2 Log","AHU_B1_01-Sts Log","AHU_B1_01-Enable Log"
"24/03/2020 3:28:35 PM","0.00","0.00","1.00","1.00"
"24/03/2020 3:06:10 PM","0.00","1.00","1.00","1.00"
"24/03/2020 1:28:05 PM","0.00","0.00","1.00","1.00"
"24/03/2020 1:13:03 PM","0.00","1.00","1.00","1.00"
"24/03/2020 12:43:16 PM","0.00","0.00","1.00","1.00"
"24/03/2020 12:28:11 PM","0.00","1.00","1.00","1.00"
"24/03/2020 11:19:24 AM","0.00","0.00","1.00","1.00"
"24/03/2020 11:04:17 AM","0.00","1.00","1.00","1.00"
"24/03/2020 10:23:23 AM","0.00","0.00","1.00","1.00"
"24/03/2020 10:16:03 AM","1.00","0.00","1.00","1.00"
"24/03/2020 10:00:58 AM","0.00","0.00","1.00","1.00"
"24/03/2020 9:55:19 AM","1.00","0.00","1.00","1.00"
"24/03/2020 9:47:22 AM","0.00","0.00","1.00","1.00"
"24/03/2020 9:32:20 AM","0.00","1.00","1.00","1.00"
"24/03/2020 9:09:33 AM","0.00","0.00","1.00","1.00"
"24/03/2020 9:04:29 AM","1.00","0.00","1.00","1.00"
"24/03/2020 8:56:26 AM","0.00","0.00","1.00","1.00"
"24/03/2020 8:41:25 AM","0.00","1.00","1.00","1.00"
"24/03/2020 6:33:18 AM","0.00","0.00","1.00","1.00"
"24/03/2020 6:26:10 AM","0.00","1.00","1.00","1.00"
"24/03/2020 6:19:33 AM","1.00","1.00","1.00","1.00"
"24/03/2020 6:00:01 AM","0.00","1.00","1.00","1.00"
"24/03/2020 5:58:36 AM","0.00","1.00","1.00","0.00"
"23/03/2020 10:40:06 PM","0.00","0.00","1.00","0.00"
"23/03/2020 10:24:58 PM","0.00","1.00","1.00","0.00"
"23/03/2020 7:22:31 PM","0.00","0.00","1.00","0.00"
"23/03/2020 7:17:27 PM","1.00","0.00","1.00","0.00"
"23/03/2020 7:07:13 PM","0.00","0.00","1.00","0.00"
"23/03/2020 7:02:11 PM","1.00","0.00","1.00","0.00"
"23/03/2020 6:08:07 PM","0.00","0.00","1.00","0.00"
"23/03/2020 6:08:03 PM","0.00","0.00","1.00","1.00"
"23/03/2020 5:54:41 PM","0.00","1.00","1.00","1.00"
"23/03/2020 5:52:58 PM","1.00","1.00","1.00","1.00"
"23/03/2020 5:47:30 PM","1.00","0.00","1.00","1.00"
"23/03/2020 5:46:25 PM","0.00","0.00","1.00","1.00"
"23/03/2020 5:31:09 PM","0.00","1.00","1.00","1.00"
"23/03/2020 4:48:52 PM","0.00","0.00","1.00","1.00"
"23/03/2020 4:33:24 PM","0.00","1.00","1.00","1.00"
"23/03/2020 4:25:29 PM","0.00","0.00","1.00","1.00"
"23/03/2020 3:35:20 PM","0.00","1.00","1.00","1.00"
"23/03/2020 3:34:37 PM","1.00","1.00","1.00","1.00"
"23/03/2020 3:28:09 PM","1.00","0.00","1.00","1.00"
"23/03/2020 3:25:38 PM","1.00","1.00","1.00","1.00"
"23/03/2020 3:06:27 PM","0.00","1.00","1.00","1.00"
"23/03/2020 10:29:57 AM","0.00","0.00","1.00","1.00"
"23/03/2020 10:24:04 AM","1.00","0.00","1.00","1.00"
"23/03/2020 10:05:36 AM","0.00","0.00","1.00","1.00"
"23/03/2020 9:49:29 AM","0.00","1.00","1.00","1.00"
"23/03/2020 9:48:36 AM","0.00","0.00","1.00","1.00"
"23/03/2020 9:37:04 AM","0.00","1.00","1.00","1.00"
"23/03/2020 9:33:30 AM","1.00","1.00","1.00","1.00"
"23/03/2020 9:31:58 AM","1.00","0.00","1.00","1.00"
"23/03/2020 9:31:50 AM","0.00","0.00","1.00","1.00"
"23/03/2020 9:16:44 AM","0.00","1.00","1.00","1.00"
"23/03/2020 8:06:33 AM","0.00","0.00","1.00","1.00"
"23/03/2020 7:51:23 AM","0.00","1.00","1.00","1.00"
"23/03/2020 6:28:04 AM","0.00","0.00","1.00","1.00"
"23/03/2020 6:20:38 AM","0.00","1.00","1.00","1.00"
"23/03/2020 6:13:56 AM","1.00","1.00","1.00","1.00"
"23/03/2020 6:11:23 AM","0.00","1.00","1.00","1.00"
"23/03/2020 6:07:07 AM","0.00","0.00","1.00","1.00"
"23/03/2020 6:00:02 AM","0.00","1.00","1.00","1.00"
"23/03/2020 5:48:46 AM","0.00","1.00","1.00","0.00"
"21/03/2020 11:07:29 AM","0.00","0.00","1.00","0.00"
"21/03/2020 10:52:13 AM","0.00","1.00","1.00","0.00"
"20/03/2020 11:14:29 PM","0.00","0.00","1.00","0.00"
"20/03/2020 10:55:03 PM","0.00","1.00","1.00","0.00"
"20/03/2020 10:26:19 PM","0.00","0.00","1.00","0.00"
"20/03/2020 9:57:38 PM","0.00","1.00","1.00","0.00"
"20/03/2020 9:48:29 PM","0.00","0.00","1.00","0.00"
"20/03/2020 9:32:57 PM","0.00","1.00","1.00","0.00"
"20/03/2020 9:29:41 PM","0.00","0.00","1.00","0.00"
"20/03/2020 9:14:41 PM","0.00","1.00","1.00","0.00"
"20/03/2020 8:43:22 PM","0.00","0.00","1.00","0.00"
"20/03/2020 8:37:26 PM","1.00","0.00","1.00","0.00"
"20/03/2020 8:37:22 PM","1.00","1.00","1.00","0.00"
"20/03/2020 8:21:58 PM","0.00","1.00","1.00","0.00"
"20/03/2020 8:05:17 PM","0.00","0.00","1.00","0.00"
"20/03/2020 7:30:54 PM","0.00","1.00","1.00","0.00"
"20/03/2020 6:00:02 PM","0.00","0.00","1.00","0.00"
"20/03/2020 5:45:55 PM","0.00","0.00","1.00","1.00"
"20/03/2020 5:21:01 PM","0.00","1.00","1.00","1.00"
