"Timestamp","AHU-B1-01 CO2 Extended Trend Log","AHU-B1-01 Rh Extended Trend Log","AHU-B1-01 SaTmp Extended Trend Log","AHU-B1-01 ZnTmp Extended Trend Log_1","AHU-B1-01 ZnTmp Extended Trend Log_2","AHU-B1-01 SaTmpSp Extended Trend Log"
"24/03/2020 4:20:35 PM","430.60","45.54","19.07","21.15","21.38","19.50"
"24/03/2020 4:19:20 PM","423.60","45.54","19.05","21.15","21.38","19.50"
"24/03/2020 4:15:35 PM","423.60","45.54","19.05","21.15","21.38","19.50"
"24/03/2020 4:10:35 PM","435.60","45.54","18.99","21.15","21.38","19.50"
"24/03/2020 4:05:35 PM","431.20","45.54","18.82","21.15","21.38","19.50"
"24/03/2020 4:04:20 PM","427.40","45.54","18.82","21.15","21.38","19.50"
"24/03/2020 4:00:35 PM","427.40","45.54","18.82","21.15","21.38","19.50"
"24/03/2020 3:55:35 PM","436.20","45.54","19.16","21.15","21.38","19.50"
"24/03/2020 3:50:35 PM","430.60","45.54","19.79","21.12","21.38","19.50"
"24/03/2020 3:49:20 PM","435.60","45.54","19.88","21.12","21.38","19.50"
"24/03/2020 3:45:35 PM","435.60","45.54","19.88","21.12","21.38","19.50"
"24/03/2020 3:40:35 PM","422.60","45.54","18.87","21.12","21.38","19.50"
"24/03/2020 3:35:35 PM","425.80","45.54","19.02","21.09","21.33","19.50"
"24/03/2020 3:34:20 PM","422.60","45.54","20.25","21.09","21.33","19.50"
"24/03/2020 3:30:35 PM","422.60","45.54","20.25","21.09","21.33","19.50"
"24/03/2020 3:25:35 PM","427.40","45.54","20.99","21.09","21.33","19.50"
"24/03/2020 3:20:35 PM","423.20","45.54","20.19","21.07","21.33","19.50"
"24/03/2020 3:19:20 PM","412.80","45.54","19.45","21.07","21.33","19.50"
"24/03/2020 3:15:35 PM","412.80","44.46","19.45","21.07","21.33","19.50"
"24/03/2020 3:10:35 PM","413.40","44.46","19.42","21.07","21.33","19.50"
"24/03/2020 3:05:35 PM","416.60","44.46","19.39","21.07","21.33","19.50"
"24/03/2020 3:04:20 PM","410.60","44.46","19.39","21.07","21.33","19.50"
"24/03/2020 3:00:35 PM","410.60","44.46","19.39","21.07","21.33","19.50"
"24/03/2020 2:55:35 PM","414.00","44.46","19.48","21.07","21.33","19.50"
"24/03/2020 2:50:35 PM","411.20","44.46","19.42","21.07","21.33","19.50"
"24/03/2020 2:49:20 PM","424.20","44.46","19.25","21.07","21.33","19.50"
"24/03/2020 2:45:35 PM","424.20","44.46","19.25","21.07","21.33","19.50"
"24/03/2020 2:40:35 PM","411.20","44.46","19.33","21.07","21.33","19.50"
"24/03/2020 2:35:35 PM","412.80","44.46","19.27","21.09","21.36","19.50"
"24/03/2020 2:34:20 PM","409.00","44.46","19.19","21.09","21.36","19.50"
"24/03/2020 2:30:35 PM","409.00","44.46","19.19","21.09","21.36","19.50"
"24/03/2020 2:25:35 PM","413.40","44.46","18.67","21.09","21.36","19.50"
"24/03/2020 2:20:35 PM","421.00","44.46","18.44","21.12","21.41","19.50"
"24/03/2020 2:19:20 PM","425.80","44.46","18.64","21.12","21.41","19.50"
"24/03/2020 2:15:35 PM","425.80","44.46","18.64","21.12","21.41","19.50"
"24/03/2020 2:10:35 PM","425.80","44.46","19.25","21.12","21.41","19.50"
"24/03/2020 2:05:35 PM","422.00","44.46","18.79","21.15","21.44","19.50"
"24/03/2020 2:04:20 PM","424.20","44.46","18.99","21.15","21.44","19.50"
"24/03/2020 2:00:35 PM","424.20","44.46","18.99","21.15","21.44","19.50"
"24/03/2020 1:55:35 PM","428.60","44.46","19.50","21.15","21.44","19.50"
"24/03/2020 1:50:35 PM","441.60","44.46","19.50","21.15","21.47","19.50"
"24/03/2020 1:49:20 PM","431.20","44.46","20.39","21.15","21.47","19.50"
"24/03/2020 1:45:35 PM","431.20","44.46","20.39","21.15","21.47","19.50"
"24/03/2020 1:40:35 PM","430.60","44.46","20.88","21.15","21.47","19.50"
"24/03/2020 1:35:35 PM","428.00","44.46","19.65","21.18","21.47","19.50"
"24/03/2020 1:34:20 PM","428.00","44.46","21.25","21.18","21.47","19.50"
"24/03/2020 1:30:35 PM","428.00","44.46","21.25","21.18","21.47","19.50"
"24/03/2020 1:25:35 PM","423.60","44.46","19.99","21.18","21.47","19.50"
"24/03/2020 1:20:35 PM","422.00","44.46","19.93","21.18","21.50","19.50"
"24/03/2020 1:19:20 PM","418.80","44.46","19.99","21.18","21.50","19.50"
"24/03/2020 1:15:35 PM","418.80","44.46","19.99","21.18","21.50","19.50"
"24/03/2020 1:10:35 PM","419.40","44.46","19.93","21.18","21.50","19.50"
"24/03/2020 1:05:35 PM","434.00","44.46","19.90","21.21","21.53","19.50"
"24/03/2020 1:04:20 PM","433.40","44.46","19.85","21.21","21.53","19.50"
"24/03/2020 1:00:35 PM","433.40","44.46","19.85","21.21","21.53","19.50"
"24/03/2020 12:55:35 PM","433.40","44.46","19.85","21.21","21.53","19.50"
"24/03/2020 12:50:35 PM","425.80","44.46","19.90","21.21","21.56","19.50"
"24/03/2020 12:49:20 PM","455.00","44.46","20.02","21.21","21.56","19.50"
"24/03/2020 12:45:35 PM","455.00","45.48","20.02","21.21","21.56","19.50"
"24/03/2020 12:40:35 PM","432.40","45.48","19.96","21.21","21.56","19.50"
"24/03/2020 12:35:35 PM","429.60","45.48","19.93","21.21","21.58","19.50"
