"Timestamp","AHU_B1_02-PIR2 Log","AHU_B1_02-Sts Log","AHU_B1_02-Enable Log"
"24/03/2020 4:09:47 PM","1.00","1.00","1.00"
"24/03/2020 3:41:12 PM","0.00","1.00","1.00"
"24/03/2020 3:36:11 PM","1.00","1.00","1.00"
"24/03/2020 3:19:13 PM","0.00","1.00","1.00"
"24/03/2020 3:14:13 PM","1.00","1.00","1.00"
"24/03/2020 1:45:36 PM","0.00","1.00","1.00"
"24/03/2020 1:40:36 PM","1.00","1.00","1.00"
"24/03/2020 1:19:11 PM","0.00","1.00","1.00"
"24/03/2020 1:14:11 PM","1.00","1.00","1.00"
"24/03/2020 10:21:23 AM","0.00","1.00","1.00"
"24/03/2020 10:16:22 AM","1.00","1.00","1.00"
"24/03/2020 9:51:15 AM","0.00","1.00","1.00"
"24/03/2020 9:45:57 AM","1.00","1.00","1.00"
"24/03/2020 9:07:32 AM","0.00","1.00","1.00"
"24/03/2020 9:02:33 AM","1.00","1.00","1.00"
"24/03/2020 8:03:58 AM","0.00","1.00","1.00"
"24/03/2020 7:51:57 AM","1.00","1.00","1.00"
"24/03/2020 6:58:39 AM","0.00","1.00","1.00"
"24/03/2020 6:38:32 AM","1.00","1.00","1.00"
"24/03/2020 6:16:27 AM","0.00","1.00","1.00"
"24/03/2020 6:03:42 AM","1.00","1.00","1.00"
"24/03/2020 6:03:30 AM","1.00","0.00","1.00"
"24/03/2020 6:00:01 AM","0.00","0.00","1.00"
"24/03/2020 5:59:25 AM","0.00","0.00","0.00"
"24/03/2020 5:52:40 AM","1.00","0.00","0.00"
"24/03/2020 4:30:46 AM","0.00","0.00","0.00"
"24/03/2020 4:25:28 AM","1.00","0.00","0.00"
"23/03/2020 11:29:51 PM","0.00","0.00","0.00"
"23/03/2020 11:24:39 PM","1.00","0.00","0.00"
"23/03/2020 6:00:15 PM","0.00","0.00","0.00"
"23/03/2020 6:00:01 PM","0.00","1.00","0.00"
"23/03/2020 5:39:28 PM","0.00","1.00","1.00"
"23/03/2020 5:34:27 PM","1.00","1.00","1.00"
"23/03/2020 4:58:40 PM","0.00","1.00","1.00"
"23/03/2020 4:53:40 PM","1.00","1.00","1.00"
"23/03/2020 4:06:09 PM","0.00","1.00","1.00"
"23/03/2020 4:01:08 PM","1.00","1.00","1.00"
"23/03/2020 3:06:58 PM","0.00","1.00","1.00"
"23/03/2020 3:01:59 PM","1.00","1.00","1.00"
"23/03/2020 12:48:41 PM","0.00","1.00","1.00"
"23/03/2020 12:43:41 PM","1.00","1.00","1.00"
"23/03/2020 12:25:55 PM","0.00","1.00","1.00"
"23/03/2020 12:20:55 PM","1.00","1.00","1.00"
"23/03/2020 11:51:36 AM","0.00","1.00","1.00"
"23/03/2020 11:46:36 AM","1.00","1.00","1.00"
"23/03/2020 11:41:35 AM","0.00","1.00","1.00"
