"Timestamp","AHU-B1-02 CO2 Extended Trend Log","AHU-B1-02 Rh Extended Trend Log","AHU-B1-02 SaTmp Extended Trend Log","AHU-B1-02 SaTmpSp Extended Trend Log","AHU-B1-02 ZnTmp Extended Trend Log_1","AHU-B1-02 ZnTmp Extended Trend Log_2"
"24/03/2020 4:25:35 PM","427.80","45.00","19.07","19.00","21.90","22.18"
"24/03/2020 4:20:35 PM","427.20","45.00","19.42","19.00","21.90","22.18"
"24/03/2020 4:19:20 PM","432.00","45.00","19.42","19.00","21.90","22.18"
"24/03/2020 4:15:35 PM","432.00","45.54","19.42","19.00","21.90","22.18"
"24/03/2020 4:10:35 PM","443.00","45.54","19.33","19.00","21.93","22.18"
"24/03/2020 4:05:35 PM","426.60","45.54","19.33","19.00","21.93","22.18"
"24/03/2020 4:04:20 PM","442.40","45.54","19.36","19.00","21.93","22.18"
"24/03/2020 4:00:35 PM","442.40","44.24","19.36","19.00","21.93","22.18"
"24/03/2020 3:55:35 PM","429.40","44.24","19.62","19.00","21.95","22.21"
"24/03/2020 3:50:35 PM","428.80","44.24","19.47","19.00","21.95","22.24"
"24/03/2020 3:49:20 PM","447.20","44.24","19.22","19.00","21.98","22.27"
"24/03/2020 3:45:35 PM","447.20","44.00","19.22","19.00","21.98","22.27"
"24/03/2020 3:40:35 PM","440.80","44.00","17.73","19.00","22.01","22.30"
"24/03/2020 3:35:35 PM","436.40","44.00","18.53","19.00","22.01","22.30"
"24/03/2020 3:34:20 PM","427.20","44.00","20.33","19.00","22.01","22.33"
"24/03/2020 3:30:35 PM","427.20","44.16","20.33","19.00","22.01","22.33"
"24/03/2020 3:25:35 PM","449.40","44.16","21.19","19.00","22.04","22.33"
"24/03/2020 3:20:35 PM","439.20","44.16","19.85","19.00","22.04","22.35"
"24/03/2020 3:19:20 PM","432.60","44.16","19.25","19.00","22.07","22.38"
"24/03/2020 3:15:35 PM","432.60","39.56","19.25","19.00","22.07","22.38"
"24/03/2020 3:10:35 PM","435.40","39.56","19.22","19.00","22.07","22.38"
"24/03/2020 3:05:35 PM","432.00","39.56","19.19","19.00","22.10","22.41"
"24/03/2020 3:04:20 PM","430.40","39.56","19.25","19.00","22.10","22.41"
"24/03/2020 3:00:35 PM","430.40","42.57","19.25","19.00","22.10","22.41"
"24/03/2020 2:55:35 PM","427.80","42.57","19.19","19.00","22.13","22.44"
"24/03/2020 2:50:35 PM","427.20","42.57","19.16","19.00","22.15","22.47"
"24/03/2020 2:49:20 PM","427.20","42.57","19.19","19.00","22.15","22.47"
"24/03/2020 2:45:35 PM","427.20","42.38","19.19","19.00","22.15","22.47"
"24/03/2020 2:40:35 PM","427.20","42.38","19.25","19.00","22.18","22.50"
"24/03/2020 2:35:35 PM","434.80","42.38","19.33","19.00","22.21","22.50"
"24/03/2020 2:34:20 PM","426.60","42.38","19.59","19.00","22.21","22.50"
"24/03/2020 2:30:35 PM","426.60","43.43","19.59","19.00","22.21","22.50"
"24/03/2020 2:25:35 PM","441.20","43.43","20.10","19.00","22.21","22.50"
"24/03/2020 2:20:35 PM","441.80","43.43","21.16","19.44","22.21","22.50"
"24/03/2020 2:19:20 PM","431.00","43.43","22.61","20.52","22.18","22.47"
"24/03/2020 2:15:35 PM","431.00","42.59","22.61","20.52","22.18","22.47"
"24/03/2020 2:10:35 PM","432.00","42.59","23.90","21.45","22.13","22.41"
