"Timestamp","FCU-00-04  PIR Log","FCU-00-04   Enable Log","FCU-00-04  Status Log"
"24/03/2020 7:05:46 AM","0.00","1.00","1.00"
"24/03/2020 6:56:01 AM","1.00","1.00","1.00"
"24/03/2020 6:00:09 AM","0.00","1.00","1.00"
"24/03/2020 6:00:01 AM","0.00","1.00","0.00"
"23/03/2020 7:45:05 PM","0.00","0.00","0.00"
"23/03/2020 7:45:01 PM","0.00","0.00","1.00"
"23/03/2020 7:13:54 PM","0.00","1.00","1.00"
"23/03/2020 7:05:55 PM","1.00","1.00","1.00"
"23/03/2020 7:02:34 PM","0.00","1.00","1.00"
"23/03/2020 6:06:03 PM","1.00","1.00","1.00"
"23/03/2020 6:06:01 PM","1.00","1.00","0.00"
"23/03/2020 6:00:04 PM","1.00","0.00","0.00"
"23/03/2020 6:00:01 PM","1.00","0.00","1.00"
"23/03/2020 4:28:04 PM","1.00","1.00","1.00"
"23/03/2020 4:26:42 PM","0.00","1.00","1.00"
"23/03/2020 4:15:57 PM","1.00","1.00","1.00"
"23/03/2020 4:15:24 PM","0.00","1.00","1.00"
"23/03/2020 4:08:04 PM","1.00","1.00","1.00"
"23/03/2020 4:07:55 PM","0.00","1.00","1.00"
"23/03/2020 3:41:25 PM","1.00","1.00","1.00"
"23/03/2020 3:38:22 PM","0.00","1.00","1.00"
"23/03/2020 3:18:56 PM","1.00","1.00","1.00"
"23/03/2020 3:12:54 PM","0.00","1.00","1.00"
"23/03/2020 3:01:05 PM","1.00","1.00","1.00"
"23/03/2020 2:59:59 PM","0.00","1.00","1.00"
"23/03/2020 2:45:18 PM","1.00","1.00","1.00"
"23/03/2020 2:43:46 PM","0.00","1.00","1.00"
"23/03/2020 1:40:03 PM","1.00","1.00","1.00"
"23/03/2020 7:49:14 AM","0.00","1.00","1.00"
"23/03/2020 7:49:11 AM","0.00","1.00","0.00"
"23/03/2020 7:47:33 AM","0.00","0.00","0.00"
"23/03/2020 7:47:31 AM","0.00","0.00","1.00"
"23/03/2020 7:41:33 AM","0.00","1.00","1.00"
"23/03/2020 7:41:31 AM","0.00","1.00","0.00"
"23/03/2020 7:34:13 AM","0.00","0.00","0.00"
"23/03/2020 7:34:11 AM","0.00","0.00","1.00"
"23/03/2020 7:03:02 AM","0.00","1.00","1.00"
"23/03/2020 6:52:23 AM","1.00","1.00","1.00"
"23/03/2020 6:00:09 AM","0.00","1.00","1.00"
"23/03/2020 6:00:01 AM","0.00","1.00","0.00"
"20/03/2020 9:25:33 PM","0.00","0.00","0.00"
"20/03/2020 9:25:31 PM","0.00","0.00","1.00"
"20/03/2020 8:54:34 PM","0.00","1.00","1.00"
"20/03/2020 8:54:31 PM","0.00","1.00","0.00"
"20/03/2020 8:54:21 PM","0.00","0.00","0.00"
"20/03/2020 8:48:29 PM","1.00","0.00","0.00"
"20/03/2020 7:10:14 PM","0.00","0.00","0.00"
"20/03/2020 7:10:11 PM","0.00","0.00","1.00"
"20/03/2020 6:39:10 PM","0.00","1.00","1.00"
"20/03/2020 6:06:03 PM","1.00","1.00","1.00"
"20/03/2020 6:06:01 PM","1.00","1.00","0.00"
"20/03/2020 6:00:03 PM","1.00","0.00","0.00"
"20/03/2020 6:00:01 PM","1.00","0.00","1.00"
"20/03/2020 5:29:34 PM","1.00","1.00","1.00"
"20/03/2020 5:29:31 PM","1.00","1.00","0.00"
"20/03/2020 5:29:27 PM","1.00","0.00","0.00"
"20/03/2020 2:28:24 PM","0.00","0.00","0.00"
"20/03/2020 2:28:21 PM","0.00","0.00","1.00"
"20/03/2020 1:57:13 PM","0.00","1.00","1.00"
"20/03/2020 1:40:04 PM","1.00","1.00","1.00"
"20/03/2020 1:40:01 PM","1.00","1.00","0.00"
"20/03/2020 1:39:53 PM","1.00","0.00","0.00"
"20/03/2020 7:40:03 AM","0.00","0.00","0.00"
"20/03/2020 7:40:01 AM","0.00","0.00","1.00"
"20/03/2020 7:08:53 AM","0.00","1.00","1.00"
"20/03/2020 6:57:04 AM","1.00","1.00","1.00"
"20/03/2020 6:57:01 AM","1.00","1.00","0.00"
"20/03/2020 6:56:56 AM","1.00","0.00","0.00"
"19/03/2020 7:12:34 PM","0.00","0.00","0.00"
"19/03/2020 7:12:31 PM","0.00","0.00","1.00"
"19/03/2020 6:41:23 PM","0.00","1.00","1.00"
"19/03/2020 6:06:03 PM","1.00","1.00","1.00"
"19/03/2020 6:06:01 PM","1.00","1.00","0.00"
"19/03/2020 6:00:04 PM","1.00","0.00","0.00"
"19/03/2020 6:00:01 PM","1.00","0.00","1.00"
"19/03/2020 4:06:11 PM","1.00","1.00","1.00"
"19/03/2020 3:59:35 PM","0.00","1.00","1.00"
"19/03/2020 3:46:54 PM","1.00","1.00","1.00"
"19/03/2020 3:46:51 PM","1.00","1.00","0.00"
"19/03/2020 3:46:47 PM","1.00","0.00","0.00"
"19/03/2020 9:47:14 AM","0.00","0.00","0.00"
"19/03/2020 9:47:11 AM","0.00","0.00","1.00"
"19/03/2020 9:16:03 AM","0.00","1.00","1.00"
"19/03/2020 8:58:04 AM","1.00","1.00","1.00"
"19/03/2020 8:58:01 AM","1.00","1.00","0.00"
"19/03/2020 8:57:57 AM","1.00","0.00","0.00"
"19/03/2020 7:33:53 AM","0.00","0.00","0.00"
"19/03/2020 7:33:51 AM","0.00","0.00","1.00"
"19/03/2020 7:02:40 AM","0.00","1.00","1.00"
"19/03/2020 6:53:24 AM","1.00","1.00","1.00"
"19/03/2020 6:53:21 AM","1.00","1.00","0.00"
"19/03/2020 6:53:20 AM","1.00","0.00","0.00"
"18/03/2020 7:31:33 PM","0.00","0.00","0.00"
"18/03/2020 7:31:31 PM","0.00","0.00","1.00"
"18/03/2020 7:00:27 PM","0.00","1.00","1.00"
"18/03/2020 6:06:03 PM","1.00","1.00","1.00"
"18/03/2020 6:06:01 PM","1.00","1.00","0.00"
"18/03/2020 6:00:03 PM","1.00","0.00","0.00"
"18/03/2020 6:00:01 PM","1.00","0.00","1.00"
"18/03/2020 1:52:33 PM","1.00","1.00","1.00"
"18/03/2020 1:52:31 PM","1.00","1.00","0.00"
"18/03/2020 1:52:23 PM","1.00","0.00","0.00"
"18/03/2020 10:45:04 AM","0.00","0.00","0.00"
"18/03/2020 10:45:01 AM","0.00","0.00","1.00"
"18/03/2020 10:13:53 AM","0.00","1.00","1.00"
"18/03/2020 9:52:13 AM","1.00","1.00","1.00"
"18/03/2020 9:52:11 AM","1.00","1.00","0.00"
"18/03/2020 9:52:06 AM","1.00","0.00","0.00"
"18/03/2020 7:38:23 AM","0.00","0.00","0.00"
"18/03/2020 7:38:21 AM","0.00","0.00","1.00"
"18/03/2020 7:07:15 AM","0.00","1.00","1.00"
"18/03/2020 6:50:09 AM","1.00","1.00","1.00"
"18/03/2020 6:50:01 AM","1.00","1.00","0.00"
"18/03/2020 6:49:55 AM","1.00","0.00","0.00"
"17/03/2020 10:51:59 AM","0.00","0.00","0.00"
"17/03/2020 10:51:51 AM","0.00","0.00","1.00"
"17/03/2020 10:20:38 AM","0.00","1.00","1.00"
"17/03/2020 10:11:24 AM","1.00","1.00","1.00"
"17/03/2020 10:11:21 AM","1.00","1.00","0.00"
"17/03/2020 10:11:13 AM","1.00","0.00","0.00"
"17/03/2020 9:51:13 AM","0.00","0.00","0.00"
"17/03/2020 9:51:11 AM","0.00","0.00","1.00"
"17/03/2020 9:19:57 AM","0.00","1.00","1.00"
"17/03/2020 9:14:53 AM","1.00","1.00","1.00"
"17/03/2020 9:14:51 AM","1.00","1.00","0.00"
"17/03/2020 9:09:13 AM","0.00","0.00","0.00"
"17/03/2020 9:09:11 AM","0.00","0.00","1.00"
"17/03/2020 9:09:04 AM","0.00","1.00","1.00"
"17/03/2020 9:09:01 AM","0.00","1.00","0.00"
"17/03/2020 9:08:43 AM","0.00","0.00","0.00"
"17/03/2020 9:08:41 AM","0.00","0.00","1.00"
"17/03/2020 9:05:53 AM","0.00","1.00","1.00"
"17/03/2020 9:05:51 AM","0.00","1.00","0.00"
"17/03/2020 9:05:46 AM","0.00","0.00","0.00"
"17/03/2020 9:05:41 AM","0.00","0.00","1.00"
"17/03/2020 9:05:34 AM","0.00","1.00","1.00"
"17/03/2020 9:05:31 AM","0.00","1.00","0.00"
"17/03/2020 9:05:06 AM","0.00","0.00","0.00"
"17/03/2020 9:05:01 AM","0.00","0.00","1.00"
"17/03/2020 9:04:54 AM","0.00","1.00","1.00"
"17/03/2020 9:04:51 AM","0.00","1.00","0.00"
"17/03/2020 9:04:26 AM","0.00","0.00","0.00"
"17/03/2020 9:04:21 AM","0.00","0.00","1.00"
"17/03/2020 9:04:13 AM","0.00","1.00","1.00"
"17/03/2020 9:04:11 AM","0.00","1.00","0.00"
"17/03/2020 9:00:03 AM","0.00","0.00","0.00"
"17/03/2020 9:00:01 AM","0.00","0.00","1.00"
"17/03/2020 8:56:34 AM","0.00","1.00","1.00"
"17/03/2020 8:56:31 AM","0.00","1.00","0.00"
"17/03/2020 8:55:56 AM","0.00","0.00","0.00"
"17/03/2020 8:55:51 AM","0.00","0.00","1.00"
"17/03/2020 8:55:49 AM","0.00","1.00","1.00"
