"Timestamp","FCU-00-06   PIR Log","FCU-00-06   Enable Log","FCU-00-06   Status Log"
"24/03/2020 8:09:19 AM","0.00","1.00","1.00"
"24/03/2020 8:09:18 AM","0.00","1.00","0.00"
"24/03/2020 7:35:28 AM","0.00","1.00","1.00"
"24/03/2020 7:35:27 AM","0.00","1.00","0.00"
"24/03/2020 7:35:26 AM","0.00","1.00","1.00"
"24/03/2020 7:35:25 AM","0.00","1.00","0.00"
"24/03/2020 7:35:20 AM","0.00","1.00","1.00"
"24/03/2020 7:35:18 AM","0.00","1.00","0.00"
"24/03/2020 7:35:06 AM","0.00","1.00","1.00"
"24/03/2020 7:32:41 AM","0.00","1.00","1.00"
"24/03/2020 7:32:40 AM","0.00","1.00","0.00"
"24/03/2020 6:15:01 AM","0.00","1.00","1.00"
"24/03/2020 6:08:48 AM","1.00","1.00","1.00"
"24/03/2020 6:00:07 AM","0.00","1.00","1.00"
"24/03/2020 6:00:03 AM","0.00","1.00","0.00"
"23/03/2020 4:46:56 PM","0.00","0.00","0.00"
"23/03/2020 4:46:53 PM","0.00","0.00","1.00"
"23/03/2020 4:15:40 PM","0.00","1.00","1.00"
"23/03/2020 1:56:08 PM","1.00","1.00","1.00"
"23/03/2020 1:56:07 PM","1.00","1.00","0.00"
"23/03/2020 1:51:58 PM","1.00","1.00","1.00"
"23/03/2020 1:51:22 PM","1.00","1.00","1.00"
"23/03/2020 1:51:21 PM","1.00","1.00","1.00"
"23/03/2020 1:40:49 PM","1.00","1.00","1.00"
"23/03/2020 1:40:48 PM","1.00","1.00","1.00"
"23/03/2020 1:40:47 PM","1.00","1.00","0.00"
"23/03/2020 1:40:27 PM","1.00","1.00","1.00"
"23/03/2020 1:40:26 PM","1.00","1.00","0.00"
"23/03/2020 1:40:11 PM","1.00","1.00","1.00"
"23/03/2020 1:40:03 PM","1.00","1.00","1.00"
"23/03/2020 1:40:02 PM","1.00","1.00","0.00"
"23/03/2020 1:36:48 PM","1.00","1.00","1.00"
"23/03/2020 1:36:43 PM","1.00","1.00","0.00"
"23/03/2020 1:36:35 PM","1.00","0.00","0.00"
"23/03/2020 12:13:06 PM","0.00","0.00","0.00"
"23/03/2020 12:13:05 PM","0.00","0.00","1.00"
"23/03/2020 12:13:03 PM","0.00","0.00","0.00"
"23/03/2020 12:13:02 PM","0.00","1.00","1.00"
"23/03/2020 12:12:53 PM","0.00","1.00","0.00"
"23/03/2020 12:12:11 PM","0.00","0.00","0.00"
"23/03/2020 12:12:03 PM","0.00","0.00","1.00"
"23/03/2020 12:11:53 PM","0.00","1.00","1.00"
"23/03/2020 12:11:43 PM","0.00","1.00","0.00"
"23/03/2020 12:11:41 PM","0.00","0.00","0.00"
"23/03/2020 12:11:33 PM","0.00","0.00","1.00"
"23/03/2020 12:11:22 PM","0.00","1.00","1.00"
"23/03/2020 12:11:20 PM","0.00","1.00","0.00"
"23/03/2020 12:11:19 PM","0.00","1.00","1.00"
"23/03/2020 12:11:13 PM","0.00","1.00","0.00"
"23/03/2020 12:11:06 PM","0.00","0.00","0.00"
"23/03/2020 12:11:03 PM","0.00","0.00","1.00"
"23/03/2020 12:10:38 PM","0.00","1.00","1.00"
"23/03/2020 12:10:33 PM","0.00","1.00","0.00"
"23/03/2020 12:10:26 PM","0.00","0.00","0.00"
"23/03/2020 12:10:23 PM","0.00","0.00","1.00"
"23/03/2020 12:07:45 PM","0.00","1.00","1.00"
"23/03/2020 12:02:49 PM","0.00","1.00","1.00"
"23/03/2020 12:02:43 PM","0.00","1.00","0.00"
"23/03/2020 12:02:36 PM","0.00","0.00","0.00"
"23/03/2020 12:02:33 PM","0.00","0.00","1.00"
"23/03/2020 12:02:19 PM","0.00","1.00","1.00"
"23/03/2020 12:02:13 PM","0.00","1.00","0.00"
"23/03/2020 12:01:56 PM","0.00","0.00","0.00"
"23/03/2020 12:01:53 PM","0.00","0.00","1.00"
"23/03/2020 12:01:47 PM","0.00","1.00","1.00"
"23/03/2020 12:01:43 PM","0.00","1.00","0.00"
"23/03/2020 12:01:36 PM","0.00","0.00","0.00"
"23/03/2020 12:01:33 PM","0.00","0.00","1.00"
"23/03/2020 12:01:07 PM","0.00","1.00","1.00"
"23/03/2020 12:01:03 PM","0.00","1.00","0.00"
"23/03/2020 12:00:56 PM","0.00","0.00","0.00"
"23/03/2020 12:00:53 PM","0.00","0.00","1.00"
"23/03/2020 12:00:28 PM","0.00","1.00","1.00"
"23/03/2020 12:00:23 PM","0.00","1.00","0.00"
"23/03/2020 12:00:06 PM","0.00","0.00","0.00"
"23/03/2020 12:00:03 PM","0.00","0.00","1.00"
"23/03/2020 11:59:57 AM","0.00","1.00","1.00"
"23/03/2020 11:59:53 AM","0.00","1.00","0.00"
"23/03/2020 11:59:16 AM","0.00","0.00","0.00"
"23/03/2020 11:59:13 AM","0.00","0.00","1.00"
"23/03/2020 11:59:10 AM","0.00","1.00","1.00"
"23/03/2020 11:59:09 AM","0.00","1.00","0.00"
"23/03/2020 11:59:07 AM","0.00","1.00","0.00"
"23/03/2020 11:59:05 AM","0.00","1.00","1.00"
"23/03/2020 11:59:02 AM","0.00","1.00","0.00"
"23/03/2020 11:58:53 AM","0.00","1.00","0.00"
"23/03/2020 11:58:26 AM","0.00","0.00","0.00"
"23/03/2020 11:58:23 AM","0.00","0.00","1.00"
"23/03/2020 11:58:18 AM","0.00","1.00","1.00"
"23/03/2020 11:58:13 AM","0.00","1.00","0.00"
"23/03/2020 11:57:16 AM","0.00","0.00","0.00"
"23/03/2020 11:57:13 AM","0.00","0.00","1.00"
"23/03/2020 11:57:09 AM","0.00","1.00","1.00"
"23/03/2020 11:57:03 AM","0.00","1.00","0.00"
"23/03/2020 11:56:16 AM","0.00","0.00","0.00"
"23/03/2020 11:56:13 AM","0.00","0.00","1.00"
"23/03/2020 11:56:12 AM","0.00","1.00","1.00"
