"Timestamp","FCU-00-08   PIR Log","FCU-00-08  Enable Log","FCU-00-08   Status Log"
"24/03/2020 5:38:12 AM","0.00","1.00","1.00"
"24/03/2020 5:37:01 AM","1.00","1.00","1.00"
"24/03/2020 5:36:58 AM","1.00","1.00","0.00"
"24/03/2020 5:30:58 AM","1.00","0.00","0.00"
"23/03/2020 7:36:20 PM","0.00","0.00","0.00"
"23/03/2020 7:36:18 PM","0.00","0.00","1.00"
"23/03/2020 7:05:11 PM","0.00","1.00","1.00"
"23/03/2020 6:59:28 PM","1.00","1.00","1.00"
"23/03/2020 6:54:55 PM","0.00","1.00","1.00"
"23/03/2020 6:49:51 PM","1.00","1.00","1.00"
"23/03/2020 6:40:09 PM","0.00","1.00","1.00"
"23/03/2020 6:34:59 PM","1.00","1.00","1.00"
"23/03/2020 6:32:26 PM","0.00","1.00","1.00"
"23/03/2020 6:06:10 PM","1.00","1.00","1.00"
"23/03/2020 6:06:08 PM","1.00","1.00","0.00"
"23/03/2020 6:00:10 PM","1.00","0.00","0.00"
"23/03/2020 6:00:08 PM","1.00","0.00","1.00"
"23/03/2020 3:58:51 PM","1.00","1.00","1.00"
"23/03/2020 3:43:20 PM","0.00","1.00","1.00"
"23/03/2020 3:34:41 PM","1.00","1.00","1.00"
"23/03/2020 3:34:38 PM","1.00","1.00","0.00"
"23/03/2020 1:38:20 PM","0.00","0.00","0.00"
"23/03/2020 1:38:18 PM","0.00","0.00","1.00"
"23/03/2020 1:07:06 PM","0.00","1.00","1.00"
"23/03/2020 12:50:21 PM","1.00","1.00","1.00"
"23/03/2020 12:50:18 PM","1.00","1.00","0.00"
"23/03/2020 12:50:17 PM","1.00","0.00","0.00"
"23/03/2020 10:40:20 AM","0.00","0.00","0.00"
"23/03/2020 10:40:18 AM","0.00","0.00","1.00"
"23/03/2020 10:09:05 AM","0.00","1.00","1.00"
"23/03/2020 9:49:19 AM","1.00","1.00","1.00"
"23/03/2020 6:37:01 AM","0.00","1.00","1.00"
"23/03/2020 6:36:58 AM","0.00","1.00","0.00"
"23/03/2020 6:35:30 AM","0.00","0.00","0.00"
"23/03/2020 6:35:28 AM","0.00","0.00","1.00"
"23/03/2020 6:35:21 AM","0.00","1.00","1.00"
"23/03/2020 6:35:18 AM","0.00","1.00","0.00"
"23/03/2020 6:35:10 AM","0.00","0.00","0.00"
"23/03/2020 6:35:08 AM","0.00","0.00","1.00"
"23/03/2020 5:52:03 AM","0.00","1.00","1.00"
"23/03/2020 5:47:51 AM","1.00","1.00","1.00"
"23/03/2020 5:47:48 AM","1.00","1.00","0.00"
"23/03/2020 5:41:45 AM","1.00","0.00","0.00"
"22/03/2020 4:33:10 PM","0.00","0.00","0.00"
"22/03/2020 4:33:08 PM","0.00","0.00","1.00"
"22/03/2020 4:02:08 PM","0.00","1.00","1.00"
"22/03/2020 3:56:44 PM","1.00","1.00","1.00"
"22/03/2020 3:36:51 PM","0.00","1.00","1.00"
"22/03/2020 3:36:48 PM","0.00","1.00","0.00"
"22/03/2020 3:36:20 PM","0.00","0.00","0.00"
"22/03/2020 3:30:40 PM","1.00","0.00","0.00"
"21/03/2020 4:47:50 PM","0.00","0.00","0.00"
"21/03/2020 4:47:48 PM","0.00","0.00","1.00"
"21/03/2020 4:16:40 PM","0.00","1.00","1.00"
"21/03/2020 4:11:00 PM","1.00","1.00","1.00"
"21/03/2020 4:10:18 PM","0.00","1.00","1.00"
"21/03/2020 4:05:16 PM","1.00","1.00","1.00"
"21/03/2020 3:55:35 PM","0.00","1.00","1.00"
"21/03/2020 3:51:11 PM","1.00","1.00","1.00"
"21/03/2020 3:51:08 PM","1.00","1.00","0.00"
"21/03/2020 3:50:09 PM","1.00","0.00","0.00"
"21/03/2020 3:50:00 PM","0.00","0.00","0.00"
"21/03/2020 3:44:59 PM","1.00","0.00","0.00"
"20/03/2020 5:22:10 PM","0.00","0.00","0.00"
"20/03/2020 5:22:08 PM","0.00","0.00","1.00"
"20/03/2020 5:22:01 PM","0.00","1.00","1.00"
"20/03/2020 5:21:58 PM","0.00","1.00","0.00"
"20/03/2020 5:21:10 PM","0.00","0.00","0.00"
"20/03/2020 5:21:08 PM","0.00","0.00","1.00"
"20/03/2020 3:48:01 PM","0.00","1.00","1.00"
"20/03/2020 3:47:58 PM","0.00","1.00","0.00"
"20/03/2020 3:38:10 PM","0.00","0.00","0.00"
"20/03/2020 3:38:08 PM","0.00","0.00","1.00"
"20/03/2020 3:38:01 PM","0.00","1.00","1.00"
"20/03/2020 3:37:58 PM","0.00","1.00","0.00"
"20/03/2020 3:37:50 PM","0.00","0.00","0.00"
"20/03/2020 3:37:48 PM","0.00","0.00","1.00"
"20/03/2020 3:31:46 PM","0.00","1.00","1.00"
"20/03/2020 3:31:38 PM","0.00","1.00","0.00"
"20/03/2020 6:07:25 AM","0.00","0.00","0.00"
"20/03/2020 6:07:18 AM","0.00","0.00","1.00"
"20/03/2020 5:36:11 AM","0.00","1.00","1.00"
"20/03/2020 5:30:21 AM","1.00","1.00","1.00"
"20/03/2020 5:30:18 AM","1.00","1.00","0.00"
"20/03/2020 5:24:16 AM","1.00","0.00","0.00"
"19/03/2020 6:00:10 PM","0.00","0.00","0.00"
"19/03/2020 6:00:08 PM","0.00","0.00","1.00"
