"Timestamp","FCU-00-13   PIR Log","FCU-00-13   Enable Log","FCU-00-13  Status Log"
"24/03/2020 11:16:06 AM","0.00","0.00","0.00"
"24/03/2020 11:16:02 AM","0.00","0.00","1.00"
"24/03/2020 10:50:21 AM","0.00","1.00","1.00"
"24/03/2020 10:50:02 AM","0.00","1.00","1.00"
"24/03/2020 10:36:06 AM","0.00","1.00","1.00"
"24/03/2020 10:36:05 AM","0.00","1.00","0.00"
"24/03/2020 10:34:55 AM","0.00","1.00","1.00"
"24/03/2020 10:33:49 AM","0.00","1.00","1.00"
"24/03/2020 10:32:44 AM","0.00","1.00","1.00"
"24/03/2020 10:32:43 AM","0.00","1.00","0.00"
"24/03/2020 10:31:59 AM","0.00","1.00","1.00"
"24/03/2020 10:29:49 AM","0.00","1.00","1.00"
"24/03/2020 10:28:27 AM","0.00","1.00","1.00"
"24/03/2020 10:27:27 AM","0.00","1.00","1.00"
"24/03/2020 10:27:26 AM","0.00","1.00","0.00"
"24/03/2020 10:27:19 AM","0.00","1.00","1.00"
"24/03/2020 10:27:18 AM","0.00","1.00","0.00"
"24/03/2020 10:27:00 AM","0.00","1.00","1.00"
"24/03/2020 10:24:27 AM","0.00","1.00","1.00"
"24/03/2020 10:23:13 AM","0.00","1.00","1.00"
"24/03/2020 7:38:05 AM","0.00","1.00","1.00"
"24/03/2020 7:32:53 AM","0.00","1.00","1.00"
"24/03/2020 7:32:33 AM","0.00","1.00","1.00"
"24/03/2020 7:32:16 AM","0.00","1.00","1.00"
"24/03/2020 7:31:10 AM","0.00","1.00","1.00"
"24/03/2020 7:30:17 AM","0.00","1.00","1.00"
"24/03/2020 7:28:23 AM","0.00","1.00","1.00"
"24/03/2020 7:26:29 AM","0.00","1.00","1.00"
"24/03/2020 7:26:06 AM","0.00","1.00","1.00"
"24/03/2020 7:08:20 AM","0.00","1.00","1.00"
"24/03/2020 7:03:54 AM","0.00","1.00","1.00"
"24/03/2020 7:03:51 AM","0.00","1.00","1.00"
"24/03/2020 7:02:52 AM","0.00","1.00","1.00"
"24/03/2020 7:02:51 AM","0.00","1.00","0.00"
"24/03/2020 7:01:26 AM","0.00","1.00","1.00"
"24/03/2020 7:01:25 AM","0.00","1.00","1.00"
"24/03/2020 7:01:24 AM","0.00","1.00","0.00"
"24/03/2020 7:01:06 AM","0.00","1.00","1.00"
"24/03/2020 7:00:46 AM","0.00","1.00","1.00"
"24/03/2020 7:00:40 AM","0.00","1.00","1.00"
"24/03/2020 7:00:39 AM","0.00","1.00","0.00"
"24/03/2020 7:00:38 AM","0.00","1.00","1.00"
"24/03/2020 7:00:20 AM","0.00","1.00","1.00"
"24/03/2020 6:59:34 AM","0.00","1.00","1.00"
"24/03/2020 6:56:52 AM","0.00","1.00","1.00"
"24/03/2020 6:56:23 AM","0.00","1.00","1.00"
"24/03/2020 6:56:22 AM","0.00","1.00","0.00"
"24/03/2020 6:53:39 AM","0.00","1.00","1.00"
"24/03/2020 6:53:25 AM","0.00","1.00","1.00"
"24/03/2020 6:53:24 AM","0.00","1.00","0.00"
"24/03/2020 6:53:07 AM","0.00","1.00","1.00"
"24/03/2020 6:52:59 AM","0.00","1.00","1.00"
"24/03/2020 6:52:56 AM","0.00","1.00","1.00"
"24/03/2020 6:52:51 AM","0.00","1.00","1.00"
"24/03/2020 6:52:34 AM","0.00","1.00","1.00"
"24/03/2020 6:52:33 AM","0.00","1.00","0.00"
"24/03/2020 6:52:03 AM","0.00","1.00","1.00"
"24/03/2020 6:52:01 AM","0.00","1.00","0.00"
"24/03/2020 6:51:49 AM","0.00","1.00","1.00"
"24/03/2020 6:51:29 AM","0.00","1.00","1.00"
"24/03/2020 6:51:25 AM","0.00","1.00","1.00"
"24/03/2020 6:51:24 AM","0.00","1.00","0.00"
"24/03/2020 6:47:55 AM","0.00","1.00","1.00"
"24/03/2020 6:47:54 AM","0.00","1.00","0.00"
"24/03/2020 6:47:52 AM","0.00","1.00","1.00"
"24/03/2020 6:47:46 AM","0.00","1.00","1.00"
"24/03/2020 6:47:43 AM","0.00","1.00","1.00"
"24/03/2020 6:47:01 AM","0.00","1.00","1.00"
"24/03/2020 6:47:00 AM","0.00","1.00","0.00"
"24/03/2020 6:46:49 AM","0.00","1.00","1.00"
"24/03/2020 6:45:12 AM","0.00","1.00","1.00"
"24/03/2020 6:45:10 AM","0.00","1.00","0.00"
"24/03/2020 6:45:02 AM","0.00","1.00","1.00"
"24/03/2020 6:45:01 AM","0.00","1.00","0.00"
"24/03/2020 6:44:55 AM","0.00","1.00","1.00"
"24/03/2020 6:44:11 AM","0.00","1.00","1.00"
"24/03/2020 6:44:10 AM","0.00","1.00","0.00"
"24/03/2020 6:44:06 AM","0.00","1.00","1.00"
"24/03/2020 6:43:28 AM","0.00","1.00","1.00"
"24/03/2020 6:43:09 AM","0.00","1.00","1.00"
"24/03/2020 6:32:40 AM","0.00","1.00","1.00"
"24/03/2020 6:28:46 AM","0.00","1.00","1.00"
"24/03/2020 6:28:45 AM","0.00","1.00","0.00"
"24/03/2020 6:23:52 AM","0.00","1.00","1.00"
"24/03/2020 6:20:45 AM","0.00","1.00","1.00"
"24/03/2020 6:20:36 AM","0.00","1.00","1.00"
"24/03/2020 6:20:35 AM","0.00","1.00","0.00"
"24/03/2020 6:20:32 AM","0.00","1.00","1.00"
"24/03/2020 6:20:31 AM","0.00","1.00","0.00"
"24/03/2020 6:20:01 AM","0.00","1.00","1.00"
"24/03/2020 6:19:59 AM","0.00","1.00","0.00"
"24/03/2020 6:18:44 AM","0.00","1.00","1.00"
"24/03/2020 6:18:42 AM","0.00","1.00","1.00"
"24/03/2020 6:13:28 AM","0.00","1.00","1.00"
"24/03/2020 6:12:53 AM","0.00","1.00","1.00"
"24/03/2020 6:12:24 AM","0.00","1.00","1.00"
"24/03/2020 6:12:14 AM","0.00","1.00","1.00"
"24/03/2020 6:12:12 AM","0.00","1.00","0.00"
"24/03/2020 6:12:10 AM","0.00","1.00","1.00"
"24/03/2020 6:11:49 AM","0.00","1.00","1.00"
"24/03/2020 6:11:46 AM","0.00","1.00","0.00"
"24/03/2020 6:10:15 AM","0.00","1.00","1.00"
"24/03/2020 6:10:12 AM","0.00","1.00","1.00"
"24/03/2020 6:10:09 AM","0.00","1.00","0.00"
"24/03/2020 6:00:24 AM","0.00","1.00","1.00"
"24/03/2020 6:00:02 AM","0.00","1.00","0.00"
"23/03/2020 10:56:15 AM","0.00","0.00","0.00"
"23/03/2020 10:56:12 AM","0.00","0.00","1.00"
"23/03/2020 7:51:41 AM","0.00","1.00","1.00"
"23/03/2020 7:51:37 AM","0.00","1.00","1.00"
"23/03/2020 7:50:07 AM","0.00","1.00","1.00"
"23/03/2020 7:43:06 AM","0.00","1.00","1.00"
"23/03/2020 7:43:05 AM","0.00","1.00","0.00"
"23/03/2020 7:37:45 AM","0.00","1.00","1.00"
"23/03/2020 7:36:13 AM","0.00","1.00","1.00"
"23/03/2020 7:36:10 AM","0.00","1.00","1.00"
"23/03/2020 7:36:09 AM","0.00","1.00","0.00"
"23/03/2020 7:36:08 AM","0.00","1.00","1.00"
"23/03/2020 7:36:07 AM","0.00","1.00","1.00"
"23/03/2020 7:35:13 AM","0.00","1.00","1.00"
"23/03/2020 7:35:12 AM","0.00","1.00","0.00"
"23/03/2020 7:34:25 AM","0.00","1.00","1.00"
"23/03/2020 7:34:23 AM","0.00","1.00","0.00"
"23/03/2020 7:34:18 AM","0.00","1.00","1.00"
"23/03/2020 7:34:17 AM","0.00","1.00","1.00"
"23/03/2020 7:30:35 AM","0.00","1.00","1.00"
"23/03/2020 7:23:28 AM","0.00","1.00","1.00"
"23/03/2020 7:23:22 AM","0.00","1.00","1.00"
"23/03/2020 7:23:18 AM","0.00","1.00","1.00"
"23/03/2020 7:22:45 AM","0.00","1.00","1.00"
"23/03/2020 7:20:42 AM","0.00","1.00","1.00"
"23/03/2020 7:20:02 AM","0.00","1.00","0.00"
"23/03/2020 7:17:42 AM","0.00","0.00","0.00"
"23/03/2020 7:17:32 AM","0.00","1.00","0.00"
"16/03/2020 9:46:23 AM","0.00","0.00","0.00"
"16/03/2020 9:46:22 AM","0.00","0.00","1.00"
"16/03/2020 9:45:26 AM","0.00","1.00","1.00"
"16/03/2020 9:45:25 AM","0.00","1.00","0.00"
"16/03/2020 9:40:55 AM","0.00","1.00","1.00"
"16/03/2020 9:36:01 AM","0.00","1.00","1.00"
"16/03/2020 9:35:54 AM","0.00","1.00","1.00"
"16/03/2020 9:35:43 AM","0.00","1.00","1.00"
"16/03/2020 9:33:05 AM","0.00","1.00","1.00"
"16/03/2020 9:28:17 AM","0.00","1.00","1.00"
"16/03/2020 9:27:25 AM","0.00","1.00","1.00"
"16/03/2020 9:26:55 AM","0.00","1.00","1.00"
"16/03/2020 9:25:33 AM","0.00","1.00","1.00"
"16/03/2020 9:23:54 AM","0.00","1.00","1.00"
"16/03/2020 9:22:10 AM","0.00","1.00","1.00"
"16/03/2020 9:07:00 AM","0.00","1.00","1.00"
"16/03/2020 8:50:29 AM","0.00","1.00","1.00"
"16/03/2020 8:47:06 AM","0.00","1.00","1.00"
"16/03/2020 8:32:41 AM","0.00","1.00","1.00"
"16/03/2020 8:32:37 AM","0.00","1.00","1.00"
"16/03/2020 8:31:20 AM","0.00","1.00","1.00"
"16/03/2020 8:31:19 AM","0.00","1.00","0.00"
"16/03/2020 8:30:37 AM","0.00","1.00","1.00"
"16/03/2020 8:30:36 AM","0.00","1.00","0.00"
"16/03/2020 8:28:09 AM","0.00","1.00","1.00"
"16/03/2020 8:27:37 AM","0.00","1.00","1.00"
"16/03/2020 8:27:32 AM","0.00","1.00","1.00"
"16/03/2020 8:26:57 AM","0.00","1.00","1.00"
"16/03/2020 8:17:56 AM","0.00","1.00","1.00"
"16/03/2020 8:14:55 AM","0.00","1.00","1.00"
"16/03/2020 7:47:59 AM","0.00","1.00","1.00"
"16/03/2020 7:47:28 AM","0.00","1.00","1.00"
"16/03/2020 7:47:08 AM","0.00","1.00","1.00"
"16/03/2020 7:46:31 AM","0.00","1.00","1.00"
"16/03/2020 7:33:59 AM","0.00","1.00","1.00"
"16/03/2020 7:31:43 AM","0.00","1.00","1.00"
"16/03/2020 7:29:42 AM","0.00","1.00","1.00"
"16/03/2020 7:22:15 AM","0.00","1.00","1.00"
"16/03/2020 7:22:14 AM","0.00","1.00","0.00"
"16/03/2020 7:21:58 AM","0.00","1.00","1.00"
"16/03/2020 7:21:35 AM","0.00","1.00","1.00"
"16/03/2020 7:21:01 AM","0.00","1.00","1.00"
"16/03/2020 7:20:20 AM","0.00","1.00","1.00"
"16/03/2020 7:16:42 AM","0.00","1.00","1.00"
"16/03/2020 7:14:22 AM","0.00","1.00","1.00"
"16/03/2020 6:46:09 AM","0.00","1.00","1.00"
"16/03/2020 6:43:48 AM","0.00","1.00","1.00"
"16/03/2020 6:41:00 AM","0.00","1.00","1.00"
"16/03/2020 6:40:21 AM","0.00","1.00","1.00"
"16/03/2020 6:39:59 AM","0.00","1.00","1.00"
"16/03/2020 6:39:25 AM","0.00","1.00","1.00"
"16/03/2020 6:39:24 AM","0.00","1.00","0.00"
"16/03/2020 6:39:23 AM","0.00","1.00","0.00"
"16/03/2020 6:39:10 AM","0.00","1.00","1.00"
"16/03/2020 6:39:04 AM","0.00","1.00","1.00"
"16/03/2020 6:38:47 AM","0.00","1.00","1.00"
"16/03/2020 6:38:11 AM","0.00","1.00","1.00"
"16/03/2020 6:38:08 AM","0.00","1.00","1.00"
"16/03/2020 6:38:04 AM","0.00","1.00","1.00"
"16/03/2020 6:38:02 AM","0.00","1.00","1.00"
"16/03/2020 6:37:21 AM","0.00","1.00","1.00"
"16/03/2020 6:37:20 AM","0.00","1.00","0.00"
"16/03/2020 6:36:05 AM","0.00","1.00","1.00"
