"Timestamp","FCU-00-14  PIR Log","FCU-00-14  Enable Log","FCU-00-14   Status Log"
"23/03/2020 6:06:13 PM","1.00","1.00","1.00"
"23/03/2020 6:06:08 PM","1.00","1.00","0.00"
"23/03/2020 6:00:12 PM","1.00","0.00","0.00"
"23/03/2020 6:00:08 PM","1.00","0.00","1.00"
"21/03/2020 1:45:07 AM","1.00","1.00","1.00"
"20/03/2020 6:06:13 PM","1.00","1.00","1.00"
"20/03/2020 6:06:08 PM","1.00","1.00","0.00"
"20/03/2020 6:00:12 PM","1.00","0.00","0.00"
"20/03/2020 6:00:08 PM","1.00","0.00","1.00"
"19/03/2020 6:06:13 PM","1.00","1.00","1.00"
"19/03/2020 6:06:08 PM","1.00","1.00","0.00"
"19/03/2020 6:00:12 PM","1.00","0.00","0.00"
"19/03/2020 6:00:08 PM","1.00","0.00","1.00"
"18/03/2020 6:06:12 PM","1.00","1.00","1.00"
"18/03/2020 6:06:08 PM","1.00","1.00","0.00"
"18/03/2020 6:00:13 PM","1.00","0.00","0.00"
"18/03/2020 6:00:08 PM","1.00","0.00","1.00"
"17/03/2020 6:06:13 PM","1.00","1.00","1.00"
"17/03/2020 6:06:08 PM","1.00","1.00","0.00"
"17/03/2020 6:00:12 PM","1.00","0.00","0.00"
"17/03/2020 6:00:08 PM","1.00","0.00","1.00"
"16/03/2020 6:06:13 PM","1.00","1.00","1.00"
"16/03/2020 6:06:08 PM","1.00","1.00","0.00"
"16/03/2020 6:00:12 PM","1.00","0.00","0.00"
"16/03/2020 6:00:08 PM","1.00","0.00","1.00"
"14/03/2020 9:28:42 AM","1.00","1.00","1.00"
"14/03/2020 7:48:22 AM","1.00","1.00","0.00"
"13/03/2020 6:06:12 PM","1.00","1.00","1.00"
"13/03/2020 6:06:08 PM","1.00","1.00","0.00"
"13/03/2020 6:00:12 PM","1.00","0.00","0.00"
"13/03/2020 6:00:08 PM","1.00","0.00","1.00"
"13/03/2020 1:44:02 AM","1.00","1.00","1.00"
"12/03/2020 6:06:13 PM","1.00","1.00","1.00"
"12/03/2020 6:06:08 PM","1.00","1.00","0.00"
"12/03/2020 6:00:13 PM","1.00","0.00","0.00"
"12/03/2020 6:00:08 PM","1.00","0.00","1.00"
"11/03/2020 6:06:13 PM","1.00","1.00","1.00"
"11/03/2020 6:06:08 PM","1.00","1.00","0.00"
"11/03/2020 6:00:12 PM","1.00","0.00","0.00"
"11/03/2020 6:00:08 PM","1.00","0.00","1.00"
"10/03/2020 6:06:13 PM","1.00","1.00","1.00"
"10/03/2020 6:06:08 PM","1.00","1.00","0.00"
"10/03/2020 6:00:12 PM","1.00","0.00","0.00"
"10/03/2020 6:00:08 PM","1.00","0.00","1.00"
"10/03/2020 1:49:31 AM","1.00","1.00","1.00"
"9/03/2020 6:06:12 PM","1.00","1.00","1.00"
"9/03/2020 6:06:08 PM","1.00","1.00","0.00"
"9/03/2020 6:00:12 PM","1.00","0.00","0.00"
"9/03/2020 6:00:08 PM","1.00","0.00","1.00"
"8/03/2020 11:16:39 PM","1.00","1.00","1.00"
"6/03/2020 6:06:13 PM","1.00","1.00","1.00"
"6/03/2020 6:06:08 PM","1.00","1.00","0.00"
"6/03/2020 6:00:12 PM","1.00","0.00","0.00"
"6/03/2020 6:00:08 PM","1.00","0.00","1.00"
"5/03/2020 6:06:13 PM","1.00","1.00","1.00"
"5/03/2020 6:06:08 PM","1.00","1.00","0.00"
"5/03/2020 6:00:12 PM","1.00","0.00","0.00"
"5/03/2020 6:00:08 PM","1.00","0.00","1.00"
"4/03/2020 6:06:13 PM","1.00","1.00","1.00"
"4/03/2020 6:06:08 PM","1.00","1.00","0.00"
"4/03/2020 6:00:12 PM","1.00","0.00","0.00"
"4/03/2020 6:00:08 PM","1.00","0.00","1.00"
"3/03/2020 6:06:12 PM","1.00","1.00","1.00"
"3/03/2020 6:06:08 PM","1.00","1.00","0.00"
"3/03/2020 6:00:12 PM","1.00","0.00","0.00"
"3/03/2020 6:00:08 PM","1.00","0.00","1.00"
"2/03/2020 6:06:13 PM","1.00","1.00","1.00"
"2/03/2020 6:06:08 PM","1.00","1.00","0.00"
"2/03/2020 6:00:12 PM","1.00","0.00","0.00"
"2/03/2020 6:00:08 PM","1.00","0.00","1.00"
"2/03/2020 4:05:38 AM","1.00","1.00","1.00"
"2/03/2020 4:05:28 AM","1.00","1.00","0.00"
"2/03/2020 4:00:21 AM","1.00","0.00","0.00"
"2/03/2020 3:59:38 AM","1.00","0.00","1.00"
"2/03/2020 3:59:31 AM","1.00","1.00","1.00"
"2/03/2020 3:59:30 AM","1.00","1.00","1.00"
"2/03/2020 3:59:25 AM","1.00","1.00","1.00"
"2/03/2020 1:03:01 AM","1.00","1.00","1.00"
"2/03/2020 1:02:57 AM","1.00","1.00","0.00"
"2/03/2020 12:57:49 AM","1.00","0.00","0.00"
"2/03/2020 12:57:07 AM","1.00","0.00","1.00"
"2/03/2020 12:56:57 AM","1.00","1.00","1.00"
"2/03/2020 12:56:55 AM","1.00","1.00","1.00"
"2/03/2020 12:56:50 AM","1.00","1.00","1.00"
"28/02/2020 6:10:01 PM","1.00","1.00","1.00"
"28/02/2020 6:09:51 PM","1.00","1.00","0.00"
"28/02/2020 11:07:05 AM","1.00","0.00","0.00"
"28/02/2020 11:07:01 AM","1.00","0.00","1.00"
"28/02/2020 10:23:46 AM","1.00","1.00","1.00"
"28/02/2020 10:23:41 AM","1.00","1.00","0.00"
"28/02/2020 9:06:55 AM","1.00","0.00","0.00"
"28/02/2020 9:06:51 AM","1.00","0.00","1.00"
"28/02/2020 9:04:11 AM","1.00","1.00","1.00"
"28/02/2020 9:04:01 AM","1.00","1.00","0.00"
"28/02/2020 8:56:55 AM","1.00","0.00","0.00"
"28/02/2020 8:56:51 AM","1.00","0.00","1.00"
"28/02/2020 12:02:16 AM","1.00","1.00","1.00"
"28/02/2020 12:02:11 AM","1.00","1.00","0.00"
"27/02/2020 11:56:31 PM","1.00","0.00","0.00"
"27/02/2020 11:56:15 PM","1.00","0.00","1.00"
"27/02/2020 11:56:11 PM","1.00","0.00","1.00"
"27/02/2020 11:56:08 PM","1.00","1.00","1.00"
"27/02/2020 11:56:04 PM","1.00","1.00","1.00"
"27/02/2020 6:06:10 PM","1.00","1.00","1.00"
"27/02/2020 6:06:00 PM","1.00","1.00","0.00"
"27/02/2020 6:00:04 PM","1.00","0.00","0.00"
"27/02/2020 6:00:00 PM","1.00","0.00","1.00"
"27/02/2020 12:33:10 PM","1.00","1.00","1.00"
"27/02/2020 12:33:00 PM","1.00","1.00","0.00"
"27/02/2020 12:28:23 PM","1.00","0.00","0.00"
"27/02/2020 12:28:20 PM","1.00","0.00","1.00"
"27/02/2020 11:41:10 AM","1.00","1.00","1.00"
"27/02/2020 11:41:00 AM","1.00","1.00","0.00"
"27/02/2020 9:17:34 AM","1.00","0.00","0.00"
"27/02/2020 9:17:30 AM","1.00","0.00","1.00"
"26/02/2020 6:06:10 PM","1.00","1.00","1.00"
"26/02/2020 6:06:00 PM","1.00","1.00","0.00"
"26/02/2020 6:00:04 PM","1.00","0.00","0.00"
"26/02/2020 6:00:00 PM","1.00","0.00","1.00"
"26/02/2020 7:25:30 AM","1.00","1.00","1.00"
"26/02/2020 7:25:20 AM","1.00","1.00","0.00"
"26/02/2020 7:20:04 AM","1.00","0.00","0.00"
"26/02/2020 7:20:00 AM","1.00","0.00","1.00"
"25/02/2020 6:06:10 PM","1.00","1.00","1.00"
"25/02/2020 6:06:00 PM","1.00","1.00","0.00"
"25/02/2020 6:00:04 PM","1.00","0.00","0.00"
"25/02/2020 6:00:00 PM","1.00","0.00","1.00"
"25/02/2020 9:58:50 AM","1.00","1.00","1.00"
"25/02/2020 9:58:40 AM","1.00","1.00","0.00"
"25/02/2020 7:05:34 AM","1.00","0.00","0.00"
"25/02/2020 7:05:30 AM","1.00","0.00","1.00"
"25/02/2020 7:01:40 AM","1.00","1.00","1.00"
"25/02/2020 7:01:30 AM","1.00","1.00","0.00"
"25/02/2020 6:24:44 AM","1.00","0.00","0.00"
"25/02/2020 6:24:40 AM","1.00","0.00","1.00"
"24/02/2020 6:09:45 PM","1.00","1.00","1.00"
"24/02/2020 6:09:40 PM","1.00","1.00","0.00"
"24/02/2020 6:00:04 PM","1.00","0.00","0.00"
"24/02/2020 6:00:00 PM","1.00","0.00","1.00"
"24/02/2020 5:46:24 PM","1.00","1.00","1.00"
"24/02/2020 5:46:20 PM","1.00","1.00","0.00"
"24/02/2020 4:17:54 PM","1.00","0.00","0.00"
"24/02/2020 4:17:50 PM","1.00","0.00","1.00"
"24/02/2020 4:11:45 PM","1.00","1.00","1.00"
"24/02/2020 4:11:40 PM","1.00","1.00","0.00"
"24/02/2020 3:54:04 PM","1.00","0.00","0.00"
"24/02/2020 3:54:00 PM","1.00","0.00","1.00"
"24/02/2020 3:38:10 PM","1.00","1.00","1.00"
"24/02/2020 3:38:00 PM","1.00","1.00","0.00"
"24/02/2020 2:52:04 PM","1.00","0.00","0.00"
"24/02/2020 2:52:00 PM","1.00","0.00","1.00"
"24/02/2020 2:38:05 PM","1.00","1.00","1.00"
"24/02/2020 2:38:00 PM","1.00","1.00","0.00"
"24/02/2020 2:33:14 PM","1.00","0.00","0.00"
"24/02/2020 2:33:10 PM","1.00","0.00","1.00"
"24/02/2020 2:30:05 PM","1.00","1.00","1.00"
"24/02/2020 2:30:00 PM","1.00","1.00","0.00"
"24/02/2020 1:52:04 PM","1.00","0.00","0.00"
"24/02/2020 1:52:00 PM","1.00","0.00","1.00"
"24/02/2020 1:36:15 PM","1.00","1.00","1.00"
"24/02/2020 1:36:10 PM","1.00","1.00","0.00"
"24/02/2020 1:29:43 PM","1.00","0.00","0.00"
"24/02/2020 1:29:40 PM","1.00","0.00","1.00"
"24/02/2020 10:00:45 AM","1.00","1.00","1.00"
"24/02/2020 10:00:40 AM","1.00","1.00","0.00"
"24/02/2020 6:24:44 AM","1.00","0.00","0.00"
"24/02/2020 6:24:40 AM","1.00","0.00","1.00"
"21/02/2020 6:09:35 PM","1.00","1.00","1.00"
"21/02/2020 6:09:30 PM","1.00","1.00","0.00"
"21/02/2020 5:41:43 PM","1.00","0.00","0.00"
"21/02/2020 5:41:40 PM","1.00","0.00","1.00"
"21/02/2020 5:25:20 PM","1.00","1.00","1.00"
"21/02/2020 5:25:10 PM","1.00","1.00","0.00"
"21/02/2020 11:20:14 AM","1.00","0.00","0.00"
"21/02/2020 11:20:10 AM","1.00","0.00","1.00"
"21/02/2020 10:59:40 AM","1.00","1.00","1.00"
"21/02/2020 10:59:30 AM","1.00","1.00","0.00"
"21/02/2020 9:15:34 AM","1.00","0.00","0.00"
"21/02/2020 9:15:30 AM","1.00","0.00","1.00"
"20/02/2020 6:09:24 PM","1.00","1.00","1.00"
"20/02/2020 6:09:20 PM","1.00","1.00","0.00"
"20/02/2020 5:16:03 PM","1.00","0.00","0.00"
"20/02/2020 5:16:00 PM","1.00","0.00","1.00"
"20/02/2020 4:52:55 PM","1.00","1.00","1.00"
"20/02/2020 4:52:50 PM","1.00","1.00","0.00"
"20/02/2020 4:06:43 PM","1.00","0.00","0.00"
"20/02/2020 4:06:40 PM","1.00","0.00","1.00"
"20/02/2020 3:51:15 PM","1.00","1.00","1.00"
"20/02/2020 3:51:10 PM","1.00","1.00","0.00"
"20/02/2020 2:48:04 PM","1.00","0.00","0.00"
"20/02/2020 2:48:00 PM","1.00","0.00","1.00"
"20/02/2020 2:28:40 PM","1.00","1.00","1.00"
"20/02/2020 2:28:30 PM","1.00","1.00","0.00"
"20/02/2020 11:35:13 AM","1.00","0.00","0.00"
"20/02/2020 11:35:10 AM","1.00","0.00","1.00"
"20/02/2020 11:17:25 AM","1.00","1.00","1.00"
"20/02/2020 11:17:20 AM","1.00","1.00","0.00"
"20/02/2020 10:08:14 AM","1.00","0.00","0.00"
