"Timestamp","FCU-00-17  PIR Log","FCU-00-17  Enable Log","FCU-00-17  Status Log"
"24/03/2020 3:24:40 PM","1.00","1.00","1.00"
"24/03/2020 3:24:23 PM","0.00","1.00","1.00"
"24/03/2020 2:54:21 PM","1.00","1.00","1.00"
"24/03/2020 2:53:27 PM","0.00","1.00","1.00"
"24/03/2020 2:37:36 PM","1.00","1.00","1.00"
"24/03/2020 2:37:08 PM","0.00","1.00","1.00"
"24/03/2020 2:19:00 PM","1.00","1.00","1.00"
"24/03/2020 2:17:31 PM","0.00","1.00","1.00"
"24/03/2020 1:53:31 PM","1.00","1.00","1.00"
"24/03/2020 1:52:36 PM","0.00","1.00","1.00"
"24/03/2020 1:15:59 PM","1.00","1.00","1.00"
"24/03/2020 1:15:04 PM","0.00","1.00","1.00"
"24/03/2020 1:03:21 PM","1.00","1.00","1.00"
"24/03/2020 1:03:19 PM","0.00","1.00","1.00"
"24/03/2020 9:58:27 AM","1.00","1.00","1.00"
"24/03/2020 9:56:10 AM","0.00","1.00","1.00"
"24/03/2020 9:49:46 AM","1.00","1.00","1.00"
"24/03/2020 9:49:44 AM","0.00","1.00","1.00"
"24/03/2020 9:32:25 AM","1.00","1.00","1.00"
"24/03/2020 9:31:04 AM","0.00","1.00","1.00"
"24/03/2020 8:51:42 AM","1.00","1.00","1.00"
"24/03/2020 8:49:54 AM","0.00","1.00","1.00"
"24/03/2020 8:15:43 AM","1.00","1.00","1.00"
"24/03/2020 8:14:05 AM","0.00","1.00","1.00"
"24/03/2020 8:00:21 AM","1.00","1.00","1.00"
"24/03/2020 7:59:31 AM","0.00","1.00","1.00"
"24/03/2020 7:39:57 AM","1.00","1.00","1.00"
"24/03/2020 7:36:06 AM","0.00","1.00","1.00"
"24/03/2020 7:30:39 AM","1.00","1.00","1.00"
"24/03/2020 7:09:21 AM","0.00","1.00","1.00"
"24/03/2020 6:59:52 AM","1.00","1.00","1.00"
"24/03/2020 6:59:36 AM","0.00","1.00","1.00"
"24/03/2020 6:54:27 AM","1.00","1.00","1.00"
"24/03/2020 6:49:11 AM","0.00","1.00","1.00"
"24/03/2020 6:43:45 AM","1.00","1.00","1.00"
"24/03/2020 6:27:44 AM","0.00","1.00","1.00"
"24/03/2020 6:17:18 AM","1.00","1.00","1.00"
"24/03/2020 6:00:15 AM","0.00","1.00","1.00"
"24/03/2020 5:52:27 AM","1.00","1.00","1.00"
"24/03/2020 5:41:35 AM","0.00","1.00","1.00"
"24/03/2020 5:36:24 AM","1.00","1.00","1.00"
"24/03/2020 5:34:53 AM","0.00","1.00","1.00"
"24/03/2020 5:29:50 AM","1.00","1.00","1.00"
"24/03/2020 5:06:36 AM","0.00","1.00","1.00"
"24/03/2020 4:58:28 AM","1.00","1.00","1.00"
"24/03/2020 4:57:51 AM","0.00","1.00","1.00"
"24/03/2020 4:52:50 AM","1.00","1.00","1.00"
"24/03/2020 4:33:53 AM","0.00","1.00","1.00"
"24/03/2020 4:00:18 AM","1.00","1.00","1.00"
"24/03/2020 3:52:27 AM","0.00","1.00","1.00"
"24/03/2020 3:49:40 AM","1.00","1.00","1.00"
"24/03/2020 3:49:37 AM","1.00","1.00","0.00"
"24/03/2020 3:43:31 AM","1.00","0.00","0.00"
"24/03/2020 12:17:48 AM","0.00","0.00","0.00"
"24/03/2020 12:17:47 AM","0.00","0.00","1.00"
"23/03/2020 11:46:46 PM","0.00","1.00","1.00"
"23/03/2020 11:34:43 PM","1.00","1.00","1.00"
"23/03/2020 11:18:46 PM","0.00","1.00","1.00"
"23/03/2020 11:13:30 PM","1.00","1.00","1.00"
"23/03/2020 11:10:49 PM","0.00","1.00","1.00"
"23/03/2020 11:05:30 PM","1.00","1.00","1.00"
"23/03/2020 11:04:19 PM","0.00","1.00","1.00"
"23/03/2020 10:59:17 PM","1.00","1.00","1.00"
"23/03/2020 10:42:56 PM","0.00","1.00","1.00"
"23/03/2020 10:37:49 PM","1.00","1.00","1.00"
"23/03/2020 10:37:03 PM","0.00","1.00","1.00"
"23/03/2020 10:31:50 PM","1.00","1.00","1.00"
"23/03/2020 10:09:00 PM","0.00","1.00","1.00"
"23/03/2020 10:08:57 PM","0.00","1.00","0.00"
"23/03/2020 10:07:54 PM","0.00","0.00","0.00"
"23/03/2020 10:02:52 PM","1.00","0.00","0.00"
"23/03/2020 9:47:08 PM","0.00","0.00","0.00"
"23/03/2020 9:47:07 PM","0.00","0.00","1.00"
"23/03/2020 9:16:03 PM","0.00","1.00","1.00"
"23/03/2020 9:10:48 PM","1.00","1.00","1.00"
"23/03/2020 8:41:05 PM","0.00","1.00","1.00"
"23/03/2020 8:35:56 PM","1.00","1.00","1.00"
"23/03/2020 8:35:14 PM","0.00","1.00","1.00"
"23/03/2020 8:30:13 PM","1.00","1.00","1.00"
"23/03/2020 8:01:35 PM","0.00","1.00","1.00"
"23/03/2020 7:54:33 PM","1.00","1.00","1.00"
"23/03/2020 7:31:45 PM","0.00","1.00","1.00"
"23/03/2020 7:21:17 PM","1.00","1.00","1.00"
"23/03/2020 7:20:58 PM","0.00","1.00","1.00"
"23/03/2020 6:53:53 PM","1.00","1.00","1.00"
"23/03/2020 6:51:01 PM","0.00","1.00","1.00"
"23/03/2020 6:31:51 PM","1.00","1.00","1.00"
