"Timestamp","FCU-00-19 PIR Log","FCU-00-19 Enable Log","FCU-00-19 Status Log"
"24/03/2020 6:40:30 AM","1.00","1.00","1.00"
"24/03/2020 6:36:48 AM","0.00","1.00","1.00"
"24/03/2020 5:28:59 AM","1.00","1.00","1.00"
"24/03/2020 5:26:03 AM","0.00","1.00","1.00"
"24/03/2020 3:30:36 AM","1.00","1.00","1.00"
"24/03/2020 3:30:32 AM","1.00","1.00","0.00"
"24/03/2020 3:24:23 AM","1.00","0.00","0.00"
"24/03/2020 12:28:29 AM","0.00","0.00","0.00"
"24/03/2020 12:28:22 AM","0.00","0.00","1.00"
"23/03/2020 11:57:14 PM","0.00","1.00","1.00"
"23/03/2020 6:06:17 PM","1.00","1.00","1.00"
"23/03/2020 6:06:12 PM","1.00","1.00","0.00"
"23/03/2020 6:00:09 PM","1.00","0.00","0.00"
"23/03/2020 6:00:02 PM","1.00","0.00","1.00"
"23/03/2020 3:30:16 AM","1.00","1.00","1.00"
"23/03/2020 3:30:12 AM","1.00","1.00","0.00"
"23/03/2020 3:23:58 AM","1.00","0.00","0.00"
"23/03/2020 12:13:03 AM","0.00","0.00","0.00"
"23/03/2020 12:13:02 AM","0.00","0.00","1.00"
"22/03/2020 11:41:54 PM","0.00","1.00","1.00"
"22/03/2020 6:48:09 AM","1.00","1.00","1.00"
"22/03/2020 6:48:02 AM","1.00","1.00","0.00"
"22/03/2020 6:41:56 AM","1.00","0.00","0.00"
"22/03/2020 12:13:06 AM","0.00","0.00","0.00"
"22/03/2020 12:13:02 AM","0.00","0.00","1.00"
"21/03/2020 11:41:57 PM","0.00","1.00","1.00"
"21/03/2020 6:48:09 AM","1.00","1.00","1.00"
"21/03/2020 6:48:02 AM","1.00","1.00","0.00"
"21/03/2020 6:41:59 AM","1.00","0.00","0.00"
"21/03/2020 5:24:39 AM","0.00","0.00","0.00"
"21/03/2020 5:24:32 AM","0.00","0.00","1.00"
"21/03/2020 4:53:32 AM","0.00","1.00","1.00"
"21/03/2020 4:44:42 AM","1.00","1.00","1.00"
"21/03/2020 4:44:32 AM","1.00","1.00","0.00"
"21/03/2020 4:38:32 AM","1.00","0.00","0.00"
"21/03/2020 12:51:03 AM","0.00","0.00","0.00"
"21/03/2020 12:51:02 AM","0.00","0.00","1.00"
"21/03/2020 12:19:56 AM","0.00","1.00","1.00"
"21/03/2020 12:04:35 AM","1.00","1.00","1.00"
"21/03/2020 12:04:16 AM","0.00","1.00","1.00"
"20/03/2020 6:06:11 PM","1.00","1.00","1.00"
"20/03/2020 6:06:02 PM","1.00","1.00","0.00"
"20/03/2020 6:00:06 PM","1.00","0.00","0.00"
"20/03/2020 6:00:02 PM","1.00","0.00","1.00"
"20/03/2020 6:37:49 AM","1.00","1.00","1.00"
"20/03/2020 6:34:09 AM","0.00","1.00","1.00"
"20/03/2020 5:21:52 AM","1.00","1.00","1.00"
"20/03/2020 5:12:03 AM","0.00","1.00","1.00"
"20/03/2020 3:33:36 AM","1.00","1.00","1.00"
"20/03/2020 3:33:32 AM","1.00","1.00","0.00"
"20/03/2020 3:27:25 AM","1.00","0.00","0.00"
"20/03/2020 1:13:15 AM","0.00","0.00","0.00"
"20/03/2020 1:13:12 AM","0.00","0.00","1.00"
"20/03/2020 12:42:04 AM","0.00","1.00","1.00"
"20/03/2020 12:25:01 AM","1.00","1.00","1.00"
"20/03/2020 12:02:23 AM","0.00","1.00","1.00"
"19/03/2020 6:06:10 PM","1.00","1.00","1.00"
"19/03/2020 6:06:02 PM","1.00","1.00","0.00"
"19/03/2020 6:00:09 PM","1.00","0.00","0.00"
"19/03/2020 6:00:02 PM","1.00","0.00","1.00"
"19/03/2020 3:35:39 AM","1.00","1.00","1.00"
"19/03/2020 3:35:32 AM","1.00","1.00","0.00"
"19/03/2020 3:29:25 AM","1.00","0.00","0.00"
"19/03/2020 12:58:45 AM","0.00","0.00","0.00"
"19/03/2020 12:58:42 AM","0.00","0.00","1.00"
"19/03/2020 12:27:33 AM","0.00","1.00","1.00"
"19/03/2020 12:10:42 AM","1.00","1.00","1.00"
"18/03/2020 11:42:07 PM","0.00","1.00","1.00"
"18/03/2020 6:06:07 PM","1.00","1.00","1.00"
"18/03/2020 6:06:02 PM","1.00","1.00","0.00"
"18/03/2020 6:00:06 PM","1.00","0.00","0.00"
"18/03/2020 6:00:02 PM","1.00","0.00","1.00"
"18/03/2020 6:34:13 AM","1.00","1.00","1.00"
"18/03/2020 6:30:06 AM","0.00","1.00","1.00"
"18/03/2020 3:31:13 AM","1.00","1.00","1.00"
"18/03/2020 3:31:02 AM","1.00","1.00","0.00"
"18/03/2020 3:24:54 AM","1.00","0.00","0.00"
"18/03/2020 1:00:09 AM","0.00","0.00","0.00"
"18/03/2020 1:00:02 AM","0.00","0.00","1.00"
"18/03/2020 12:29:01 AM","0.00","1.00","1.00"
"18/03/2020 12:12:21 AM","1.00","1.00","1.00"
"18/03/2020 12:07:27 AM","0.00","1.00","1.00"
"17/03/2020 6:06:07 PM","1.00","1.00","1.00"
"17/03/2020 6:06:02 PM","1.00","1.00","0.00"
"17/03/2020 6:00:05 PM","1.00","0.00","0.00"
"17/03/2020 6:00:02 PM","1.00","0.00","1.00"
"17/03/2020 3:31:06 AM","1.00","1.00","1.00"
"17/03/2020 3:31:02 AM","1.00","1.00","0.00"
"17/03/2020 3:24:53 AM","1.00","0.00","0.00"
"17/03/2020 12:28:49 AM","0.00","0.00","0.00"
"17/03/2020 12:28:42 AM","0.00","0.00","1.00"
"16/03/2020 11:57:42 PM","0.00","1.00","1.00"
"16/03/2020 11:42:15 PM","1.00","1.00","1.00"
"16/03/2020 11:42:13 PM","0.00","1.00","1.00"
"16/03/2020 6:06:16 PM","1.00","1.00","1.00"
"16/03/2020 6:06:12 PM","1.00","1.00","0.00"
"16/03/2020 6:00:14 PM","1.00","0.00","0.00"
"16/03/2020 6:00:12 PM","1.00","0.00","1.00"
"16/03/2020 3:11:31 AM","1.00","1.00","1.00"
"16/03/2020 3:11:22 AM","1.00","1.00","0.00"
"16/03/2020 3:05:22 AM","1.00","0.00","0.00"
"16/03/2020 2:27:52 AM","0.00","0.00","0.00"
"16/03/2020 2:27:42 AM","0.00","0.00","1.00"
"16/03/2020 1:56:33 AM","0.00","1.00","1.00"
"16/03/2020 1:46:21 AM","1.00","1.00","1.00"
"16/03/2020 1:46:12 AM","1.00","1.00","0.00"
"16/03/2020 1:40:11 AM","1.00","0.00","0.00"
"16/03/2020 12:13:30 AM","0.00","0.00","0.00"
"16/03/2020 12:13:22 AM","0.00","0.00","1.00"
"15/03/2020 11:42:16 PM","0.00","1.00","1.00"
"15/03/2020 6:48:32 AM","1.00","1.00","1.00"
"15/03/2020 6:48:22 AM","1.00","1.00","0.00"
"15/03/2020 6:42:18 AM","1.00","0.00","0.00"
"15/03/2020 3:00:44 AM","0.00","0.00","0.00"
"15/03/2020 3:00:42 AM","0.00","0.00","1.00"
"15/03/2020 2:29:33 AM","0.00","1.00","1.00"
"15/03/2020 2:20:07 AM","1.00","1.00","1.00"
"15/03/2020 2:20:02 AM","1.00","1.00","0.00"
"15/03/2020 2:14:01 AM","1.00","0.00","0.00"
"15/03/2020 1:09:14 AM","0.00","0.00","0.00"
"15/03/2020 1:09:12 AM","0.00","0.00","1.00"
"15/03/2020 12:38:03 AM","0.00","1.00","1.00"
"14/03/2020 11:59:54 PM","1.00","1.00","1.00"
"14/03/2020 11:42:19 PM","0.00","1.00","1.00"
"14/03/2020 9:28:23 AM","1.00","1.00","1.00"
"14/03/2020 7:48:02 AM","1.00","1.00","0.00"
"14/03/2020 6:48:29 AM","1.00","1.00","1.00"
"14/03/2020 6:48:22 AM","1.00","1.00","0.00"
"14/03/2020 6:42:22 AM","1.00","0.00","0.00"
"14/03/2020 6:40:31 AM","0.00","0.00","0.00"
"14/03/2020 6:40:22 AM","0.00","0.00","1.00"
"14/03/2020 6:09:18 AM","0.00","1.00","1.00"
"14/03/2020 5:47:26 AM","1.00","1.00","1.00"
"14/03/2020 5:47:22 AM","1.00","1.00","0.00"
"14/03/2020 5:41:16 AM","1.00","0.00","0.00"
"14/03/2020 5:18:32 AM","0.00","0.00","0.00"
"14/03/2020 5:18:22 AM","0.00","0.00","1.00"
"14/03/2020 4:47:21 AM","0.00","1.00","1.00"
"14/03/2020 4:37:40 AM","1.00","1.00","1.00"
"14/03/2020 4:37:32 AM","1.00","1.00","0.00"
"14/03/2020 4:31:28 AM","1.00","0.00","0.00"
"14/03/2020 4:30:54 AM","0.00","0.00","0.00"
"14/03/2020 4:30:52 AM","0.00","0.00","1.00"
"14/03/2020 3:59:47 AM","0.00","1.00","1.00"
"14/03/2020 3:50:56 AM","1.00","1.00","1.00"
"14/03/2020 3:50:52 AM","1.00","1.00","0.00"
"14/03/2020 3:44:46 AM","1.00","0.00","0.00"
"14/03/2020 12:13:35 AM","0.00","0.00","0.00"
"14/03/2020 12:13:32 AM","0.00","0.00","1.00"
"13/03/2020 11:42:23 PM","0.00","1.00","1.00"
"13/03/2020 6:06:05 PM","1.00","1.00","1.00"
"13/03/2020 6:06:02 PM","1.00","1.00","0.00"
"13/03/2020 6:00:04 PM","1.00","0.00","0.00"
"13/03/2020 6:00:02 PM","1.00","0.00","1.00"
"13/03/2020 6:30:46 AM","1.00","1.00","1.00"
"13/03/2020 6:24:47 AM","0.00","1.00","1.00"
"13/03/2020 5:36:58 AM","1.00","1.00","1.00"
"13/03/2020 5:28:20 AM","0.00","1.00","1.00"
