"Timestamp","FCU-00-06   CO2 Extended Trend Log","FCU-00-06 SaTmp Extended Trend Log","FCU-00-06   ClgTmpSp Extended Trend Log","HFCU-00-06   HtgTmpSp Extended Trend Log","FCU-00-06 ZnTmp Extended Trend Log"
"24/03/2020 9:10:35 AM","644.00","22.73","25.00","21.00","18.84"
"24/03/2020 9:05:35 AM","691.40","22.83","25.00","21.00","18.84"
"24/03/2020 9:00:35 AM","668.40","23.05","25.00","21.00","18.84"
"24/03/2020 8:55:35 AM","640.00","23.14","25.00","21.00","18.84"
"24/03/2020 8:50:35 AM","625.20","23.31","25.00","21.00","18.84"
"24/03/2020 8:45:35 AM","640.60","23.27","25.00","21.00","18.84"
"24/03/2020 8:40:35 AM","650.60","23.28","25.00","21.00","18.84"
"24/03/2020 8:35:35 AM","663.80","23.35","25.00","21.00","18.84"
"24/03/2020 8:30:35 AM","635.80","23.31","25.00","21.00","18.84"
"24/03/2020 8:25:35 AM","663.60","23.36","25.00","21.00","18.84"
"24/03/2020 8:20:35 AM","621.40","23.41","25.00","21.00","18.84"
"24/03/2020 8:15:35 AM","624.80","23.61","25.00","21.00","18.84"
"24/03/2020 8:10:35 AM","658.00","23.95","25.00","21.00","18.84"
"24/03/2020 8:05:35 AM","661.20","24.08","25.00","21.00","18.84"
"24/03/2020 8:00:35 AM","660.80","24.14","25.00","21.00","18.84"
"24/03/2020 7:55:35 AM","640.00","24.23","25.00","21.00","18.84"
"24/03/2020 7:50:35 AM","614.80","24.34","25.00","21.00","18.84"
"24/03/2020 7:45:35 AM","627.60","24.40","25.00","21.00","18.84"
"24/03/2020 7:40:35 AM","639.20","24.40","25.00","21.00","18.84"
"24/03/2020 7:35:35 AM","622.80","24.51","25.00","21.00","18.84"
"24/03/2020 7:30:35 AM","664.80","24.55","25.00","21.00","18.84"
"24/03/2020 7:25:35 AM","654.60","24.82","25.00","21.00","18.84"
"24/03/2020 7:20:35 AM","630.40","24.88","25.00","21.00","18.84"
"24/03/2020 7:15:35 AM","624.00","25.09","25.00","21.00","18.84"
"24/03/2020 7:10:35 AM","615.80","25.28","25.00","21.00","18.84"
"24/03/2020 7:05:35 AM","633.60","25.50","25.00","21.00","18.84"
"24/03/2020 7:00:35 AM","636.20","25.75","25.00","21.00","18.84"
"24/03/2020 6:55:35 AM","638.40","25.86","25.00","21.00","18.84"
"24/03/2020 6:50:35 AM","627.80","26.12","25.00","21.00","18.84"
"24/03/2020 6:45:35 AM","609.20","27.47","23.00","22.00","18.84"
"24/03/2020 6:40:35 AM","636.20","27.38","23.00","22.00","18.84"
"24/03/2020 6:35:35 AM","616.20","27.17","23.00","22.00","18.84"
"24/03/2020 6:30:35 AM","644.20","26.96","23.00","22.00","18.84"
"24/03/2020 6:25:35 AM","625.60","26.74","23.00","22.00","18.84"
"24/03/2020 6:20:35 AM","632.60","26.27","23.00","22.00","18.84"
"24/03/2020 6:15:35 AM","600.20","26.00","23.00","22.00","18.84"
"24/03/2020 6:10:35 AM","604.00","25.37","23.00","22.00","18.84"
"24/03/2020 6:05:35 AM","624.60","23.89","25.00","21.00","18.84"
"24/03/2020 6:00:35 AM","662.20","17.10","25.00","21.00","18.84"
"24/03/2020 5:55:35 AM","605.00","16.67","25.00","21.00","18.84"
"24/03/2020 5:50:35 AM","637.20","16.65","25.00","21.00","18.84"
"24/03/2020 5:45:35 AM","642.60","16.61","25.00","21.00","18.84"
"24/03/2020 5:40:35 AM","595.00","16.56","25.00","21.00","18.84"
"24/03/2020 5:35:35 AM","648.40","16.48","25.00","21.00","18.84"
"24/03/2020 5:30:35 AM","642.60","16.48","25.00","21.00","18.84"
"24/03/2020 5:25:35 AM","640.60","16.49","25.00","21.00","18.84"
"24/03/2020 5:20:35 AM","620.00","16.49","25.00","21.00","18.84"
"24/03/2020 5:15:35 AM","652.20","16.50","25.00","21.00","18.84"
"24/03/2020 5:10:35 AM","620.40","16.50","25.00","21.00","18.84"
"24/03/2020 5:05:35 AM","630.60","16.51","25.00","21.00","18.84"
"24/03/2020 5:00:35 AM","628.00","16.51","25.00","21.00","18.84"
"24/03/2020 4:55:35 AM","653.80","16.52","25.00","21.00","18.84"
"24/03/2020 4:50:35 AM","648.20","16.52","25.00","21.00","18.84"
"24/03/2020 4:45:35 AM","629.60","16.53","25.00","21.00","18.84"
"24/03/2020 4:40:35 AM","617.20","16.53","25.00","21.00","18.84"
"24/03/2020 4:35:35 AM","657.20","16.53","25.00","21.00","18.84"
"24/03/2020 4:30:35 AM","655.20","16.54","25.00","21.00","18.86"
"24/03/2020 4:25:35 AM","610.20","16.55","25.00","21.00","18.86"
"24/03/2020 4:20:35 AM","591.60","16.55","25.00","21.00","18.88"
"24/03/2020 4:15:35 AM","608.60","16.57","25.00","21.00","18.89"
"24/03/2020 4:10:35 AM","621.00","16.58","25.00","21.00","18.89"
"24/03/2020 4:05:35 AM","654.00","16.59","25.00","21.00","18.91"
"24/03/2020 4:00:35 AM","602.40","16.61","25.00","21.00","18.92"
"24/03/2020 3:55:35 AM","603.40","16.62","25.00","21.00","18.94"
"24/03/2020 3:50:35 AM","605.80","16.65","25.00","21.00","18.95"
"24/03/2020 3:45:35 AM","642.60","16.66","25.00","21.00","18.96"
"24/03/2020 3:40:35 AM","615.60","16.69","25.00","21.00","18.97"
"24/03/2020 3:35:35 AM","618.80","16.71","25.00","21.00","18.99"
"24/03/2020 3:30:35 AM","591.20","16.72","25.00","21.00","19.01"
"24/03/2020 3:25:35 AM","648.80","16.75","25.00","21.00","19.02"
"24/03/2020 3:20:35 AM","625.40","16.77","25.00","21.00","19.04"
"24/03/2020 3:15:35 AM","644.00","16.79","25.00","21.00","19.06"
"24/03/2020 3:10:35 AM","619.00","16.82","25.00","21.00","19.08"
"24/03/2020 3:05:35 AM","602.60","16.84","25.00","21.00","19.09"
"24/03/2020 3:00:35 AM","599.80","16.86","25.00","21.00","19.11"
"24/03/2020 2:55:35 AM","606.80","16.89","25.00","21.00","19.13"
"24/03/2020 2:50:35 AM","597.80","16.91","25.00","21.00","19.15"
"24/03/2020 2:45:35 AM","613.00","16.94","25.00","21.00","19.17"
"24/03/2020 2:40:35 AM","619.60","16.96","25.00","21.00","19.19"
"24/03/2020 2:35:35 AM","618.20","16.98","25.00","21.00","19.20"
"24/03/2020 2:30:35 AM","614.20","17.01","25.00","21.00","19.22"
"24/03/2020 2:25:35 AM","640.40","17.03","25.00","21.00","19.24"
"24/03/2020 2:20:35 AM","633.60","17.06","25.00","21.00","19.26"
"24/03/2020 2:15:35 AM","640.40","17.08","25.00","21.00","19.28"
"24/03/2020 2:10:35 AM","619.80","17.11","25.00","21.00","19.30"
"24/03/2020 2:05:35 AM","616.20","17.13","25.00","21.00","19.32"
"24/03/2020 2:00:35 AM","629.80","17.16","25.00","21.00","19.33"
"24/03/2020 1:55:35 AM","636.00","17.18","25.00","21.00","19.35"
"24/03/2020 1:50:35 AM","604.40","17.20","25.00","21.00","19.37"
"24/03/2020 1:45:35 AM","619.80","17.23","25.00","21.00","19.39"
"24/03/2020 1:40:35 AM","605.60","17.25","25.00","21.00","19.40"
"24/03/2020 1:35:35 AM","632.80","17.27","25.00","21.00","19.42"
"24/03/2020 1:30:35 AM","622.20","17.30","25.00","21.00","19.44"
"24/03/2020 1:25:35 AM","599.20","17.31","25.00","21.00","19.46"
"24/03/2020 1:20:35 AM","593.60","17.34","25.00","21.00","19.48"
"24/03/2020 1:15:35 AM","621.40","17.36","25.00","21.00","19.50"
"24/03/2020 1:10:35 AM","620.60","17.39","25.00","21.00","19.52"
"24/03/2020 1:05:35 AM","620.20","17.41","25.00","21.00","19.53"
"24/03/2020 1:00:35 AM","609.80","17.43","25.00","21.00","19.56"
"24/03/2020 12:55:35 AM","604.00","17.46","25.00","21.00","19.57"
"24/03/2020 12:50:35 AM","619.80","17.49","25.00","21.00","19.60"
"24/03/2020 12:45:35 AM","608.60","17.51","25.00","21.00","19.62"
"24/03/2020 12:40:35 AM","590.40","17.54","25.00","21.00","19.64"
"24/03/2020 12:35:35 AM","641.80","17.57","25.00","21.00","19.66"
"24/03/2020 12:30:35 AM","652.00","17.60","25.00","21.00","19.68"
"24/03/2020 12:25:35 AM","626.40","17.62","25.00","21.00","19.70"
"24/03/2020 12:20:35 AM","608.40","17.66","25.00","21.00","19.73"
"24/03/2020 12:15:35 AM","594.80","17.68","25.00","21.00","19.75"
"24/03/2020 12:10:35 AM","641.60","17.71","25.00","21.00","19.77"
"24/03/2020 12:05:35 AM","609.00","17.74","25.00","21.00","19.79"
"24/03/2020 12:00:35 AM","614.40","17.77","25.00","21.00","19.82"
"23/03/2020 11:55:35 PM","611.40","17.81","25.00","21.00","19.84"
"23/03/2020 11:50:35 PM","611.80","17.84","25.00","21.00","19.86"
"23/03/2020 11:45:35 PM","633.60","17.88","25.00","21.00","19.88"
"23/03/2020 11:40:35 PM","599.40","17.91","25.00","21.00","19.91"
"23/03/2020 11:35:35 PM","615.60","17.95","25.00","21.00","19.93"
"23/03/2020 11:30:35 PM","607.00","17.98","25.00","21.00","19.96"
"23/03/2020 11:25:35 PM","603.60","18.02","25.00","21.00","19.98"
"23/03/2020 11:20:35 PM","620.20","18.06","25.00","21.00","20.01"
"23/03/2020 11:15:35 PM","637.00","18.09","25.00","21.00","20.04"
"23/03/2020 11:10:35 PM","635.20","18.13","25.00","21.00","20.06"
"23/03/2020 11:05:35 PM","642.20","18.16","25.00","21.00","20.08"
"23/03/2020 11:00:35 PM","605.60","18.20","25.00","21.00","20.10"
"23/03/2020 10:55:35 PM","616.60","18.23","25.00","21.00","20.13"
"23/03/2020 10:50:35 PM","616.80","18.27","25.00","21.00","20.16"
"23/03/2020 10:45:35 PM","613.80","18.31","25.00","21.00","20.18"
"23/03/2020 10:40:35 PM","604.80","18.34","25.00","21.00","20.20"
"23/03/2020 10:35:35 PM","627.20","18.37","25.00","21.00","20.24"
"23/03/2020 10:30:35 PM","589.80","18.40","25.00","21.00","20.26"
"23/03/2020 10:25:35 PM","653.20","18.43","25.00","21.00","20.28"
"23/03/2020 10:20:35 PM","622.80","18.45","25.00","21.00","20.31"
"23/03/2020 10:15:35 PM","604.80","18.48","25.00","21.00","20.33"
"23/03/2020 10:10:35 PM","619.20","18.51","25.00","21.00","20.36"
"23/03/2020 10:05:35 PM","613.00","18.54","25.00","21.00","20.38"
"23/03/2020 10:00:35 PM","613.20","18.57","25.00","21.00","20.41"
"23/03/2020 9:55:35 PM","590.00","18.60","25.00","21.00","20.43"
"23/03/2020 9:50:35 PM","629.80","18.63","25.00","21.00","20.45"
"23/03/2020 9:45:35 PM","638.00","18.66","25.00","21.00","20.48"
"23/03/2020 9:40:35 PM","610.60","18.70","25.00","21.00","20.51"
"23/03/2020 9:35:35 PM","593.60","18.73","25.00","21.00","20.53"
"23/03/2020 9:30:35 PM","602.60","18.77","25.00","21.00","20.56"
"23/03/2020 9:25:35 PM","589.20","18.81","25.00","21.00","20.59"
"23/03/2020 9:20:35 PM","589.40","18.85","25.00","21.00","20.62"
"23/03/2020 9:15:35 PM","625.20","18.89","25.00","21.00","20.64"
"23/03/2020 9:10:35 PM","605.40","18.93","25.00","21.00","20.67"
"23/03/2020 9:05:35 PM","622.40","18.97","25.00","21.00","20.69"
"23/03/2020 9:00:35 PM","625.20","19.02","25.00","21.00","20.72"
"23/03/2020 8:55:35 PM","627.80","19.06","25.00","21.00","20.75"
"23/03/2020 8:50:35 PM","599.40","19.11","25.00","21.00","20.78"
"23/03/2020 8:45:35 PM","624.60","19.16","25.00","21.00","20.81"
"23/03/2020 8:40:35 PM","603.40","19.21","25.00","21.00","20.84"
"23/03/2020 8:35:35 PM","609.60","19.27","25.00","21.00","20.86"
