"Timestamp","FCU-00-10  CO2 Extended Trend Log","FCU-00-10  SaTmp Extended Trend Log","FCU-00-10  ClgTmpSp Extended Trend Log","FCU-00-10 HtgTmpSp Extended Trend Log","FCU-00-10  ZnTmp Extended Trend Log","FCU-00-10  SaTmp Extended Trend Log"
"24/03/2020 1:45:35 PM","503.80","21.12","25.00","21.00","21.00","21.12"
"24/03/2020 1:40:35 PM","495.00","21.18","25.00","21.00","21.00","21.18"
"24/03/2020 1:35:35 PM","471.40","21.17","25.00","21.00","20.99","21.17"
"24/03/2020 1:30:35 PM","475.00","21.18","25.00","21.00","20.99","21.18"
"24/03/2020 1:25:35 PM","507.80","21.25","25.00","21.00","21.00","21.25"
"24/03/2020 1:20:35 PM","480.00","21.26","25.00","21.00","20.99","21.26"
"24/03/2020 1:15:35 PM","482.40","21.28","25.00","21.00","21.00","21.28"
"24/03/2020 1:10:35 PM","490.00","21.30","25.00","21.00","21.00","21.30"
"24/03/2020 1:05:35 PM","497.20","21.27","25.00","21.00","20.99","21.27"
"24/03/2020 1:00:35 PM","477.20","21.33","25.00","21.00","21.00","21.33"
"24/03/2020 12:55:35 PM","489.40","21.36","25.00","21.00","21.00","21.36"
"24/03/2020 12:50:35 PM","495.00","21.36","25.00","21.00","20.99","21.36"
"24/03/2020 12:45:35 PM","470.40","21.37","25.00","21.00","20.99","21.37"
"24/03/2020 12:40:35 PM","480.20","21.40","25.00","21.00","20.99","21.40"
"24/03/2020 12:35:35 PM","478.80","21.33","25.00","21.00","20.99","21.33"
"24/03/2020 12:30:35 PM","480.00","21.33","25.00","21.00","20.99","21.33"
"24/03/2020 12:25:35 PM","497.40","21.39","25.00","21.00","21.00","21.39"
"24/03/2020 12:20:35 PM","504.00","21.39","25.00","21.00","20.99","21.39"
"24/03/2020 12:15:35 PM","496.00","21.38","25.00","21.00","20.99","21.38"
"24/03/2020 12:10:35 PM","475.20","21.36","25.00","21.00","20.99","21.36"
"24/03/2020 12:05:35 PM","496.00","21.37","25.00","21.00","20.99","21.37"
"24/03/2020 12:00:35 PM","504.40","21.34","25.00","21.00","20.99","21.34"
"24/03/2020 11:55:35 AM","486.00","21.36","25.00","21.00","20.99","21.36"
"24/03/2020 11:50:35 AM","497.80","21.36","25.00","21.00","20.99","21.36"
"24/03/2020 11:45:35 AM","511.20","21.38","25.00","21.00","20.99","21.38"
"24/03/2020 11:40:35 AM","493.60","21.36","25.00","21.00","20.99","21.36"
"24/03/2020 11:35:35 AM","483.40","21.35","25.00","21.00","20.99","21.35"
"24/03/2020 11:30:35 AM","488.40","21.38","25.00","21.00","20.99","21.38"
"24/03/2020 11:25:35 AM","491.20","21.34","25.00","21.00","20.99","21.34"
"24/03/2020 11:20:35 AM","495.00","21.39","25.00","21.00","20.99","21.39"
"24/03/2020 11:15:35 AM","507.60","21.53","25.00","21.00","20.99","21.53"
"24/03/2020 11:10:35 AM","499.80","21.75","25.00","21.00","21.00","21.75"
