"Timestamp","FCU-00-13  CO2 Extended Trend Log","FCU-00-13  SaTmp Extended Trend Log","FCU-00-13  ClgTmpSp Extended Trend Log","FCU-00-13  HtgTmpSp Extended Trend Log","FCU-00-13  ZnTmp Extended Trend Log"
"24/03/2020 2:05:35 PM","377.20","22.22","25.00","21.00","20.55"
"24/03/2020 2:00:35 PM","378.20","22.22","25.00","21.00","20.55"
"24/03/2020 1:55:35 PM","376.80","22.23","25.00","21.00","20.55"
"24/03/2020 1:50:35 PM","379.40","22.23","25.00","21.00","20.55"
"24/03/2020 1:45:35 PM","374.00","22.23","25.00","21.00","20.55"
"24/03/2020 1:40:35 PM","372.40","22.24","25.00","21.00","20.55"
"24/03/2020 1:35:35 PM","374.00","22.25","25.00","21.00","20.55"
"24/03/2020 1:30:35 PM","373.40","22.25","25.00","21.00","20.55"
"24/03/2020 1:25:35 PM","376.40","22.26","25.00","21.00","20.55"
"24/03/2020 1:20:35 PM","377.00","22.27","25.00","21.00","20.55"
"24/03/2020 1:15:35 PM","375.40","22.28","25.00","21.00","20.55"
"24/03/2020 1:10:35 PM","377.40","22.30","25.00","21.00","20.55"
"24/03/2020 1:05:35 PM","378.20","22.32","25.00","21.00","20.55"
"24/03/2020 1:00:35 PM","376.60","22.35","25.00","21.00","20.55"
"24/03/2020 12:55:35 PM","375.20","22.39","25.00","21.00","20.55"
"24/03/2020 12:50:35 PM","377.80","22.41","25.00","21.00","20.55"
"24/03/2020 12:45:35 PM","378.60","22.45","25.00","21.00","20.55"
"24/03/2020 12:40:35 PM","383.40","22.50","25.00","21.00","20.55"
"24/03/2020 12:35:35 PM","372.20","22.55","25.00","21.00","20.55"
"24/03/2020 12:30:35 PM","377.60","22.58","25.00","21.00","20.55"
"24/03/2020 12:25:35 PM","385.20","22.61","25.00","21.00","20.55"
"24/03/2020 12:20:35 PM","380.80","22.67","25.00","21.00","20.55"
"24/03/2020 12:15:35 PM","385.20","22.71","25.00","21.00","20.55"
"24/03/2020 12:10:35 PM","380.80","22.77","25.00","21.00","20.55"
"24/03/2020 12:05:35 PM","377.40","22.83","25.00","21.00","20.55"
"24/03/2020 12:00:35 PM","378.40","22.88","25.00","21.00","20.55"
"24/03/2020 11:55:35 AM","385.80","22.94","25.00","21.00","20.55"
"24/03/2020 11:50:35 AM","380.40","23.00","25.00","21.00","20.55"
"24/03/2020 11:45:35 AM","381.80","23.05","25.00","21.00","20.55"
"24/03/2020 11:40:35 AM","380.20","23.11","25.00","21.00","20.55"
"24/03/2020 11:35:35 AM","378.40","23.16","25.00","21.00","20.55"
"24/03/2020 11:30:35 AM","374.40","23.19","25.00","21.00","20.55"
"24/03/2020 11:25:35 AM","371.40","23.15","25.00","21.00","20.55"
"24/03/2020 11:20:35 AM","373.00","22.98","25.00","21.00","20.55"
"24/03/2020 11:15:35 AM","360.40","23.01","25.00","21.00","20.55"
"24/03/2020 11:10:35 AM","359.00","24.73","25.00","21.00","20.55"
