"Timestamp","FCU-00-14 CO2 Extended Trend Log","FCU-00-14  SaTmp Extended Trend Log","FCU-00-14  ClgTmpSp Extended Trend Log","FCU-00-14  HtgTmpSp Extended Trend Log","FCU-00-14  ZnTmp Extended Trend Log"
"24/03/2020 2:00:35 PM","464.40","31.15","23.00","22.00","19.26"
"24/03/2020 1:55:35 PM","466.80","30.40","23.00","22.00","19.26"
"24/03/2020 1:50:35 PM","452.60","30.10","23.00","22.00","19.26"
"24/03/2020 1:45:35 PM","441.20","30.07","23.00","22.00","19.26"
"24/03/2020 1:40:35 PM","440.00","30.86","23.00","22.00","19.26"
"24/03/2020 1:35:35 PM","421.60","31.36","23.00","22.00","19.26"
"24/03/2020 1:30:35 PM","433.40","31.92","23.00","22.00","19.26"
"24/03/2020 1:25:35 PM","431.00","31.63","23.00","22.00","19.26"
"24/03/2020 1:20:35 PM","470.40","31.39","23.00","22.00","19.26"
"24/03/2020 1:15:35 PM","443.60","30.97","23.00","22.00","19.26"
"24/03/2020 1:10:35 PM","446.40","30.81","23.00","22.00","19.26"
"24/03/2020 1:05:35 PM","453.60","30.13","23.00","22.00","19.26"
"24/03/2020 1:00:35 PM","441.00","29.64","23.00","22.00","19.26"
"24/03/2020 12:55:35 PM","429.40","29.88","23.00","22.00","19.26"
"24/03/2020 12:50:35 PM","423.60","30.86","23.00","22.00","19.26"
"24/03/2020 12:45:35 PM","444.60","31.87","23.00","22.00","19.26"
"24/03/2020 12:40:35 PM","429.00","32.06","23.00","22.00","19.26"
"24/03/2020 12:35:35 PM","432.40","32.17","23.00","22.00","19.26"
"24/03/2020 12:30:35 PM","444.40","32.18","23.00","22.00","19.26"
"24/03/2020 12:25:35 PM","464.80","32.05","23.00","22.00","19.26"
"24/03/2020 12:20:35 PM","432.40","32.01","23.00","22.00","19.26"
"24/03/2020 12:15:35 PM","421.40","31.99","23.00","22.00","19.26"
"24/03/2020 12:10:35 PM","435.40","31.87","23.00","22.00","19.26"
"24/03/2020 12:05:35 PM","417.80","31.80","23.00","22.00","19.26"
"24/03/2020 12:00:35 PM","444.60","31.65","23.00","22.00","19.26"
"24/03/2020 11:55:35 AM","442.80","31.49","23.00","22.00","19.26"
"24/03/2020 11:50:35 AM","443.80","31.46","23.00","22.00","19.26"
"24/03/2020 11:45:35 AM","417.20","31.44","23.00","22.00","19.26"
"24/03/2020 11:40:35 AM","440.00","31.43","23.00","22.00","19.26"
"24/03/2020 11:35:35 AM","437.20","31.34","23.00","22.00","19.26"
"24/03/2020 11:30:35 AM","441.40","31.12","23.00","22.00","19.26"
"24/03/2020 11:25:35 AM","437.60","30.91","23.00","22.00","19.26"
"24/03/2020 11:20:35 AM","442.20","30.97","23.00","22.00","19.26"
"24/03/2020 11:15:35 AM","448.00","31.26","23.00","22.00","19.26"
"24/03/2020 11:10:35 AM","449.60","31.09","23.00","22.00","19.26"
"24/03/2020 11:05:35 AM","458.40","31.20","23.00","22.00","19.26"
"24/03/2020 11:00:35 AM","449.40","31.27","23.00","22.00","19.26"
"24/03/2020 10:55:35 AM","437.20","31.29","23.00","22.00","19.26"
"24/03/2020 10:50:35 AM","479.40","31.04","23.00","22.00","19.26"
"24/03/2020 10:45:35 AM","446.40","30.97","23.00","22.00","19.26"
"24/03/2020 10:40:35 AM","448.80","30.82","23.00","22.00","19.26"
"24/03/2020 10:35:35 AM","456.60","30.91","23.00","22.00","19.26"
"24/03/2020 10:30:35 AM","445.00","30.91","23.00","22.00","19.26"
"24/03/2020 10:25:35 AM","473.20","31.02","23.00","22.00","19.26"
"24/03/2020 10:20:35 AM","427.80","31.00","23.00","22.00","19.26"
"24/03/2020 10:15:35 AM","461.60","30.96","23.00","22.00","19.26"
"24/03/2020 10:10:35 AM","449.20","30.97","23.00","22.00","19.26"
"24/03/2020 10:05:35 AM","423.40","30.86","23.00","22.00","19.26"
"24/03/2020 10:00:35 AM","455.80","30.84","23.00","22.00","19.26"
"24/03/2020 9:55:35 AM","475.60","30.89","23.00","22.00","19.26"
"24/03/2020 9:50:35 AM","466.00","30.97","23.00","22.00","19.26"
"24/03/2020 9:45:35 AM","447.60","30.96","23.00","22.00","19.26"
"24/03/2020 9:40:35 AM","449.00","30.84","23.00","22.00","19.26"
"24/03/2020 9:35:35 AM","473.80","30.75","23.00","22.00","19.26"
"24/03/2020 9:30:35 AM","493.60","30.81","23.00","22.00","19.26"
"24/03/2020 9:25:35 AM","454.80","30.84","23.00","22.00","19.26"
"24/03/2020 9:20:35 AM","480.00","30.78","23.00","22.00","19.26"
"24/03/2020 9:15:35 AM","481.40","30.72","23.00","22.00","19.26"
"24/03/2020 9:10:35 AM","466.20","30.73","23.00","22.00","19.26"
"24/03/2020 9:05:35 AM","447.00","30.85","23.00","22.00","19.26"
"24/03/2020 9:00:35 AM","444.80","30.68","23.00","22.00","19.26"
