"Timestamp","GM92-08 LTB DHW Hour Meter Extended Trend Log","GM92-07 LTB Boilers Hour Meter Extended Trend Log"
"23/03/2020 4:00:00 PM","1.01","24.00"
"23/03/2020 3:00:00 PM","0.98","24.00"
"23/03/2020 2:00:00 PM","1.01","24.00"
"23/03/2020 1:00:00 PM","1.09","24.00"
"23/03/2020 12:00:00 PM","1.29","24.00"
"23/03/2020 11:00:00 AM","1.86","24.00"
"23/03/2020 10:00:00 AM","1.06","24.00"
"23/03/2020 9:00:00 AM","0.00","24.00"
"23/03/2020 8:00:00 AM","0.00","24.00"
"23/03/2020 7:00:00 AM","0.00","23.00"
"23/03/2020 6:00:00 AM","0.00","15.00"
"23/03/2020 5:00:00 AM","0.00","13.00"
"23/03/2020 4:00:00 AM","0.00","8.00"
"23/03/2020 3:00:00 AM","0.00","8.00"
"23/03/2020 2:00:00 AM","0.00","9.00"
"23/03/2020 1:00:00 AM","0.00","9.00"
"23/03/2020 12:00:00 AM","0.00","8.00"
"22/03/2020 11:00:00 PM","0.00","7.00"
"22/03/2020 10:00:00 PM","0.00","7.00"
"22/03/2020 9:00:00 PM","0.00","5.00"
"22/03/2020 8:00:00 PM","0.00","7.00"
"22/03/2020 7:00:00 PM","0.00","5.00"
"22/03/2020 6:00:00 PM","0.00","6.00"
"22/03/2020 5:00:00 PM","0.00","5.00"
"22/03/2020 4:00:00 PM","0.00","5.00"
"22/03/2020 3:00:00 PM","0.00","6.00"
"22/03/2020 2:00:00 PM","0.00","5.00"
"22/03/2020 1:00:00 PM","0.00","7.00"
"22/03/2020 12:00:00 PM","0.00","10.00"
"22/03/2020 11:00:00 AM","0.00","8.00"
"22/03/2020 10:00:00 AM","0.00","9.00"
"22/03/2020 9:00:00 AM","0.00","9.00"
"22/03/2020 8:00:00 AM","0.00","9.00"
"22/03/2020 7:00:00 AM","0.00","9.00"
"22/03/2020 6:00:00 AM","0.00","7.00"
"22/03/2020 5:00:00 AM","0.00","4.00"
"22/03/2020 4:00:00 AM","0.00","6.00"
"22/03/2020 3:00:00 AM","0.00","6.00"
"22/03/2020 2:00:00 AM","0.00","5.00"
"22/03/2020 1:00:00 AM","0.00","5.00"
"22/03/2020 12:00:00 AM","0.00","5.00"
"21/03/2020 11:00:00 PM","0.00","6.00"
"21/03/2020 10:00:00 PM","0.00","5.00"
"21/03/2020 9:00:00 PM","0.00","3.00"
"21/03/2020 8:00:00 PM","0.00","6.00"
"21/03/2020 7:00:00 PM","0.00","4.00"
"21/03/2020 6:00:00 PM","0.00","3.00"
"21/03/2020 5:00:00 PM","0.00","3.00"
"21/03/2020 4:00:00 PM","0.00","5.00"
"21/03/2020 3:00:00 PM","0.00","5.00"
"21/03/2020 2:00:00 PM","0.00","3.00"
"21/03/2020 1:00:00 PM","0.00","7.00"
"21/03/2020 12:00:00 PM","0.00","7.00"
"21/03/2020 11:00:00 AM","0.00","4.00"
"21/03/2020 10:00:00 AM","0.00","7.00"
"21/03/2020 9:00:00 AM","0.00","8.00"
"21/03/2020 8:00:00 AM","0.00","8.00"
"21/03/2020 7:00:00 AM","0.00","7.00"
"21/03/2020 6:00:00 AM","0.00","4.00"
"21/03/2020 5:00:00 AM","0.00","4.00"
"21/03/2020 4:00:00 AM","0.00","6.00"
"21/03/2020 3:00:00 AM","0.00","3.00"
"21/03/2020 2:00:00 AM","0.00","4.00"
"21/03/2020 1:00:00 AM","0.00","6.00"
"21/03/2020 12:00:00 AM","0.00","4.00"
"20/03/2020 11:00:00 PM","0.00","4.00"
"20/03/2020 10:00:00 PM","0.00","5.00"
"20/03/2020 9:00:00 PM","0.00","3.00"
"20/03/2020 8:00:00 PM","0.00","3.00"
"20/03/2020 7:00:00 PM","0.00","8.00"
"20/03/2020 6:00:00 PM","0.00","3.00"
"20/03/2020 5:00:00 PM","0.00","3.00"
"20/03/2020 4:00:00 PM","0.00","5.00"
"20/03/2020 3:00:00 PM","0.00","5.00"
"20/03/2020 2:00:00 PM","0.00","3.00"
"20/03/2020 1:00:00 PM","0.00","3.00"
"20/03/2020 12:00:00 PM","0.00","4.00"
"20/03/2020 11:00:00 AM","0.00","7.00"
"20/03/2020 10:00:00 AM","0.00","3.00"
"20/03/2020 9:00:00 AM","0.00","8.00"
"20/03/2020 8:00:00 AM","0.00","7.00"
"20/03/2020 7:00:00 AM","0.00","0.00"
"20/03/2020 6:00:00 AM","0.00","3.00"
"20/03/2020 5:00:00 AM","0.00","3.00"
"20/03/2020 4:00:00 AM","0.00","3.00"
"20/03/2020 3:00:00 AM","0.00","3.00"
"20/03/2020 2:00:00 AM","0.00","3.00"
"20/03/2020 1:00:00 AM","0.00","3.00"
"20/03/2020 12:00:00 AM","0.00","3.00"
"19/03/2020 11:00:00 PM","0.00","4.00"
"19/03/2020 10:00:00 PM","0.00","3.00"
"19/03/2020 9:00:00 PM","0.00","3.00"
"19/03/2020 8:00:00 PM","0.00","3.00"
"19/03/2020 7:00:00 PM","0.00","0.00"
"19/03/2020 6:00:00 PM","0.00","3.00"
"19/03/2020 5:00:00 PM","0.00","3.00"
"19/03/2020 4:00:00 PM","0.00","3.00"
"19/03/2020 3:00:00 PM","0.00","0.00"
"19/03/2020 2:00:00 PM","0.00","3.00"
"19/03/2020 1:00:00 PM","0.00","3.00"
"19/03/2020 12:00:00 PM","0.00","4.00"
"19/03/2020 11:00:00 AM","0.00","3.00"
"19/03/2020 10:00:00 AM","0.00","3.00"
"19/03/2020 9:00:00 AM","0.00","3.00"
"19/03/2020 8:00:00 AM","0.00","3.00"
"19/03/2020 7:00:00 AM","0.00","3.00"
"19/03/2020 6:00:00 AM","0.00","4.00"
"19/03/2020 5:00:00 AM","0.00","3.00"
"19/03/2020 4:00:00 AM","0.00","1.00"
"19/03/2020 3:00:00 AM","0.00","2.00"
"19/03/2020 2:00:00 AM","0.00","3.00"
"19/03/2020 1:00:00 AM","0.00","3.00"
"19/03/2020 12:00:00 AM","0.00","3.00"
"18/03/2020 11:00:00 PM","0.00","3.00"
"18/03/2020 10:00:00 PM","0.00","4.00"
"18/03/2020 9:00:00 PM","0.00","3.00"
"18/03/2020 8:00:00 PM","0.00","3.00"
"18/03/2020 7:00:00 PM","0.00","3.00"
"18/03/2020 6:00:00 PM","0.00","4.00"
"18/03/2020 5:00:00 PM","0.00","0.00"
"18/03/2020 4:00:00 PM","0.00","3.00"
"18/03/2020 3:00:00 PM","0.00","3.00"
"18/03/2020 2:00:00 PM","0.00","3.00"
"18/03/2020 1:00:00 PM","0.00","3.00"
"18/03/2020 12:00:00 PM","0.00","3.00"
"18/03/2020 11:00:00 AM","0.00","7.00"
"18/03/2020 10:00:00 AM","0.00","4.00"
"18/03/2020 9:00:00 AM","0.00","3.00"
"18/03/2020 8:00:00 AM","0.00","3.00"
"18/03/2020 7:00:00 AM","0.00","3.00"
"18/03/2020 6:00:00 AM","0.00","4.00"
"18/03/2020 5:00:00 AM","0.00","3.00"
"18/03/2020 4:00:00 AM","0.00","0.00"
"18/03/2020 3:00:00 AM","0.00","3.00"
"18/03/2020 2:00:00 AM","0.00","3.00"
"18/03/2020 1:00:00 AM","0.00","3.00"
"18/03/2020 12:00:00 AM","0.00","3.00"
"17/03/2020 11:00:00 PM","0.00","3.00"
"17/03/2020 10:00:00 PM","0.00","4.00"
"17/03/2020 9:00:00 PM","0.00","3.00"
"17/03/2020 8:00:00 PM","0.00","3.00"
"17/03/2020 7:00:00 PM","0.00","3.00"
"17/03/2020 6:00:00 PM","0.00","4.00"
"17/03/2020 5:00:00 PM","0.00","3.00"
"17/03/2020 4:00:00 PM","0.00","3.00"
"17/03/2020 3:00:00 PM","0.00","3.00"
"17/03/2020 2:00:00 PM","0.00","6.00"
"17/03/2020 1:00:00 PM","0.00","5.00"
"17/03/2020 12:00:00 PM","0.00","7.00"
"17/03/2020 11:00:00 AM","0.00","5.00"
"17/03/2020 10:00:00 AM","0.00","7.00"
"17/03/2020 9:00:00 AM","0.00","10.00"
"17/03/2020 8:00:00 AM","0.00","10.00"
"17/03/2020 7:00:00 AM","0.00","9.00"
"17/03/2020 6:00:00 AM","0.00","8.00"
"17/03/2020 5:00:00 AM","0.00","5.00"
"17/03/2020 4:00:00 AM","0.00","6.00"
"17/03/2020 3:00:00 AM","0.00","5.00"
"17/03/2020 2:00:00 AM","0.00","6.00"
"17/03/2020 1:00:00 AM","0.00","3.00"
"17/03/2020 12:00:00 AM","0.00","3.00"
"16/03/2020 11:00:00 PM","0.00","7.00"
"16/03/2020 10:00:00 PM","0.00","4.00"
"16/03/2020 9:00:00 PM","0.00","3.00"
"16/03/2020 8:00:00 PM","0.00","3.00"
"16/03/2020 7:00:00 PM","0.00","7.00"
"16/03/2020 6:00:00 PM","0.00","4.00"
"16/03/2020 5:00:00 PM","0.00","3.00"
"16/03/2020 4:00:00 PM","0.00","8.00"
"16/03/2020 3:00:00 PM","0.00","7.00"
"16/03/2020 2:00:00 PM","0.00","8.00"
"16/03/2020 1:00:00 PM","0.00","9.00"
"16/03/2020 12:00:00 PM","0.00","12.00"
"16/03/2020 11:00:00 AM","0.00","24.00"
"16/03/2020 10:00:00 AM","0.00","29.00"
"16/03/2020 9:00:00 AM","0.00","36.00"
"16/03/2020 8:00:00 AM","0.00","39.00"
"16/03/2020 7:00:00 AM","0.00","31.00"
"16/03/2020 6:00:00 AM","0.00","24.00"
"16/03/2020 5:00:00 AM","0.00","19.00"
"16/03/2020 4:00:00 AM","0.00","15.00"
"16/03/2020 3:00:00 AM","0.00","12.00"
"16/03/2020 2:00:00 AM","0.00","12.00"
"16/03/2020 1:00:00 AM","0.00","13.00"
"16/03/2020 12:00:00 AM","0.00","12.00"
"15/03/2020 11:00:00 PM","0.00","11.00"
