"Timestamp","PM92-89 DB 01-01 Power 15 Min Meter Extended Trend Log","PM92-90 DB 01-01 Light 15 Min Meter Extended Trend Log","PM92-97 DB 01-02 Power 15 Min Meter Extended Trend Log","PM92-98 DB 01-02 light 15 Min Meter Extended Trend Log","PM92-105 DB 01-03 Power 15 Min Meter Extended Trend Log","PM92-106 DB 01-03 Light 15 Min Meter Extended Trend Log","PM92-113 DB 01-04 Power 15 Min Meter Extended Trend Log","PM92-114 DB 01-04 Light 15 Min Meter Extended Trend Log"
"23/03/2020 10:15:00 AM","0.81","2.27","1.09","1.70","1.48","0.89","1.47","1.52"
"23/03/2020 10:00:00 AM","0.81","2.27","1.06","1.59","1.47","0.98","1.45","1.49"
"23/03/2020 9:45:00 AM","0.86","2.35","1.05","1.62","1.45","1.03","1.41","1.47"
"23/03/2020 9:30:00 AM","0.86","2.34","1.07","1.64","1.36","1.01","1.46","1.48"
"23/03/2020 9:15:00 AM","0.60","2.49","1.07","1.74","1.34","0.80","1.51","1.49"
"23/03/2020 9:00:00 AM","0.61","2.26","1.07","1.85","1.44","0.79","1.45","1.50"
"23/03/2020 8:45:00 AM","0.61","2.23","1.08","1.68","1.42","0.92","1.48","1.48"
"23/03/2020 8:30:00 AM","0.61","2.18","1.08","1.59","1.31","0.91","1.59","1.50"
"23/03/2020 8:15:00 AM","0.62","1.86","1.08","1.66","1.39","0.91","1.35","1.48"
"23/03/2020 8:00:00 AM","0.91","1.95","1.08","1.63","1.36","0.64","1.32","1.49"
"23/03/2020 7:45:00 AM","0.61","1.92","1.09","1.39","1.38","0.69","1.20","1.47"
"23/03/2020 7:30:00 AM","0.61","1.74","1.09","1.20","1.34","0.73","1.25","1.40"
"23/03/2020 7:15:00 AM","0.62","1.60","1.09","0.96","1.41","0.75","1.14","1.07"
"23/03/2020 7:00:00 AM","0.62","1.54","1.09","1.20","1.39","0.73","1.10","0.61"
"23/03/2020 6:45:00 AM","0.66","1.14","1.08","1.28","1.30","0.86","1.08","0.77"
"23/03/2020 6:30:00 AM","0.90","1.30","1.08","1.20","1.44","0.82","1.10","1.11"
"23/03/2020 6:15:00 AM","0.96","1.75","1.09","0.58","1.38","0.83","1.11","0.98"
"23/03/2020 6:00:00 AM","0.97","1.52","1.08","0.80","1.36","0.89","1.03","0.86"
"23/03/2020 5:45:00 AM","0.59","0.70","1.08","1.27","1.34","0.86","1.05","1.14"
"23/03/2020 5:30:00 AM","0.59","0.84","1.09","1.52","1.44","0.92","1.06","0.61"
"23/03/2020 5:15:00 AM","0.55","1.29","1.04","1.92","1.31","0.84","1.02","0.64"
"23/03/2020 5:00:00 AM","0.59","2.16","1.04","1.74","1.25","0.55","1.03","1.09"
"23/03/2020 4:45:00 AM","0.40","2.12","1.04","1.72","1.34","0.67","1.02","0.90"
"23/03/2020 4:30:00 AM","0.61","1.23","1.03","1.83","1.27","0.74","1.02","0.58"
"23/03/2020 4:15:00 AM","0.57","0.76","1.04","0.98","1.28","0.38","1.00","0.18"
