"Timestamp","92-91 DB 02-01 Power 15 Min Meter Extended Trend Log","92-92 DB 02-01 Light 15 Min Meter Extended Trend Log","92-99 DB 02-02 Power 15 Min Meter Extended Trend Log","92-100 DB 02-02 Light 15 Min Meter Extended Trend Log","92-107 DB 02-03 Power 15 Min Meter Extended Trend Log","92-108 DB 02-03 Light 15 Min Meter Extended Trend Log","92-115 DB 02-04 Power 15 Min Meter Extended Trend Log","92-116 DB 02-04 Light 15 Min Meter Extended Trend Log"
"23/03/2020 10:00:00 AM","1.55","3.13","1.06","0.68","1.44","1.27","1.55","1.68"
"23/03/2020 9:45:00 AM","1.56","3.33","1.06","0.75","1.41","1.30","1.41","1.67"
"23/03/2020 9:30:00 AM","1.58","3.44","1.09","0.75","1.48","1.40","1.48","1.70"
"23/03/2020 9:15:00 AM","1.62","3.41","1.03","0.76","1.47","1.37","1.51","1.66"
"23/03/2020 9:00:00 AM","1.58","3.22","1.06","0.68","1.42","1.32","1.44","1.70"
"23/03/2020 8:45:00 AM","1.54","3.06","1.05","0.66","1.39","1.27","1.54","1.63"
"23/03/2020 8:30:00 AM","1.65","3.00","1.04","0.66","1.48","1.25","1.55","1.58"
"23/03/2020 8:15:00 AM","1.54","3.00","1.06","0.63","1.39","1.30","1.49","1.51"
"23/03/2020 8:00:00 AM","1.48","3.03","1.02","0.52","1.42","1.20","1.41","1.50"
"23/03/2020 7:45:00 AM","1.27","3.00","1.02","0.45","1.45","1.21","1.40","1.48"
"23/03/2020 7:30:00 AM","1.20","2.88","1.03","0.57","1.41","1.31","1.41","1.31"
"23/03/2020 7:15:00 AM","1.18","2.73","1.00","0.33","1.42","1.13","1.43","1.30"
"23/03/2020 7:00:00 AM","1.14","2.48","1.01","0.37","1.44","1.23","1.10","1.25"
"23/03/2020 6:45:00 AM","1.04","2.05","0.99","0.17","1.38","0.88","1.11","1.02"
"23/03/2020 6:30:00 AM","1.05","2.81","1.00","0.66","1.41","0.86","1.13","1.09"
"23/03/2020 6:15:00 AM","1.03","1.48","1.02","0.64","1.36","0.52","1.09","1.02"
"23/03/2020 6:00:00 AM","1.05","1.06","1.02","0.43","1.36","0.46","1.05","1.19"
"23/03/2020 5:45:00 AM","1.05","2.14","1.01","0.24","1.47","0.41","1.03","0.88"
"23/03/2020 5:30:00 AM","1.05","2.61","1.02","0.05","1.36","0.55","1.41","0.68"
"23/03/2020 5:15:00 AM","1.08","2.38","0.96","0.32","1.31","0.53","1.79","0.67"
