"Timestamp","PM92-93 DB 03-01 Power 15 Min Meter Extended Trend Log","PM92-94 DB 03-01 Light 15 Min Meter Extended Trend Log","PM92-101 DB 03-02 Power 15 Min Meter Extended Trend Log","PM92-102 DB 03-02 Light 15 Min Meter Extended Trend Log","PM92-109 DB 03-03 Power 15 Min Meter Extended Trend Log","PM92-110 DB 03-03 Light 15 Min Meter Extended Trend Log","PM92-117 DB 03-4 Power 15 Min Meter Extended Trend Log","PM92-118 DB 03-04 Light 15 Min Meter Extended Trend Log"
"23/03/2020 10:15:00 AM","1.25","0.70","1.34","0.32","1.20","0.36","1.44","1.23"
"23/03/2020 10:00:00 AM","1.27","0.70","1.34","0.29","1.20","0.24","1.41","1.25"
"23/03/2020 9:45:00 AM","1.27","0.69","1.34","0.29","1.20","0.23","1.41","1.30"
"23/03/2020 9:30:00 AM","1.28","0.72","1.34","0.34","1.20","0.20","1.47","1.29"
"23/03/2020 9:15:00 AM","1.27","0.60","1.34","0.35","1.20","0.15","1.45","1.25"
"23/03/2020 9:00:00 AM","1.23","0.50","1.36","0.27","1.20","0.15","1.56","1.24"
"23/03/2020 8:45:00 AM","1.23","0.54","1.36","0.20","1.19","0.16","1.52","1.28"
"23/03/2020 8:30:00 AM","1.25","0.50","1.36","0.33","1.20","0.26","1.47","1.15"
"23/03/2020 8:15:00 AM","1.21","0.43","1.32","0.31","1.20","0.25","1.37","1.09"
"23/03/2020 8:00:00 AM","1.23","0.50","1.25","0.30","1.20","0.29","1.37","1.13"
"23/03/2020 7:45:00 AM","1.23","0.56","1.24","0.26","1.20","0.21","1.37","1.11"
"23/03/2020 7:30:00 AM","1.26","0.66","1.26","0.34","1.20","0.23","1.32","1.00"
"23/03/2020 7:15:00 AM","1.23","0.52","1.23","0.28","1.19","0.16","1.27","0.77"
"23/03/2020 7:00:00 AM","1.20","0.42","1.23","0.26","1.20","0.18","1.25","0.84"
"23/03/2020 6:45:00 AM","1.21","0.26","1.22","0.25","1.20","0.23","1.27","0.44"
"23/03/2020 6:30:00 AM","1.22","0.12","1.22","0.31","1.19","0.31","1.30","0.33"
"23/03/2020 6:15:00 AM","1.21","0.18","1.22","0.36","1.20","0.32","1.28","0.80"
"23/03/2020 6:00:00 AM","1.23","0.35","1.21","0.19","1.20","0.27","1.26","0.91"
"23/03/2020 5:45:00 AM","1.30","0.64","1.22","0.19","1.19","0.27","1.19","1.07"
"23/03/2020 5:30:00 AM","1.23","0.69","1.23","0.20","1.20","0.30","1.23","1.04"
"23/03/2020 5:15:00 AM","1.11","0.50","1.17","0.10","1.13","0.21","1.13","1.11"
"23/03/2020 5:00:00 AM","1.09","0.40","1.17","0.19","1.13","0.30","1.16","1.20"
"23/03/2020 4:45:00 AM","1.13","0.44","1.19","0.19","1.14","0.17","1.28","1.08"
"23/03/2020 4:30:00 AM","1.10","0.28","1.15","0.18","1.13","0.11","1.16","0.71"
"23/03/2020 4:15:00 AM","1.11","0.16","1.17","0.18","1.12","0.11","1.15","0.84"
"23/03/2020 4:00:00 AM","1.17","0.43","1.19","0.24","1.13","0.16","1.15","1.07"
"23/03/2020 3:45:00 AM","1.19","0.29","1.24","0.08","1.20","0.09","1.16","0.50"
"23/03/2020 3:30:00 AM","1.21","0.16","1.24","0.07","1.22","0.09","1.16","0.14"
"23/03/2020 3:15:00 AM","1.18","0.11","1.23","0.07","1.20","0.09","1.17","0.09"
"23/03/2020 3:00:00 AM","1.17","0.11","1.23","0.07","1.20","0.07","1.15","0.06"
"23/03/2020 2:45:00 AM","1.18","0.07","1.23","0.06","1.20","0.02","1.13","0.05"
"23/03/2020 2:30:00 AM","1.18","0.07","1.23","0.06","1.20","0.03","1.16","0.05"
"23/03/2020 2:15:00 AM","1.19","0.06","1.25","0.06","1.20","0.03","1.17","0.05"
"23/03/2020 2:00:00 AM","1.18","0.07","1.23","0.06","1.20","0.02","1.17","0.05"
"23/03/2020 1:45:00 AM","1.20","0.07","1.24","0.06","1.20","0.03","1.16","0.08"
"23/03/2020 1:30:00 AM","1.27","0.07","1.29","0.06","1.27","0.03","1.20","0.13"
"23/03/2020 1:15:00 AM","1.20","0.07","1.25","0.06","1.23","0.02","1.16","0.05"
"23/03/2020 1:00:01 AM","1.22","0.07","1.26","0.06","1.23","0.03","1.15","0.05"
"23/03/2020 1:00:00 AM","1.22","0.07","1.26","0.06","1.23","0.03","1.18","0.05"
"23/03/2020 12:45:00 AM","1.19","0.07","1.23","0.06","1.21","0.02","1.18","0.05"
"23/03/2020 12:30:00 AM","1.20","0.07","1.26","0.06","1.23","0.03","1.16","0.07"
"23/03/2020 12:15:00 AM","1.19","0.07","1.23","0.06","1.20","0.02","1.20","0.13"
"23/03/2020 12:00:00 AM","1.16","0.07","1.23","0.06","1.20","0.03","1.15","0.05"
"22/03/2020 11:45:00 PM","1.21","0.06","1.23","0.06","1.20","0.02","1.16","0.05"
"22/03/2020 11:30:00 PM","1.18","0.09","1.23","0.09","1.20","0.07","1.16","0.11"
"22/03/2020 11:15:00 PM","1.20","0.12","1.23","0.17","1.20","0.19","1.13","0.41"
"22/03/2020 11:00:00 PM","1.20","0.10","1.23","0.17","1.20","0.18","1.15","0.45"
"22/03/2020 10:45:00 PM","1.18","0.11","1.23","0.17","1.20","0.19","1.13","0.31"
"22/03/2020 10:30:00 PM","1.19","0.12","1.23","0.17","1.20","0.18","1.16","0.21"
"22/03/2020 10:15:00 PM","1.18","0.11","1.23","0.17","1.19","0.19","1.15","0.21"
"22/03/2020 10:00:00 PM","1.19","0.09","1.23","0.17","1.20","0.19","1.20","0.21"
"22/03/2020 9:45:00 PM","1.20","0.11","1.23","0.17","1.20","0.19","1.18","0.23"
"22/03/2020 9:30:00 PM","1.21","0.32","1.23","0.17","1.20","0.19","1.17","0.40"
"22/03/2020 9:15:00 PM","1.19","0.35","1.23","0.17","1.20","0.19","1.25","0.62"
"22/03/2020 9:00:00 PM","1.19","0.27","1.23","0.17","1.20","0.19","1.23","0.38"
"22/03/2020 8:45:00 PM","1.18","0.14","1.23","0.17","1.20","0.19","1.24","0.25"
"22/03/2020 8:30:00 PM","1.19","0.35","1.23","0.17","1.20","0.25","1.23","0.88"
"22/03/2020 8:15:00 PM","1.18","0.19","1.23","0.17","1.20","0.19","1.27","0.52"
"22/03/2020 8:00:00 PM","1.19","0.23","1.23","0.17","1.20","0.22","1.30","0.88"
"22/03/2020 7:45:00 PM","1.19","0.32","1.23","0.17","1.20","0.21","1.29","0.95"
