"Timestamp","PM92-24 MSSB.04-01 15 Min Meter Extended Trend Log","PM92-25 MSSB.04-02 15 Min Meter Extended Trend Log","PM92-26 MSSB.04-03 15 Min Meter Extended Trend Log","PM92-27 MSSB.04-04 15 Min Meter Extended Trend Log"
"23/03/2020 2:30:00 PM","4.97","6.78","9.31","5.31"
"23/03/2020 2:15:00 PM","4.97","6.66","9.25","5.38"
"23/03/2020 2:00:00 PM","4.97","6.34","9.34","5.33"
"23/03/2020 1:45:00 PM","4.72","6.09","9.00","5.23"
"23/03/2020 1:30:00 PM","4.94","6.09","9.22","5.28"
"23/03/2020 1:15:00 PM","4.97","6.31","9.47","5.31"
"23/03/2020 1:00:00 PM","4.69","6.69","9.28","5.34"
"23/03/2020 12:45:00 PM","4.63","6.75","9.44","5.11"
"23/03/2020 12:30:00 PM","4.50","6.25","9.19","5.42"
"23/03/2020 12:15:00 PM","4.44","5.97","8.59","4.88"
"23/03/2020 12:00:00 PM","4.22","5.81","8.63","4.91"
"23/03/2020 11:45:00 AM","4.09","5.84","8.50","5.13"
"23/03/2020 11:30:00 AM","4.50","6.00","8.16","4.84"
"23/03/2020 11:15:00 AM","4.97","5.72","7.81","4.88"
"23/03/2020 11:00:00 AM","4.81","5.63","7.66","5.11"
"23/03/2020 10:45:00 AM","4.41","5.63","7.75","4.92"
"23/03/2020 10:30:00 AM","4.50","4.81","7.59","5.02"
"23/03/2020 10:15:00 AM","4.28","4.50","8.03","5.06"
"23/03/2020 10:00:00 AM","4.50","4.72","8.03","4.88"
"23/03/2020 9:45:00 AM","4.66","5.13","8.22","4.72"
"23/03/2020 9:30:00 AM","4.31","5.31","8.25","5.05"
"23/03/2020 9:15:00 AM","4.50","4.47","8.25","4.58"
"23/03/2020 9:00:00 AM","4.41","4.50","7.81","4.61"
"23/03/2020 8:45:00 AM","3.72","4.75","7.47","4.77"
"23/03/2020 8:30:00 AM","4.13","4.56","7.75","4.98"
"23/03/2020 8:15:00 AM","3.59","4.47","7.03","4.53"
"23/03/2020 8:00:00 AM","3.75","4.41","6.59","3.53"
"23/03/2020 7:45:00 AM","3.72","4.47","6.28","3.77"
"23/03/2020 7:30:00 AM","3.72","4.34","6.25","3.78"
"23/03/2020 7:15:00 AM","3.28","3.88","6.03","3.80"
"23/03/2020 7:00:00 AM","3.78","3.78","5.97","3.63"
"23/03/2020 6:45:00 AM","4.16","3.88","6.13","3.67"
"23/03/2020 6:30:00 AM","4.34","4.16","6.97","3.86"
"23/03/2020 6:15:00 AM","4.22","4.34","6.91","3.73"
"23/03/2020 6:00:00 AM","3.72","4.78","6.75","3.77"
"23/03/2020 5:45:00 AM","3.81","4.94","6.03","3.11"
"23/03/2020 5:30:00 AM","3.00","3.44","4.94","3.05"
"23/03/2020 5:15:00 AM","2.38","2.00","5.19","2.55"
"23/03/2020 5:00:00 AM","1.75","1.75","5.78","2.56"
"23/03/2020 4:45:00 AM","1.66","2.59","6.09","2.66"
"23/03/2020 4:30:00 AM","2.53","2.84","5.63","2.64"
"23/03/2020 4:15:00 AM","2.81","2.59","5.56","2.86"
"23/03/2020 4:00:00 AM","2.16","2.03","4.59","3.27"
"23/03/2020 3:45:00 AM","1.19","1.34","3.91","2.36"
"23/03/2020 3:30:00 AM","1.06","1.38","3.84","1.39"
"23/03/2020 3:15:00 AM","0.88","1.09","3.69","1.19"
"23/03/2020 3:00:00 AM","0.72","1.22","3.59","1.42"
"23/03/2020 2:45:00 AM","0.59","1.13","3.63","1.25"
"23/03/2020 2:30:00 AM","0.72","1.19","3.66","1.05"
"23/03/2020 2:15:00 AM","0.69","1.19","3.63","1.36"
"23/03/2020 2:00:00 AM","0.66","1.19","3.66","1.27"
"23/03/2020 1:45:00 AM","0.91","1.06","3.69","1.02"
"23/03/2020 1:30:00 AM","0.50","1.19","3.69","1.25"
"23/03/2020 1:15:00 AM","0.75","1.19","3.53","0.98"
"23/03/2020 1:00:00 AM","0.59","1.22","3.41","1.45"
"23/03/2020 12:45:00 AM","0.66","1.09","3.56","2.41"
"23/03/2020 12:30:00 AM","0.69","1.19","3.66","2.23"
"23/03/2020 12:15:00 AM","0.72","1.13","3.63","1.94"
"23/03/2020 12:00:00 AM","0.78","1.19","3.56","2.16"
"22/03/2020 11:45:00 PM","1.03","1.22","3.59","1.94"
"22/03/2020 11:30:00 PM","1.13","1.13","3.72","1.64"
"22/03/2020 11:15:00 PM","0.91","1.22","3.63","1.86"
"22/03/2020 11:00:00 PM","1.03","1.25","3.53","1.06"
"22/03/2020 10:45:00 PM","1.06","1.09","3.22","0.72"
"22/03/2020 10:30:00 PM","1.09","1.13","3.25","0.95"
"22/03/2020 10:15:00 PM","0.94","1.25","3.22","0.69"
"22/03/2020 10:00:00 PM","1.13","1.09","3.09","0.70"
"22/03/2020 9:45:00 PM","0.94","1.16","3.63","1.52"
"22/03/2020 9:30:00 PM","1.00","1.22","3.59","1.30"
"22/03/2020 9:15:00 PM","1.06","1.16","3.69","2.09"
"22/03/2020 9:00:00 PM","1.13","1.25","3.44","2.48"
"22/03/2020 8:45:00 PM","0.97","1.25","3.81","1.89"
"22/03/2020 8:30:00 PM","1.16","1.22","3.63","1.95"
"22/03/2020 8:15:00 PM","0.88","1.19","3.97","2.23"
"22/03/2020 8:00:00 PM","1.06","1.19","4.06","1.63"
"22/03/2020 7:45:00 PM","1.06","1.25","4.25","1.81"
"22/03/2020 7:30:00 PM","0.91","1.16","4.25","2.03"
"22/03/2020 7:15:00 PM","1.03","1.22","4.38","2.69"
"22/03/2020 7:00:00 PM","1.03","1.22","4.78","3.14"
"22/03/2020 6:45:00 PM","1.09","1.28","4.63","3.69"
"22/03/2020 6:30:00 PM","1.00","1.22","4.72","3.34"
"22/03/2020 6:15:00 PM","1.81","1.25","4.78","3.27"
"22/03/2020 6:00:01 PM","1.59","1.25","4.59","3.69"
"22/03/2020 6:00:00 PM","1.59","1.25","4.84","3.14"
"22/03/2020 5:45:00 PM","1.81","1.31","4.84","3.14"
"22/03/2020 5:30:00 PM","1.84","1.34","4.69","3.55"
"22/03/2020 5:15:00 PM","2.38","1.50","5.06","3.84"
"22/03/2020 5:00:00 PM","2.63","1.72","4.84","3.41"
"22/03/2020 4:45:00 PM","2.41","2.13","5.13","3.83"
"22/03/2020 4:30:00 PM","2.47","2.03","5.22","3.47"
"22/03/2020 4:15:00 PM","2.63","1.53","4.94","3.44"
"22/03/2020 4:00:00 PM","2.31","1.53","5.09","3.64"
"22/03/2020 3:45:00 PM","2.53","1.59","5.59","3.56"
"22/03/2020 3:30:00 PM","2.47","1.75","5.19","3.58"
"22/03/2020 3:15:00 PM","2.88","1.63","5.28","3.63"
"22/03/2020 3:00:00 PM","2.97","1.56","5.16","3.56"
"22/03/2020 2:45:00 PM","2.94","1.59","4.78","3.00"
"22/03/2020 2:30:00 PM","3.06","1.75","5.50","3.58"
"22/03/2020 2:15:00 PM","2.72","1.72","5.19","3.48"
"22/03/2020 2:00:00 PM","2.47","1.63","5.34","3.38"
"22/03/2020 1:45:00 PM","2.59","1.66","5.50","3.20"
"22/03/2020 1:30:00 PM","2.41","1.72","4.97","3.42"
"22/03/2020 1:15:00 PM","2.59","1.63","5.03","3.64"
"22/03/2020 1:00:00 PM","2.50","1.66","5.16","3.41"
"22/03/2020 12:45:00 PM","2.38","1.75","5.19","3.25"
"22/03/2020 12:30:00 PM","2.44","1.56","5.44","3.11"
"22/03/2020 12:15:00 PM","2.47","1.63","5.78","3.14"
"22/03/2020 12:00:00 PM","2.41","1.75","6.28","2.91"
"22/03/2020 11:45:00 AM","2.38","1.56","5.69","3.31"
"22/03/2020 11:30:00 AM","2.38","1.72","5.81","3.17"
"22/03/2020 11:15:00 AM","2.47","1.69","5.91","2.97"
