"Timestamp","PM92-23 Solar PV1  15 Min Meter Extended Trend Log","PM92-52 Solar PV2   15 Min Meter Extended Trend Log"
"23/03/2020 10:30:00 AM","6.49","10.94"
"23/03/2020 10:15:00 AM","5.84","9.91"
"23/03/2020 10:00:00 AM","5.02","8.20"
"23/03/2020 9:45:00 AM","2.88","4.36"
"23/03/2020 9:30:00 AM","2.24","3.44"
"23/03/2020 9:15:00 AM","1.45","2.19"
"23/03/2020 9:00:00 AM","1.28","2.06"
"23/03/2020 8:45:00 AM","1.63","2.58"
"23/03/2020 8:30:00 AM","2.11","3.36"
"23/03/2020 8:15:00 AM","1.39","2.19"
"23/03/2020 8:00:00 AM","0.86","1.38"
"23/03/2020 7:45:00 AM","0.77","1.23"
"23/03/2020 7:30:00 AM","0.69","1.11"
"23/03/2020 7:15:00 AM","0.45","0.75"
"23/03/2020 7:00:00 AM","0.18","0.31"
"23/03/2020 6:45:00 AM","0.02","0.03"
"23/03/2020 6:30:00 AM","0.00","0.00"
"23/03/2020 6:15:00 AM","0.00","0.00"
"23/03/2020 6:00:00 AM","0.00","0.00"
"23/03/2020 5:45:00 AM","0.00","0.00"
"23/03/2020 5:30:00 AM","0.00","0.00"
"23/03/2020 5:15:00 AM","0.00","0.00"
"23/03/2020 5:00:00 AM","0.00","0.00"
"23/03/2020 4:45:00 AM","0.00","0.00"
"23/03/2020 4:30:00 AM","0.00","0.00"
"23/03/2020 4:15:00 AM","0.00","0.00"
"23/03/2020 4:00:00 AM","0.00","0.00"
"23/03/2020 3:45:00 AM","0.00","0.00"
"23/03/2020 3:30:00 AM","0.00","0.00"
"23/03/2020 3:15:00 AM","0.00","0.00"
"23/03/2020 3:00:00 AM","0.00","0.00"
"23/03/2020 2:45:00 AM","0.00","0.00"
"23/03/2020 2:30:00 AM","0.00","0.00"
"23/03/2020 2:15:00 AM","0.00","0.00"
"23/03/2020 2:00:00 AM","0.00","0.00"
"23/03/2020 1:45:00 AM","0.00","0.00"
"23/03/2020 1:30:00 AM","0.00","0.00"
"23/03/2020 1:15:00 AM","0.00","0.00"
"23/03/2020 1:00:00 AM","0.00","0.00"
"23/03/2020 12:45:00 AM","0.00","0.00"
"23/03/2020 12:30:00 AM","0.00","0.00"
"23/03/2020 12:15:00 AM","0.00","0.00"
"23/03/2020 12:00:00 AM","0.00","0.00"
"22/03/2020 11:45:00 PM","0.00","0.00"
"22/03/2020 11:30:00 PM","0.00","0.00"
"22/03/2020 11:15:00 PM","0.00","0.00"
"22/03/2020 11:00:00 PM","0.00","0.00"
"22/03/2020 10:45:00 PM","0.00","0.00"
"22/03/2020 10:30:00 PM","0.00","0.00"
"22/03/2020 10:15:00 PM","0.00","0.00"
"22/03/2020 10:00:00 PM","0.00","0.00"
"22/03/2020 9:45:00 PM","0.00","0.00"
"22/03/2020 9:30:00 PM","0.00","0.00"
"22/03/2020 9:15:00 PM","0.00","0.00"
"22/03/2020 9:00:00 PM","0.00","0.00"
"22/03/2020 8:45:00 PM","0.00","0.00"
"22/03/2020 8:30:00 PM","0.00","0.00"
