"Timestamp","VM Carpark Lighting Hour Meter Trend Log","VM Carpark Power Hour Meter Trend Log","VM Mechanical Hour Meter Trend Log","VM Tenant Lighting Hour Meter Trend Log","VM Tenant Power Hour Meter Trend Log","VM Lifts Hour Meter Trend Log"," (Offline)"," (Offline)"," (Offline)"," (Offline)"," (Offline)"," (Offline)"," (Offline)"
"23/03/2020 3:00:00 PM","28.63","4.81","133.50","96.00","105.50","3.57","","","","","","",""
"23/03/2020 2:00:00 PM","32.13","4.95","119.50","94.25","106.00","3.57","","","","","","",""
"23/03/2020 1:00:00 PM","30.06","4.95","123.75","92.38","101.75","3.54","","","","","","",""
"23/03/2020 12:00:00 PM","644,950.81","144,076.84","2,476,334.75","1,436,289.50","2,293,468.00","80,950.79","","","","","","",""
"23/03/2020 11:00:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","",""
"23/03/2020 10:00:00 AM","28.06","23.33","91.50","77.50","101.75","4.93","","","","","","",""
"23/03/2020 9:00:00 AM","22.38","14.47","90.00","66.63","100.50","2.91","","","","","","",""
"23/03/2020 8:00:00 AM","17.88","4.89","87.50","60.88","99.25","2.09","","","","","","",""
"23/03/2020 7:00:00 AM","22.50","4.84","62.50","63.38","95.25","2.00","","","","","","",""
"23/03/2020 6:00:00 AM","24.06","5.08","53.50","48.13","96.50","1.91","","","","","","",""
"23/03/2020 5:00:00 AM","24.63","4.84","43.50","15.75","97.00","1.62","","","","","","",""
"23/03/2020 4:00:00 AM","12.31","4.88","47.75","18.88","97.75","1.59","","","","","","",""
"23/03/2020 3:00:00 AM","17.75","4.86","34.00","17.38","97.75","1.60","","","","","","",""
"23/03/2020 2:00:00 AM","18.69","4.83","36.75","14.63","97.50","1.58","","","","","","",""
"23/03/2020 1:00:00 AM","24.75","4.81","34.50","30.75","97.00","1.58","","","","","","",""
"23/03/2020 12:00:00 AM","25.88","4.80","33.00","27.88","97.25","1.59","","","","","","",""
"22/03/2020 11:00:00 PM","17.88","4.83","39.50","29.38","98.25","1.66","","","","","","",""
"22/03/2020 10:00:00 PM","20.63","4.83","40.00","30.63","98.25","1.67","","","","","","",""
"22/03/2020 9:00:00 PM","18.94","4.81","49.50","29.50","98.75","1.62","","","","","","",""
"22/03/2020 8:00:00 PM","27.00","4.81","55.50","30.00","98.25","1.81","","","","","","",""
"22/03/2020 7:00:00 PM","17.88","4.80","84.25","47.75","89.75","1.85","","","","","","",""
"22/03/2020 6:00:00 PM","21.50","4.83","74.75","54.75","88.25","2.08","","","","","","",""
"22/03/2020 5:00:00 PM","20.44","4.81","64.50","57.25","88.25","1.98","","","","","","",""
"22/03/2020 4:00:00 PM","20.00","4.83","91.50","53.38","87.75","2.19","","","","","","",""
"22/03/2020 3:00:00 PM","18.25","4.84","73.00","57.50","87.75","2.16","","","","","","",""
"22/03/2020 2:00:00 PM","20.56","4.84","59.00","55.88","88.00","2.52","","","","","","",""
"22/03/2020 1:00:00 PM","18.06","4.88","58.00","51.75","87.25","2.14","","","","","","",""
"22/03/2020 12:00:00 PM","18.31","4.84","53.00","40.88","86.50","2.09","","","","","","",""
"22/03/2020 11:00:00 AM","19.63","4.84","43.25","35.00","86.75","1.86","","","","","","",""
"22/03/2020 10:00:00 AM","14.75","4.84","37.25","29.13","96.00","1.59","","","","","","",""
"22/03/2020 9:00:00 AM","13.63","4.83","39.00","24.88","98.75","1.59","","","","","","",""
"22/03/2020 8:00:00 AM","17.38","4.84","34.75","18.50","98.00","1.66","","","","","","",""
"22/03/2020 7:00:00 AM","25.13","4.84","30.00","15.38","94.75","1.58","","","","","","",""
"22/03/2020 6:00:00 AM","18.69","5.05","29.50","16.13","96.00","1.59","","","","","","",""
"22/03/2020 5:00:00 AM","22.75","4.86","29.75","16.00","97.25","1.59","","","","","","",""
"22/03/2020 4:00:00 AM","25.63","4.83","30.00","20.38","99.00","1.59","","","","","","",""
"22/03/2020 3:00:00 AM","14.00","4.81","29.50","19.75","98.50","1.59","","","","","","",""
"22/03/2020 2:00:00 AM","21.19","4.83","30.50","16.13","97.50","1.57","","","","","","",""
"22/03/2020 1:00:00 AM","20.31","4.84","32.75","28.88","97.50","1.59","","","","","","",""
"22/03/2020 12:00:00 AM","17.25","4.83","37.75","28.75","97.75","1.59","","","","","","",""
"21/03/2020 11:00:00 PM","18.25","4.84","43.50","32.13","99.25","1.67","","","","","","",""
"21/03/2020 10:00:00 PM","29.63","4.83","49.00","32.75","98.75","1.66","","","","","","",""
"21/03/2020 9:00:00 PM","20.63","4.84","49.25","37.00","99.00","1.70","","","","","","",""
"21/03/2020 8:00:00 PM","19.50","4.83","61.75","33.13","100.25","1.70","","","","","","",""
"21/03/2020 7:00:00 PM","23.69","4.84","96.25","52.63","92.00","1.90","","","","","","",""
"21/03/2020 6:00:00 PM","21.69","4.83","65.75","59.88","90.75","2.27","","","","","","",""
"21/03/2020 5:00:00 PM","18.56","4.83","99.75","61.00","89.75","2.38","","","","","","",""
"21/03/2020 4:00:00 PM","19.44","4.83","74.50","59.63","89.00","2.02","","","","","","",""
"21/03/2020 3:00:00 PM","17.88","4.81","68.75","56.25","88.75","2.31","","","","","","",""
"21/03/2020 2:00:00 PM","20.25","4.81","103.50","60.63","89.25","2.43","","","","","","",""
"21/03/2020 1:00:00 PM","17.88","4.81","60.00","56.13","87.75","2.41","","","","","","",""
"21/03/2020 12:00:00 PM","17.88","4.81","53.50","59.25","88.00","2.09","","","","","","",""
"21/03/2020 11:00:00 AM","19.69","4.81","43.50","45.13","87.25","2.03","","","","","","",""
"21/03/2020 10:00:00 AM","28.06","4.86","35.50","28.50","95.50","1.88","","","","","","",""
"21/03/2020 9:00:00 AM","22.44","4.86","39.00","25.00","98.25","1.55","","","","","","",""
"21/03/2020 8:00:00 AM","18.00","4.84","47.50","17.38","98.00","1.59","","","","","","",""
"21/03/2020 7:00:00 AM","643,846.31","143,779.72","2,473,372.00","1,434,146.38","2,288,448.50","80,844.03","","","","","","",""
"21/03/2020 6:00:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","",""
"21/03/2020 5:00:00 AM","17.44","4.83","29.50","16.38","97.25","1.58","","","","","","",""
"21/03/2020 4:00:00 AM","15.19","4.84","30.00","19.63","98.75","1.56","","","","","","",""
"21/03/2020 3:00:00 AM","20.25","4.81","31.00","19.75","98.50","1.61","","","","","","",""
"21/03/2020 2:00:00 AM","20.56","4.86","48.75","32.13","98.50","1.79","","","","","","",""
"21/03/2020 1:00:00 AM","26.06","4.83","72.25","47.38","98.25","1.67","","","","","","",""
"21/03/2020 12:00:00 AM","19.56","4.81","68.50","52.38","100.75","2.00","","","","","","",""
"20/03/2020 11:00:00 PM","25.56","4.80","73.50","62.25","102.00","2.24","","","","","","",""
"20/03/2020 10:00:00 PM","26.50","4.78","94.75","68.50","102.25","2.33","","","","","","",""
"20/03/2020 9:00:00 PM","30.88","4.77","125.75","74.63","103.50","2.87","","","","","","",""
"20/03/2020 8:00:00 PM","32.88","4.83","138.00","82.88","108.00","3.09","","","","","","",""
"20/03/2020 7:00:00 PM","29.94","4.80","192.25","93.00","103.00","4.23","","","","","","",""
"20/03/2020 6:00:00 PM","29.75","4.81","225.25","101.38","103.75","4.37","","","","","","",""
"20/03/2020 5:00:00 PM","29.88","4.81","219.75","106.50","107.50","3.89","","","","","","",""
"20/03/2020 4:00:00 PM","31.75","4.86","223.25","107.88","110.00","4.13","","","","","","",""
"20/03/2020 3:00:00 PM","32.75","4.88","208.75","101.13","110.25","4.11","","","","","","",""
"20/03/2020 2:00:00 PM","30.50","4.84","193.75","101.50","111.00","4.11","","","","","","",""
"20/03/2020 1:00:00 PM","30.25","4.89","182.25","97.25","108.00","3.98","","","","","","",""
"20/03/2020 12:00:00 PM","30.63","4.86","165.25","93.38","100.75","4.01","","","","","","",""
"20/03/2020 11:00:00 AM","34.50","4.89","100.50","85.00","95.50","4.26","","","","","","",""
"20/03/2020 10:00:00 AM","26.56","4.84","98.00","74.88","101.50","4.19","","","","","","",""
"20/03/2020 9:00:00 AM","22.44","4.86","131.00","66.00","99.50","3.09","","","","","","",""
"20/03/2020 8:00:00 AM","17.94","4.86","121.75","56.75","99.25","1.91","","","","","","",""
"20/03/2020 7:00:00 AM","26.94","4.89","100.25","52.88","94.25","1.94","","","","","","",""
"20/03/2020 6:00:00 AM","24.38","5.08","60.25","46.00","96.25","1.91","","","","","","",""
"20/03/2020 5:00:00 AM","12.13","4.86","31.25","17.50","98.00","1.61","","","","","","",""
"20/03/2020 4:00:00 AM","14.63","4.84","36.00","19.75","98.25","1.58","","","","","","",""
"20/03/2020 3:00:00 AM","24.25","4.86","65.50","20.38","98.75","1.59","","","","","","",""
"20/03/2020 2:00:00 AM","22.31","4.83","93.00","34.25","98.50","1.66","","","","","","",""
"20/03/2020 1:00:00 AM","23.13","4.86","105.50","52.25","100.00","1.88","","","","","","",""
"20/03/2020 12:00:00 AM","28.75","4.83","146.25","54.63","102.25","1.88","","","","","","",""
"19/03/2020 11:00:00 PM","27.75","4.83","162.25","66.25","102.50","2.25","","","","","","",""
"19/03/2020 10:00:00 PM","27.25","4.84","200.75","70.63","103.00","2.46","","","","","","",""
"19/03/2020 9:00:00 PM","29.69","4.84","204.75","71.25","107.25","2.87","","","","","","",""
"19/03/2020 8:00:00 PM","32.25","4.84","245.75","89.38","117.75","3.57","","","","","","",""
"19/03/2020 7:00:00 PM","32.25","4.83","313.50","98.50","117.50","4.41","","","","","","",""
