"Timestamp","Cooling Capacity #3 KWr Extended Trend Log","COP #3 Extended Trend Log","Cooling Capacity #2 kwr ext Interval Trend Log","COP #2 Extended Trend Log","Cooling Machine #1 KWr extended trend","COP #1  Extended Trend Log","COP #1 Interval Trend Log"
"23/03/2020 4:20:00 PM","0.00","0.00","195.40","0.00","0.00","0.00","0.00"
"23/03/2020 4:15:00 PM","0.00","0.00","116.20","0.00","0.00","0.00","0.00"
"23/03/2020 4:10:00 PM","0.00","0.00","76.92","0.00","0.00","0.00","0.00"
"23/03/2020 4:05:00 PM","0.00","0.00","216.89","0.00","0.00","0.00","0.00"
"23/03/2020 4:00:00 PM","0.00","0.00","2.48","0.00","0.00","0.00","0.00"
"23/03/2020 3:55:00 PM","0.00","0.00","187.13","0.00","0.00","0.00","0.00"
"23/03/2020 3:50:00 PM","0.00","0.00","45.26","0.00","0.00","0.00","0.00"
"23/03/2020 3:45:00 PM","0.00","0.00","178.57","0.00","0.00","0.00","0.00"
"23/03/2020 3:40:00 PM","0.00","0.00","187.02","0.00","0.00","0.00","0.00"
"23/03/2020 3:35:00 PM","0.00","0.00","200.87","0.00","0.00","0.00","0.00"
"23/03/2020 3:30:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 3:25:00 PM","0.00","0.00","181.42","0.00","0.00","0.00","0.00"
"23/03/2020 3:20:00 PM","0.00","0.00","182.36","0.00","0.00","0.00","0.00"
"23/03/2020 3:15:00 PM","0.00","0.00","182.89","0.00","0.00","0.00","0.00"
"23/03/2020 3:10:00 PM","0.00","0.00","192.07","0.00","0.00","0.00","0.00"
"23/03/2020 3:05:00 PM","0.00","0.00","194.44","0.00","0.00","0.00","0.00"
"23/03/2020 3:00:00 PM","0.00","0.00","216.40","0.00","0.00","0.00","0.00"
"23/03/2020 2:55:00 PM","0.00","0.00","268.15","0.00","0.00","0.00","0.00"
"23/03/2020 2:50:00 PM","0.00","0.00","259.11","0.00","0.00","0.00","0.00"
"23/03/2020 2:45:00 PM","0.00","0.00","282.01","0.00","0.00","0.00","0.00"
"23/03/2020 2:40:00 PM","0.00","0.00","287.52","0.00","0.00","0.00","0.00"
"23/03/2020 2:35:00 PM","0.00","0.00","285.68","0.00","0.00","0.00","0.00"
"23/03/2020 2:30:00 PM","0.00","0.00","385.34","0.00","0.00","0.00","0.00"
"23/03/2020 2:25:00 PM","0.00","0.00","402.59","0.00","0.00","0.00","0.00"
"23/03/2020 2:20:00 PM","0.00","0.00","365.84","0.00","0.00","0.00","0.00"
"23/03/2020 2:15:00 PM","0.00","0.00","288.41","0.00","0.00","0.00","0.00"
"23/03/2020 2:10:00 PM","0.00","0.00","138.86","0.00","0.00","0.00","0.00"
"23/03/2020 2:05:00 PM","0.00","0.00","12.01","0.00","0.00","0.00","0.00"
"23/03/2020 2:00:00 PM","0.00","0.00","9.11","0.00","0.00","0.00","0.00"
"23/03/2020 1:55:00 PM","0.00","0.00","24.13","0.00","0.00","0.00","0.00"
"23/03/2020 1:50:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:45:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:40:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:35:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:30:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:25:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:20:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:15:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 1:10:00 PM","0.00","0.00","19.80","0.00","0.00","0.00","0.00"
"23/03/2020 1:05:00 PM","0.00","0.00","211.36","0.00","0.00","0.00","0.00"
"23/03/2020 1:00:00 PM","0.00","0.00","195.93","0.00","0.00","0.00","0.00"
"23/03/2020 12:55:00 PM","0.00","0.00","180.58","0.00","0.00","0.00","0.00"
"23/03/2020 12:50:00 PM","0.00","0.00","240.30","0.00","0.00","0.00","0.00"
"23/03/2020 12:45:00 PM","0.00","0.00","151.52","0.00","0.00","0.00","0.00"
"23/03/2020 12:40:00 PM","0.00","0.00","12.07","0.00","0.00","0.00","0.00"
"23/03/2020 12:35:00 PM","0.00","0.00","10.82","0.00","0.00","0.00","0.00"
"23/03/2020 12:30:00 PM","0.00","0.00","4.89","0.00","0.00","0.00","0.00"
"23/03/2020 12:25:00 PM","0.00","0.00","27.13","0.00","0.00","0.00","0.00"
"23/03/2020 12:20:00 PM","0.00","0.00","3.43","0.00","0.00","0.00","0.00"
"23/03/2020 12:15:00 PM","0.00","0.00","5.01","0.00","0.00","0.00","0.00"
"23/03/2020 12:10:00 PM","0.00","0.00","7.69","0.00","0.00","0.00","0.00"
"23/03/2020 12:05:00 PM","0.00","0.00","8.57","0.00","0.00","0.00","0.00"
"23/03/2020 12:00:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 11:55:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 11:50:00 AM","0.00","0.00","6.56","0.00","0.00","0.00","0.00"
"23/03/2020 11:45:00 AM","0.00","0.00","4.10","0.00","0.00","0.00","0.00"
"23/03/2020 11:40:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 11:35:00 AM","0.00","0.00","2.42","0.00","0.00","0.00","0.00"
"23/03/2020 11:30:00 AM","0.00","0.00","294.11","0.00","0.00","0.00","0.00"
"23/03/2020 11:25:00 AM","0.00","0.00","252.90","0.00","0.00","0.00","0.00"
"23/03/2020 11:20:00 AM","0.00","0.00","62.53","0.00","0.00","0.00","0.00"
"23/03/2020 11:15:00 AM","0.00","0.00","208.18","0.00","0.00","0.00","0.00"
"23/03/2020 11:10:00 AM","0.00","0.00","99.30","0.00","0.00","0.00","0.00"
"23/03/2020 11:05:00 AM","0.00","0.00","221.38","0.00","0.00","0.00","0.00"
"23/03/2020 11:00:00 AM","0.00","0.00","9.51","0.00","0.00","0.00","0.00"
"23/03/2020 10:55:00 AM","0.00","0.00","11.40","0.00","0.00","0.00","0.00"
"23/03/2020 10:50:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 10:45:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 10:40:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 10:35:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 10:30:00 AM","0.00","0.00","2.43","0.00","0.00","0.00","0.00"
"23/03/2020 10:25:00 AM","0.00","0.00","1.86","0.00","0.00","0.00","0.00"
"23/03/2020 10:20:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 10:15:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 10:10:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 10:05:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 10:00:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 9:55:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 9:50:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 9:45:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 9:40:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 9:35:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 9:30:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 9:25:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 9:20:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 9:15:00 AM","0.00","0.00","0.00","0.00","17.78","0.00","0.00"
"23/03/2020 9:10:00 AM","0.00","0.00","1.28","0.00","0.00","0.00","0.00"
"23/03/2020 9:05:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 9:00:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 8:55:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 8:50:00 AM","0.00","0.00","0.00","0.00","12.87","0.00","0.00"
"23/03/2020 8:45:00 AM","0.00","0.00","0.00","0.00","13.63","0.00","0.00"
"23/03/2020 8:40:00 AM","0.00","0.00","0.00","0.00","8.80","0.00","0.00"
"23/03/2020 8:35:00 AM","0.00","0.00","0.00","0.00","15.89","0.00","0.00"
"23/03/2020 8:30:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 8:25:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 8:20:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 8:15:00 AM","0.00","0.00","0.72","0.00","0.00","0.00","0.00"
"23/03/2020 8:10:00 AM","0.00","0.00","0.81","0.00","0.00","0.00","0.00"
"23/03/2020 8:05:00 AM","0.00","0.00","0.59","0.00","0.00","0.00","0.00"
"23/03/2020 8:00:00 AM","0.00","0.00","0.52","0.00","0.00","0.00","0.00"
"23/03/2020 7:55:00 AM","0.00","0.00","0.00","0.00","9.83","0.00","0.00"
"23/03/2020 7:50:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 7:45:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 7:40:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 7:35:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 7:30:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 7:25:00 AM","0.00","0.00","0.13","0.00","0.00","0.00","0.00"
"23/03/2020 7:20:00 AM","0.00","0.00","0.15","0.00","0.00","0.00","0.00"
"23/03/2020 7:15:00 AM","0.00","0.00","0.12","0.00","0.00","0.00","0.00"
"23/03/2020 7:10:00 AM","0.00","0.00","0.45","0.00","0.00","0.00","0.00"
"23/03/2020 7:05:00 AM","0.00","0.00","0.34","0.00","0.00","0.00","0.00"
