"Timestamp","OaTmp - Trend - Extd","OaRH - Trend - Extd"
"23/03/2020 10:56:13 AM","15.44","59.90"
"23/03/2020 10:51:13 AM","15.17","59.90"
"23/03/2020 10:46:13 AM","15.22","59.39"
"23/03/2020 10:41:13 AM","15.07","62.58"
"23/03/2020 10:36:13 AM","14.75","63.53"
"23/03/2020 10:31:13 AM","14.61","63.12"
"23/03/2020 10:26:13 AM","14.91","65.07"
"23/03/2020 10:21:13 AM","14.16","68.56"
"23/03/2020 10:16:13 AM","13.92","68.88"
"23/03/2020 10:11:13 AM","13.87","70.40"
"23/03/2020 10:06:13 AM","13.50","73.34"
"23/03/2020 10:01:13 AM","12.75","77.83"
"23/03/2020 9:56:13 AM","12.05","80.11"
"23/03/2020 9:51:13 AM","11.70","82.68"
"23/03/2020 9:46:13 AM","11.37","82.49"
"23/03/2020 9:41:13 AM","11.48","82.78"
"23/03/2020 9:36:13 AM","11.64","80.21"
"23/03/2020 9:31:13 AM","11.64","80.94"
"23/03/2020 9:26:13 AM","11.75","80.57"
"23/03/2020 9:21:13 AM","11.81","82.05"
"23/03/2020 9:16:13 AM","11.73","80.89"
"23/03/2020 9:11:13 AM","12.18","76.59"
"23/03/2020 9:06:13 AM","12.83","72.42"
"23/03/2020 9:01:13 AM","13.12","69.72"
"23/03/2020 8:56:13 AM","13.15","67.88"
"23/03/2020 8:51:13 AM","13.20","68.21"
"23/03/2020 8:46:13 AM","13.31","66.64"
"23/03/2020 8:41:13 AM","13.34","65.93"
"23/03/2020 8:36:13 AM","13.58","65.10"
"23/03/2020 8:31:13 AM","13.60","64.04"
"23/03/2020 8:26:13 AM","13.58","64.23"
"23/03/2020 8:21:13 AM","13.44","65.37"
"23/03/2020 8:16:13 AM","13.15","65.72"
"23/03/2020 8:11:13 AM","13.02","65.80"
"23/03/2020 8:06:13 AM","12.99","66.34"
"23/03/2020 8:01:13 AM","12.80","66.26"
"23/03/2020 7:56:13 AM","12.86","68.80"
"23/03/2020 7:51:13 AM","12.75","69.80"
"23/03/2020 7:46:13 AM","12.61","70.80"
"23/03/2020 7:41:13 AM","12.40","71.61"
"23/03/2020 7:36:13 AM","12.21","72.34"
"23/03/2020 7:31:13 AM","12.05","72.05"
"23/03/2020 7:26:13 AM","11.86","72.72"
"23/03/2020 7:21:13 AM","11.67","74.24"
"23/03/2020 7:16:13 AM","11.45","75.26"
"23/03/2020 7:11:13 AM","11.37","75.37"
"23/03/2020 7:06:13 AM","11.29","75.48"
"23/03/2020 7:01:13 AM","11.29","74.91"
"23/03/2020 6:56:13 AM","11.29","74.10"
"23/03/2020 6:51:13 AM","11.26","74.59"
"23/03/2020 6:46:13 AM","11.32","74.91"
"23/03/2020 6:41:13 AM","11.51","73.45"
"23/03/2020 6:36:13 AM","11.70","72.80"
"23/03/2020 6:31:13 AM","11.81","71.88"
"23/03/2020 6:26:13 AM","11.78","72.29"
"23/03/2020 6:21:13 AM","11.78","73.29"
"23/03/2020 6:16:13 AM","11.78","72.80"
"23/03/2020 6:11:13 AM","11.81","72.67"
"23/03/2020 6:06:13 AM","11.86","73.34"
"23/03/2020 6:01:13 AM","11.97","72.80"
"23/03/2020 5:56:13 AM","12.18","71.86"
"23/03/2020 5:51:13 AM","12.24","71.37"
"23/03/2020 5:46:13 AM","12.32","70.88"
"23/03/2020 5:41:13 AM","12.48","70.67"
"23/03/2020 5:36:13 AM","12.51","70.50"
"23/03/2020 5:31:13 AM","12.56","70.50"
"23/03/2020 5:26:13 AM","12.61","69.91"
"23/03/2020 5:21:13 AM","12.59","70.45"
"23/03/2020 5:16:13 AM","12.56","70.56"
"23/03/2020 5:11:13 AM","12.56","70.13"
"23/03/2020 5:06:13 AM","12.61","69.58"
"23/03/2020 5:01:13 AM","12.72","69.80"
"23/03/2020 4:56:13 AM","12.72","69.45"
"23/03/2020 4:51:13 AM","12.64","69.56"
"23/03/2020 4:46:13 AM","12.59","69.72"
"23/03/2020 4:41:13 AM","12.45","70.10"
"23/03/2020 4:36:13 AM","12.43","70.21"
"23/03/2020 4:31:13 AM","12.43","70.29"
"23/03/2020 4:26:13 AM","12.48","69.53"
"23/03/2020 4:21:13 AM","12.45","69.13"
"23/03/2020 4:16:13 AM","12.45","68.85"
"23/03/2020 4:11:13 AM","12.56","68.18"
"23/03/2020 4:06:13 AM","12.64","67.37"
