"Timestamp","WM92-01 LTB Mains Water Hour Meter Extended Trend Log","WM92-57 DHW makeup  Hour Meter Extended Trend Log","WM92-58 Mech makeup Hour Meter Extended Trend Log","WM92-59 ATR Makeup Hour Meter Trend Log","WM92-60 LTB Irrigation Hour Meter Extended Trend Log","WM92-61 ATR Recycle to WC Hour Meter Extended Trend Log","WM92-62 LTB Makeup to Recycle Hour Meter Extended Trend Log","WM92-63 LTB Recycle to WC Hour Meter Extended Trend Log"
"23/03/2020 4:00:00 PM","1.50","0.11","0.00","0.27","0.00","0.29","0.71","0.70"
"23/03/2020 3:00:00 PM","0.96","0.10","0.00","0.27","0.00","0.29","0.43","0.44"
"23/03/2020 2:00:01 PM","0.73","0.11","0.00","0.27","0.00","0.29","0.28","0.28"
"23/03/2020 2:00:00 PM","0.73","0.12","0.00","0.27","0.00","0.29","0.28","0.47"
"23/03/2020 1:00:00 PM","0.95","0.12","0.00","0.27","0.00","0.28","0.46","0.47"
"23/03/2020 12:00:00 PM","0.70","0.07","0.00","0.27","0.00","0.29","0.32","0.32"
"23/03/2020 11:00:00 AM","0.70","0.12","0.00","0.27","0.00","0.29","0.23","0.23"
"23/03/2020 10:00:00 AM","1.03","0.41","0.00","0.27","0.00","0.29","0.23","0.23"
"23/03/2020 9:00:00 AM","0.55","0.07","0.00","0.27","0.00","0.29","0.22","0.23"
"23/03/2020 8:00:00 AM","0.60","0.10","0.00","0.28","0.00","0.29","0.20","0.20"
"23/03/2020 7:00:00 AM","0.50","0.05","0.00","0.27","0.00","0.29","0.18","0.18"
"23/03/2020 6:00:01 AM","0.79","0.03","0.00","0.28","0.00","0.30","0.20","0.20"
"23/03/2020 6:00:00 AM","3.81","0.03","0.00","0.28","0.00","0.30","0.20","0.20"
"23/03/2020 5:00:00 AM","3.81","0.08","3.27","0.27","0.00","0.29","0.16","0.16"
"23/03/2020 4:00:00 AM","0.15","0.01","0.00","0.29","0.00","0.30","0.00","0.00"
"23/03/2020 3:00:00 AM","0.15","0.00","0.00","0.28","0.00","0.29","0.00","0.00"
"23/03/2020 2:00:00 AM","0.15","0.01","0.00","0.27","0.00","0.30","0.00","0.01"
"23/03/2020 1:00:00 AM","0.15","0.00","0.00","0.27","0.00","0.29","0.00","0.00"
"23/03/2020 12:00:00 AM","0.16","0.01","0.00","0.28","0.00","0.29","0.01","0.00"
"22/03/2020 11:00:00 PM","0.16","0.00","0.00","0.27","0.00","0.29","0.01","0.01"
"22/03/2020 10:00:00 PM","0.19","0.02","0.00","0.28","0.00","0.28","0.01","0.01"
"22/03/2020 9:00:00 PM","0.17","0.00","0.00","0.27","0.00","0.29","0.00","0.00"
"22/03/2020 8:00:00 PM","0.19","0.01","0.00","0.27","0.00","0.29","0.03","0.04"
"22/03/2020 7:00:00 PM","0.21","0.01","0.00","0.28","0.00","0.29","0.03","0.03"
"22/03/2020 6:00:00 PM","0.28","0.02","0.00","0.27","0.00","0.29","0.06","0.05"
"22/03/2020 5:00:00 PM","0.27","0.03","0.00","0.28","0.00","0.29","0.07","0.08"
"22/03/2020 4:00:00 PM","0.34","0.03","0.00","0.27","0.00","0.29","0.11","0.11"
"22/03/2020 3:00:00 PM","0.32","0.03","0.00","0.27","0.00","0.29","0.09","0.08"
"22/03/2020 2:00:00 PM","0.35","0.04","0.00","0.27","0.00","0.29","0.08","0.09"
"22/03/2020 1:00:01 PM","0.55","0.03","0.00","0.27","0.00","0.29","0.30","0.30"
"22/03/2020 1:00:00 PM","0.55","0.01","0.00","0.27","0.00","0.28","0.30","0.30"
"22/03/2020 12:00:00 PM","0.23","0.01","0.00","0.27","0.00","0.28","0.03","0.03"
"22/03/2020 11:00:00 AM","0.18","0.01","0.00","0.26","0.00","0.29","0.01","0.01"
"22/03/2020 10:00:00 AM","0.24","0.03","0.00","0.27","0.00","0.29","0.03","0.02"
"22/03/2020 9:00:00 AM","0.14","0.00","0.00","0.27","0.00","0.29","0.00","0.00"
"22/03/2020 8:00:00 AM","0.17","0.01","0.00","0.28","0.00","0.29","0.00","0.00"
"22/03/2020 7:00:00 AM","0.19","0.01","0.00","0.28","0.00","0.30","0.01","0.02"
"22/03/2020 6:00:00 AM","0.54","0.00","0.00","0.28","0.00","0.29","0.00","0.00"
"22/03/2020 5:00:00 AM","3.86","0.02","3.34","0.28","0.00","0.29","0.00","0.00"
"22/03/2020 4:00:00 AM","0.14","0.00","0.00","0.28","0.00","0.30","0.00","0.00"
"22/03/2020 3:00:00 AM","0.14","0.00","0.00","0.27","0.00","0.30","0.00","0.00"
"22/03/2020 2:00:00 AM","0.15","0.01","0.00","0.28","0.00","0.29","0.00","0.00"
"22/03/2020 1:00:00 AM","0.15","0.00","0.00","0.28","0.00","0.29","0.01","0.00"
"22/03/2020 12:00:00 AM","0.15","0.01","0.00","0.28","0.00","0.30","0.00","0.01"
"21/03/2020 11:00:00 PM","0.16","0.00","0.00","0.27","0.00","0.29","0.00","0.00"
"21/03/2020 10:00:00 PM","0.16","0.01","0.00","0.28","0.00","0.29","0.00","0.00"
"21/03/2020 9:00:00 PM","0.16","0.00","0.00","0.27","0.00","0.29","0.00","0.00"
"21/03/2020 8:00:00 PM","0.20","0.02","0.00","0.27","0.00","0.28","0.02","0.02"
"21/03/2020 7:00:00 PM","0.20","0.01","0.00","0.28","0.00","0.29","0.02","0.02"
"21/03/2020 6:00:00 PM","0.31","0.02","0.00","0.27","0.00","0.29","0.08","0.08"
"21/03/2020 5:00:00 PM","0.38","0.04","0.00","0.27","0.00","0.29","0.12","0.12"
"21/03/2020 4:00:00 PM","0.43","0.05","0.00","0.28","0.00","0.29","0.15","0.15"
"21/03/2020 3:00:00 PM","0.45","0.05","0.00","0.27","0.00","0.29","0.16","0.17"
"21/03/2020 2:00:00 PM","0.37","0.05","0.00","0.27","0.00","0.29","0.11","0.10"
"21/03/2020 1:00:00 PM","0.31","0.02","0.00","0.27","0.00","0.29","0.08","0.08"
"21/03/2020 12:00:00 PM","0.86","0.06","0.00","0.27","0.00","0.29","0.50","0.51"
"21/03/2020 11:00:00 AM","0.34","0.01","0.00","0.26","0.00","0.28","0.15","0.15"
"21/03/2020 10:00:00 AM","0.19","0.01","0.00","0.27","0.00","0.29","0.03","0.03"
"21/03/2020 9:00:00 AM","0.16","0.01","0.00","0.27","0.00","0.28","0.01","0.01"
"21/03/2020 8:00:00 AM","0.18","0.01","0.00","0.28","0.00","0.29","0.00","0.00"
"21/03/2020 7:00:00 AM","0.18","0.00","0.00","0.28","0.00","0.30","0.01","0.01"
"21/03/2020 6:00:00 AM","0.58","0.00","0.00","0.27","0.00","0.29","0.01","0.00"
"21/03/2020 5:00:00 AM","3.90","0.01","3.42","0.28","0.00","0.30","0.00","0.00"
"21/03/2020 4:00:00 AM","0.14","0.01","0.00","0.28","0.00","0.29","0.00","0.00"
"21/03/2020 3:00:00 AM","0.16","0.00","0.00","0.27","0.00","0.30","0.00","0.00"
